"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-06-23,Fairfax,"Northern Region",2,0
2020-06-23,Roanoke,"Southwest Region",0,0
2020-06-23,"Eastern Shore","Eastern Region",0,0
2020-06-23,"Western Tidewater","Eastern Region",0,0
2020-06-23,"Thomas Jefferson","Northwest Region",0,0
2020-06-23,Pittsylvania-Danville,"Southwest Region",0,0
2020-06-23,"Cumberland Plateau","Southwest Region",0,0
2020-06-23,Henrico,"Central Region",0,0
2020-06-23,Portsmouth,"Eastern Region",0,0
2020-06-23,Hampton,"Eastern Region",0,0
2020-06-23,Chesapeake,"Eastern Region",0,0
2020-06-23,Rappahannock,"Northwest Region",0,0
2020-06-23,Loudoun,"Northern Region",0,0
2020-06-23,Southside,"Central Region",0,0
2020-06-23,Richmond,"Central Region",0,0
2020-06-23,Piedmont,"Central Region",0,0
2020-06-23,Norfolk,"Eastern Region",0,0
2020-06-23,"Three Rivers","Eastern Region",0,0
2020-06-23,"Prince William","Northern Region",1,0
2020-06-23,Chickahominy,"Central Region",0,0
2020-06-23,Alexandria,"Northern Region",1,0
2020-06-23,"Rappahannock Rapidan","Northwest Region",0,0
2020-06-23,Crater,"Central Region",0,0
2020-06-23,Lenowisco,"Southwest Region",0,0
2020-06-23,"Central Virginia","Southwest Region",0,0
2020-06-23,"Lord Fairfax","Northwest Region",0,0
2020-06-23,Chesterfield,"Central Region",0,0
2020-06-23,Arlington,"Northern Region",0,0
2020-06-23,"New River","Southwest Region",0,0
2020-06-23,Alleghany,"Southwest Region",0,0
2020-06-23,"Central Shenandoah","Northwest Region",0,0
2020-06-23,"Mount Rogers","Southwest Region",0,0
2020-06-23,"West Piedmont","Southwest Region",0,0
2020-06-23,"Virginia Beach","Eastern Region",0,0
2020-06-23,Peninsula,"Eastern Region",0,0
