Date,Locality,Health District,Vaccine Phase,Website
2021-01-11,Charlotte,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-11,Charlottesville,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-11,Chesapeake,Chesapeake,1a,https://www.vdh.virginia.gov/chesapeake/
2021-01-11,Chesterfield,Chesterfield,1a,https://www.vdh.virginia.gov/chesterfield/
2021-01-11,Clarke,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-11,Colonial Heights,Chesterfield,1a,https://www.vdh.virginia.gov/chesterfield/
2021-01-11,Covington,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-11,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-11,Culpeper,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-11,Cumberland,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-11,Danville,Pittsylvania-Danville,1a,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-11,Dickenson,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-11,Dinwiddie,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Emporia,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Essex,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-11,Fairfax City,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-11,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-11,Fauquier,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-11,Floyd,New River,1b,https://www.nrvroadtowellness.com/
2021-01-11,Fluvanna,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-11,Franklin City,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-11,Franklin County,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-11,Frederick,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-11,Fredericksburg,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-11,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-11,Giles,New River,1b,https://www.nrvroadtowellness.com/
2021-01-11,Gloucester,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Goochland,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-11,Grayson,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-11,Greene,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-11,Greensville,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Halifax,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-11,Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
2021-01-11,Hanover,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-11,Harrisonburg,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Henrico,Henrico,1a,https://henrico.us/health/
2021-01-11,Henry,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-11,Highland,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Hopewell,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Isle of Wight,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-11,James City,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-11,King and Queen,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,King George,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-11,King William,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Lancaster,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-11,Lexington,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Loudoun,Loudoun,1b,https://www.loudoun.gov/health
2021-01-11,Louisa,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-11,Lunenburg,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-11,Lynchburg,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-11,Madison,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-11,Manassas City,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-11,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-11,Martinsville,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-11,Mathews,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Mecklenburg,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-11,Middlesex,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Montgomery,New River,1b,https://www.nrvroadtowellness.com/
2021-01-11,Nelson,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-11,New Kent,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-11,Newport News,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-11,Norfolk,Norfolk,1a,https://www.norfolk.gov/153/Public-Health
2021-01-11,Northampton,Eastern Shore,1a,https://www.vdh.virginia.gov/eastern-shore/
2021-01-11,Northumberland,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-11,Nottoway,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-11,Orange,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-11,Page,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-11,Patrick,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-11,Petersburg,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Pittsylvania,Pittsylvania-Danville,1a,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-11,Poquoson,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-11,Portsmouth,Portsmouth,1a,https://www.vdh.virginia.gov/portsmouth/
2021-01-11,Powhatan,Chesterfield,1a,https://www.vdh.virginia.gov/chesterfield/
2021-01-11,Prince Edward,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-11,Prince George,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Prince William,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-11,Pulaski,New River,1b,https://www.nrvroadtowellness.com/
2021-01-11,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-01-11,Rappahannock,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-11,Richmond City,Richmond,1a,https://www.vdh.virginia.gov/richmond-city/
2021-01-11,Richmond County,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Roanoke City,Roanoke,1b,https://www.vdh.virginia.gov/roanoke/
2021-01-11,Roanoke County,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-11,Rockbridge,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Rockingham,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Russell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-11,Salem,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-11,Scott,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-11,Shenandoah,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-11,Smyth,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-11,Southampton,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-11,Spotsylvania,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-11,Stafford,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-11,Staunton,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Suffolk,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-11,Surry,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Sussex,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-11,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-11,Virginia Beach,Virginia Beach,1a,https://www.vdh.virginia.gov/virginia-beach/
2021-01-11,Warren,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-11,Washington,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-11,Waynesboro,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-11,Westmoreland,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-11,Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-11,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-11,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-11,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-11,York,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
