Locality,"Health District","Vaccine Phase",Website
"King George",Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
Lancaster,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Lynchburg,"Central Virginia",1a,https://www.vdh.virginia.gov/central-virginia/
Patrick,"West Piedmont",1a,https://www.vdh.virginia.gov/west-piedmont/
Goochland,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
Rappahannock,"Rappahannock Rapidan",1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
Bath,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Orange,"Rappahannock Rapidan",1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
Radford,"New River",1b,https://www.nrvroadtowellness.com/
Wythe,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
Culpeper,"Rappahannock Rapidan",1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
Accomack,"Eastern Shore",1b,https://www.vdh.virginia.gov/eastern-shore/
Emporia,Crater,1a,https://www.vdh.virginia.gov/crater/
Waynesboro,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Madison,"Rappahannock Rapidan",1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
Spotsylvania,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
Rockbridge,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
Surry,Crater,1a,https://www.vdh.virginia.gov/crater/
Winchester,"Lord Fairfax",1b,https://www.vdh.virginia.gov/lord-fairfax/
Northampton,"Eastern Shore",1b,https://www.vdh.virginia.gov/eastern-shore/
"James City",Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
Tazewell,"Cumberland Plateau",1b,https://www.vdh.virginia.gov/cumberland-plateau/
Suffolk,"Western Tidewater",1a,https://www.vdh.virginia.gov/western-tidewater/
Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
Brunswick,Southside,1b,https://www.vdh.virginia.gov/southside/
Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
Galax,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
"Richmond County","Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Augusta,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Charlotte,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
"Falls Church",Fairfax,1b,https://www.fairfaxcounty.gov/health/
Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
Amelia,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
"Manassas Park","Prince William",1b,https://www.vdh.virginia.gov/prince-william/
"Buena Vista City","Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Frederick,"Lord Fairfax",1b,https://www.vdh.virginia.gov/lord-fairfax/
Dickenson,"Cumberland Plateau",1b,https://www.vdh.virginia.gov/cumberland-plateau/
"King and Queen","Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Appomattox,"Central Virginia",1a,https://www.vdh.virginia.gov/central-virginia/
"Isle of Wight","Western Tidewater",1a,https://www.vdh.virginia.gov/western-tidewater/
Buckingham,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
Louisa,"Blue Ridge",1b,https://www.vdh.virginia.gov/blue-ridge/
Mecklenburg,Southside,1b,https://www.vdh.virginia.gov/southside/
Lexington,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
"Franklin City","Western Tidewater",1a,https://www.vdh.virginia.gov/western-tidewater/
Dinwiddie,Crater,1a,https://www.vdh.virginia.gov/crater/
"Prince George",Crater,1a,https://www.vdh.virginia.gov/crater/
Petersburg,Crater,1a,https://www.vdh.virginia.gov/crater/
"New Kent",Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
"Newport News",Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
Scott,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
Southampton,"Western Tidewater",1a,https://www.vdh.virginia.gov/western-tidewater/
"Roanoke City",Roanoke,1b,https://www.vdh.virginia.gov/roanoke/
Warren,"Lord Fairfax",1b,https://www.vdh.virginia.gov/lord-fairfax/
"Franklin County","West Piedmont",1a,https://www.vdh.virginia.gov/west-piedmont/
"Charles City",Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
Loudoun,Loudoun,1b,https://www.loudoun.gov/health
Middlesex,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Danville,Pittsylvania-Danville,1b,https://www.vdh.virginia.gov/pittsylvania-danville/
Russell,"Cumberland Plateau",1b,https://www.vdh.virginia.gov/cumberland-plateau/
Charlottesville,"Blue Ridge",1b,https://www.vdh.virginia.gov/blue-ridge/
"King William","Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Mathews,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
"Richmond City",Richmond,1b,https://www.vdh.virginia.gov/richmond-city/
Westmoreland,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Pulaski,"New River",1b,https://www.nrvroadtowellness.com/
Henrico,Henrico,1b,https://henrico.us/health/
Hopewell,Crater,1a,https://www.vdh.virginia.gov/crater/
Caroline,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
Nelson,"Blue Ridge",1b,https://www.vdh.virginia.gov/blue-ridge/
Powhatan,Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
Campbell,"Central Virginia",1a,https://www.vdh.virginia.gov/central-virginia/
Hanover,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
Chesapeake,Chesapeake,1b,https://www.vdh.virginia.gov/chesapeake/
Buchanan,"Cumberland Plateau",1b,https://www.vdh.virginia.gov/cumberland-plateau/
Fluvanna,"Blue Ridge",1b,https://www.vdh.virginia.gov/blue-ridge/
Poquoson,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
Fauquier,"Rappahannock Rapidan",1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
Amherst,"Central Virginia",1a,https://www.vdh.virginia.gov/central-virginia/
Fredericksburg,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
Grayson,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
Martinsville,"West Piedmont",1a,https://www.vdh.virginia.gov/west-piedmont/
Bristol,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
Harrisonburg,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
"Prince Edward",Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
Cumberland,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
Greensville,Crater,1a,https://www.vdh.virginia.gov/crater/
Carroll,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
Rockingham,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Montgomery,"New River",1b,https://www.nrvroadtowellness.com/
Chesterfield,Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
"Manassas City","Prince William",1b,https://www.vdh.virginia.gov/prince-william/
Page,"Lord Fairfax",1b,https://www.vdh.virginia.gov/lord-fairfax/
Arlington,Arlington,1b,https://www.arlingtonva.us/covid-19/
Bedford,"Central Virginia",1a,https://www.vdh.virginia.gov/central-virginia/
Lunenburg,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
Essex,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Greene,"Blue Ridge",1b,https://www.vdh.virginia.gov/blue-ridge/
Washington,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
"Virginia Beach","Virginia Beach",1a,https://www.vdh.virginia.gov/virginia-beach/
Giles,"New River",1b,https://www.nrvroadtowellness.com/
Clarke,"Lord Fairfax",1b,https://www.vdh.virginia.gov/lord-fairfax/
Alleghany,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
Gloucester,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Bland,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
York,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
Norfolk,Norfolk,1a,https://www.norfolk.gov/153/Public-Health
Henry,"West Piedmont",1a,https://www.vdh.virginia.gov/west-piedmont/
Staunton,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
Smyth,"Mount Rogers",1b,https://www.vdh.virginia.gov/mount-rogers/
"Roanoke County",Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
"Prince William","Prince William",1b,https://www.vdh.virginia.gov/prince-william/
"Fairfax City",Fairfax,1b,https://www.fairfaxcounty.gov/health/
Stafford,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
Salem,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
Halifax,Southside,1b,https://www.vdh.virginia.gov/southside/
Sussex,Crater,1a,https://www.vdh.virginia.gov/crater/
"Colonial Heights",Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
Albemarle,"Blue Ridge",1b,https://www.vdh.virginia.gov/blue-ridge/
Floyd,"New River",1b,https://www.nrvroadtowellness.com/
Nottoway,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
Shenandoah,"Lord Fairfax",1b,https://www.vdh.virginia.gov/lord-fairfax/
Portsmouth,Portsmouth,1a,https://www.vdh.virginia.gov/portsmouth/
Alexandria,Alexandria,1b,https://www.alexandriava.gov/Health
Covington,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
Pittsylvania,Pittsylvania-Danville,1b,https://www.vdh.virginia.gov/pittsylvania-danville/
Northumberland,"Three Rivers",1b,https://www.vdh.virginia.gov/three-rivers/
Highland,"Central Shenandoah",1a,https://www.vdh.virginia.gov/central-shenandoah/
