"﻿Report Date","Week End Date","Geography Type","Geography Name","Facility Type","Count of ED Visits","Count of UC Visits","Count of CLI Visits","Percent of CLI Visits","Count of CLI Hospitalizations","Percent of  CLI Hospitalizations"
7/13/2020,7/11/2020,"Health Region","Central Region","Urgent Care",0,6781,1875,28,0,0
7/13/2020,4/25/2020,"Health Region","Northwest Region","Emergency Department",6586,0,565,9,151,27
7/13/2020,5/2/2020,"Health Region","Northwest Region","Urgent Care",0,1636,211,13,0,0
7/13/2020,4/25/2020,"Health Region","Northern Region","Emergency Department",7198,0,1386,19,109,8
7/13/2020,3/7/2020,"Health Region","Eastern Region","Urgent Care",0,12703,980,8,0,0
7/13/2020,7/11/2020,"Health Region","Northern Region","Urgent Care",0,7173,2299,32,0,0
7/13/2020,6/27/2020,"Health Region","Northwest Region","Emergency Department",8300,0,366,4,119,33
7/13/2020,4/25/2020,"Health Region","Southwest Region","Emergency Department",6518,0,385,6,167,43
7/13/2020,4/11/2020,"Health Region","Eastern Region","Emergency Department",9647,0,864,9,218,25
7/13/2020,4/4/2020,"Health Region","Central Region","Urgent Care",0,3003,93,3,0,0
7/13/2020,5/9/2020,"Health Region","Eastern Region","Urgent Care",0,5829,808,14,0,0
7/13/2020,6/27/2020,"Health Region","Northern Region","Emergency Department",8844,0,526,6,74,14
7/13/2020,4/18/2020,"Health Region","Northwest Region","Urgent Care",0,1415,105,7,0,0
7/13/2020,7/11/2020,"Health Region","Southwest Region","Emergency Department",9900,0,527,5,155,29
7/13/2020,6/13/2020,"Health Region","Eastern Region","Emergency Department",13424,0,482,4,193,40
7/13/2020,5/23/2020,"Health Region","Southwest Region","Emergency Department",7872,0,321,4,144,45
7/13/2020,7/11/2020,"Health Region","Northwest Region","Emergency Department",8804,0,435,5,140,32
7/13/2020,5/9/2020,"Health Region","Central Region","Urgent Care",0,4505,1035,23,0,0
7/13/2020,3/21/2020,"Health Region","Southwest Region","Emergency Department",9056,0,849,9,181,21
7/13/2020,5/9/2020,"Health Region","Southwest Region","Emergency Department",7253,0,392,5,178,45
7/13/2020,6/27/2020,"Health Region","Southwest Region","Emergency Department",9459,0,475,5,158,33
7/13/2020,3/7/2020,"Health Region","Central Region","Urgent Care",0,7414,398,5,0,0
7/13/2020,4/11/2020,"Health Region","Northern Region","Urgent Care",0,2986,380,13,0,0
7/13/2020,6/13/2020,"Health Region","Southwest Region","Urgent Care",0,1694,37,2,0,0
7/13/2020,5/30/2020,"Health Region","Eastern Region","Emergency Department",12295,0,526,4,185,35
7/13/2020,3/7/2020,"Health Region","Central Region","Emergency Department",15695,0,709,5,206,29
7/13/2020,3/7/2020,"Health Region","Northwest Region","Emergency Department",11247,0,595,5,145,24
7/13/2020,5/23/2020,"Health Region","Central Region","Emergency Department",10002,0,816,8,337,41
7/13/2020,6/13/2020,"Health Region","Northern Region","Emergency Department",8480,0,609,7,87,14
7/13/2020,3/21/2020,"Health Region","Central Region","Urgent Care",0,4706,329,7,0,0
7/13/2020,4/11/2020,"Health Region","Northern Region","Emergency Department",6592,0,1118,17,101,9
