Date,Cases,The total number of confirmed COVID-19 patients who have been hospitalized and discharged.,Total currently hospitalized patients confirmed positive COVID-19.,Total currently receiving inpatient hospital care whose COVID-19 test results are pending.,"Combined number of confirmed positive COVID-19 patients, and those whose COVID-19 test results are pending, currently hospitalized in the ICU.","Combined number of hospital patients, both confirmed for COVID-19, and those with test results pending, currently on a ventilator.",Total ventilators on-hand in hospitals.,Total ventilators in use at hospitals.,Share of total ventilators in use,Bed Availability,Beds Added Under Executive Order 52,Number of Virginia hospitals experiencing difficulty in obtaining or replenishing PPE in the next 72 hours.,The number of Virginia hospitals experiencing difficulty in obtaining or replenishing other medical supplies in the next 72 hours.
2020-04-06,1194,N/A,538,656,387,285,2566,666,26%,5519,N/A,11,1
2020-04-07,1183,N/A,589,594,408,283,2533,692,27%,5461,N/A,11,1
2020-04-08,1289,N/A,649,640,468,293,2574,705,27%,5325,N/A,12,3
2020-04-09,1296,N/A,669,627,469,285,2734,700,26%,5691,N/A,7,2
2020-04-10,1238,N/A,717,521,457,287,2797,686,25%,5846,N/A,8,3
2020-04-11,1252,N/A,735,517,426,283,2801,654,23%,5975,N/A,8,3
2020-04-12,1272,N/A,751,521,440,294,2815,627,22%,5953,N/A,7,2
2020-04-13,1238,467,765,473,428,302,2833,659,23%,5970,N/A,7,2
2020-04-14,1282,721,813,469,422,276,2838,709,25%,5991,N/A,7,2
2020-04-15,1298,752,802,496,394,234,2865,695,24%,5617,N/A,6,1
2020-04-16,1337,951,800,537,427,238,2841,700,25%,5543,N/A,6,1
2020-04-17,1308,1110,809,499,400,224,2862,622,22%,5587,N/A,6,1
2020-04-18,1307,1228,821,486,398,230,2865,608,21%,6097,N/A,6,1
2020-04-19,1319,1267,820,499,288,231,2886,598,21%,5853,N/A,6,1
2020-04-20,1296,1324,828,468,396,237,2908,626,22%,5961,N/A,6,1
2020-04-21,1331,1418,854,477,403,251,2887,629,22%,5465,N/A,4,0
2020-04-22,1374,1497,879,495,419,244,2888,650,23%,5519,N/A,3,0
2020-04-23,1379,1567,887,492,400,249,2899,635,22%,5327,N/A,3,0
2020-04-24,1399,1672,912,487,379,220,2903,646,22%,5485,N/A,4,1
2020-04-25,1405,1717,923,482,357,223,2935,629,21%,5353,N/A,3,1
2020-04-26,1436,1815,897,539,387,217,2987,649,22%,5320,N/A,2,1
2020-04-27,1455,1843,913,542,389,217,2982,616,21%,5433,N/A,2,1
2020-04-28,1508,1914,948,560,376,217,2988,596,20%,5177,N/A,2,1
2020-04-29,1566,2042,946,620,387,222,2997,589,20%,5152,N/A,1,0
2020-04-30,1550,2104,967,583,372,208,2974,613,21%,5099,N/A,2,1
2020-05-01,1431,2196,963,468,366,193,2953,593,20%,5181,N/A,2,1
2020-05-02,1426,2312,968,458,375,202,2932,589,20%,5070,N/A,1,1
2020-05-03,1413,2497,948,465,385,193,2950,589,20%,5187,N/A,0,0
2020-05-04,1463,2547,985,478,348,192,2938,593,20%,5017,N/A,0,0
2020-05-05,1496,2617,1027,469,361,189,2952,591,20%,4726,3695,0,0
2020-05-06,1594,2734,1079,515,396,192,2917,603,21%,4761,3695,0,0
2020-05-07,1613,2825,1094,519,371,203,2912,587,20%,4683,3695,0,0
2020-05-08,1625,2997,1076,549,378,199,2935,591,20%,4635,3695,0,0
2020-05-09,1593,3124,1092,501,367,198,2920,623,21%,4698,3695,0,0
2020-05-10,1555,3201,1049,506,351,187,2874,600,21%,4686,3695,0,0
2020-05-11,1504,3273,1072,432,362,194,2885,602,21%,4647,3695,0,0
2020-05-12,1529,3400,1082,447,364,201,2937,662,23%,4784,3695,0,0
2020-05-13,1526,3554,1041,485,374,202,2935,656,22%,4546,3695,0,0
2020-05-14,1533,3678,1037,496,355,201,2942,652,22%,4360,3695,0,0
2020-05-15,1511,3805,1053,458,362,195,2953,624,21%,4328,3695,0,0
2020-05-16,1505,3909,1020,485,381,189,2952,621,21%,4477,3695,0,0
2020-05-17,1524,3993,997,527,379,195,2940,611,21%,4550,3695,0,0
2020-05-18,1502,4107,972,530,361,194,2933,629,21%,4389,3695,0,0
2020-05-19,1497,4271,1024,473,377,199,2947,638,22%,4411,3695,0,0
2020-05-20,1536,4523,1018,518,370,202,2947,638,22%,4264,3695,0,0
2020-05-21,1491,4778,1001,490,351,191,2956,627,21%,4250,3695,0,0
2020-05-22,1459,4963,995,464,366,207,2959,636,21%,4189,3695,0,0
2020-05-23,1384,5047,975,409,330,213,2953,623,21%,4285,3695,0,0
2020-05-24,1351,5102,940,411,354,192,2954,612,21%,4572,3695,0,0
2020-05-25,1376,5145,962,414,349,182,2954,611,21%,4508,3695,0,0
2020-05-26,1403,5227,991,412,366,190,2954,619,21%,4516,3695,0,0
2020-05-27,1459,5367,1015,444,390,203,2994,610,20%,4300,3695,0,0
2020-05-28,1502,5472,1026,476,416,195,2949,627,21%,4080,3695,0,0
2020-05-29,1524,5648,999,525,373,193,2954,626,21%,4107,3695,0,0
2020-05-30,1471,5745,990,481,372,194,2982,631,21%,4330,3695,0,0
2020-05-31,1458,5868,958,500,371,196,2984,623,21%,4792,3695,0,0
2020-06-01,1371,5899,952,419,347,188,2984,631,21%,4420,3695,0,0
2020-06-02,1362,6011,912,450,336,186,2956,584,20%,4543,3695,0,0
2020-06-03,1311,6165,876,435,313,185,2984,613,21%,4162,3695,0,0
2020-06-04,1266,6284,854,412,321,171,2953,557,19%,4152,3695,0,0
2020-06-05,1205,6392,831,374,320,161,2959,583,20%,4243,3695,0,0
2020-06-06,1171,6382,821,350,324,169,2959,609,21%,4196,3695,0,0
2020-06-07,1186,6538,801,385,316,165,2965,588,20%,4374,3695,0,0
2020-06-08,1173,6557,800,373,308,160,2982,545,18%,4427,3695,0,0
2020-06-09,1169,6677,786,383,311,155,2989,580,19%,4339,3695,0,0
2020-06-10,1155,6826,748,407,296,139,2919,592,20%,3882,3695,2,0
2020-06-11,1069,6895,711,358,273,138,2952,587,20%,3834,3695,0,0
2020-06-12,1026,7002,663,363,297,143,2975,614,21%,3792,3695,0,0
2020-06-13,959,7131,676,283,295,142,2975,610,21%,3931,3695,0,0
2020-06-14,958,7178,656,302,334,155,2954,625,21%,4146,3695,0,0
2020-06-15,902,7230,643,259,269,130,2944,600,20%,4519,3695,0,0
2020-06-16,904,7341,647,257,241,125,2979,598,20%,4272,3695,0,0
2020-06-17,938,7429,625,313,249,120,2980,603,20%,3988,3695,0,0
2020-06-18,857,7493,598,259,241,129,2982,581,19%,3882,3695,0,0
2020-06-19,862,7563,577,285,251,121,2992,585,20%,3863,3695,0,0
2020-06-20,880,7607,577,303,267,133,3025,611,20%,4052,3695,0,0
2020-06-21,863,7646,566,297,243,125,2966,610,21%,4193,3695,0,0
2020-06-22,848,7663,550,298,240,132,2968,653,22%,3421,3695,0,0
2020-06-23,847,7725,556,291,245,126,2995,634,21%,4324,3695,0,0
2020-06-24,886,7765,567,319,235,107,2995,611,20%,3762,3695,0,0
2020-06-25,854,7818,551,303,237,104,2993,589,20%,3624,3695,0,0
2020-06-26,854,7868,559,295,219,99,3027,571,19%,3796,3695,0,0
2020-06-27,819,7968,535,284,234,103,3022,582,19%,3847,3695,0,0
2020-06-28,818,8005,523,295,235,107,2973,604,20%,4027,3695,0,0
2020-06-29,796,8023,535,261,225,101,2982,591,20%,4102,3695,0,0
2020-06-30,902,8080,547,355,230,98,3034,615,20%,3909,3695,0,0
2020-07-01,892,8131,535,357,205,95,3033,645,21%,3646,3695,0,0
2020-07-02,888,8496,545,343,206,95,3020,664,22%,3758,3695,0,0
2020-07-03,818,8711,535,283,207,95,3020,646,21%,3728,3695,0,0
2020-07-04,808,8741,528,280,207,99,3000,620,21%,4024,3695,0,0
2020-07-05,792,8784,546,246,202,95,3000,634,21%,4294,3695,0,0
2020-07-06,783,8809,565,218,194,86,2999,633,21%,4239,3695,0,0
2020-07-07,902,8913,589,313,221,105,3004,638,21%,4052,3695,0,0
2020-07-08,971,9011,594,377,230,98,3006,635,21%,3682,3695,0,0
2020-07-09,956,9065,586,370,215,93,3002,631,21%,3612,3695,0,0
2020-07-10,1006,9189,628,378,234,102,2992,631,21%,3463,3695,0,0
2020-07-11,1020,9271,655,365,230,97,2992,621,21%,3530,3695,0,0
2020-07-12,1045,9310,656,389,228,101,2977,611,21%,3699,3695,0,0
2020-07-13,1129,9330,663,466,243,105,2977,614,21%,3799,3695,0,0
2020-07-14,1127,9423,707,420,249,112,3018,641,21%,3771,3695,0,0
2020-07-15,1081,9527,699,382,246,113,3055,664,22%,3543,3695,0,0
2020-07-16,1134,9644,690,444,248,118,3126,644,21%,3462,3695,0,0
2020-07-17,1171,9883,701,470,247,118,3083,623,20%,3534,3695,0,0
2020-07-18,1166,9976,745,421,254,108,3080,626,20%,3718,3695,0,0
2020-07-19,1186,10017,733,453,249,127,2983,586,20%,3820,3695,0,0
