"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-16,Arlington,Other,616,138,24
2020-06-16,Piedmont,White,250,20,3
2020-06-16,"Cumberland Plateau",Other,0,0,0
2020-06-16,Pittsylvania-Danville,White,72,17,3
2020-06-16,Roanoke,"Black or African American",25,6,2
2020-06-16,Alleghany,"Black or African American",9,1,1
2020-06-16,Richmond,"Not Reported",607,3,1
2020-06-16,"Central Virginia",Other,4,1,0
2020-06-16,Rappahannock,Other,558,61,4
2020-06-16,Roanoke,Other,6,0,0
2020-06-16,Piedmont,"Black or African American",297,41,2
2020-06-16,Chesterfield,Other,384,20,0
2020-06-16,Portsmouth,"Black or African American",184,46,9
2020-06-16,Portsmouth,"Not Reported",102,1,1
2020-06-16,Norfolk,"Not Reported",133,1,0
2020-06-16,"Eastern Shore",White,341,19,14
2020-06-16,"Eastern Shore","Not Reported",119,1,0
2020-06-16,Roanoke,White,93,4,8
2020-06-16,"Three Rivers",Other,60,6,0
2020-06-16,Fairfax,Other,5719,777,89
2020-06-16,Henrico,"Not Reported",617,4,1
2020-06-16,"Lord Fairfax",Other,289,22,3
2020-06-16,Piedmont,Other,41,4,0
2020-06-16,Lenowisco,"Black or African American",0,0,0
2020-06-16,Arlington,White,1162,178,68
2020-06-16,Hampton,"Black or African American",126,27,5
2020-06-16,Alexandria,White,912,80,29
2020-06-16,Hampton,"Not Reported",44,0,0
2020-06-16,Hampton,Other,17,3,0
2020-06-16,Alleghany,White,154,23,13
2020-06-16,"Prince William",Other,1808,247,11
2020-06-16,Arlington,"Not Reported",384,29,5
2020-06-16,"West Piedmont","Black or African American",70,17,1
2020-06-16,Peninsula,Other,55,10,1
2020-06-16,Norfolk,Other,65,5,0
2020-06-16,"Lord Fairfax","Black or African American",57,5,1
2020-06-16,"Mount Rogers","Not Reported",50,0,1
2020-06-16,"Central Virginia","Black or African American",22,2,1
2020-06-16,"West Piedmont",Other,92,6,1
2020-06-16,Portsmouth,White,72,9,2
2020-06-16,"Thomas Jefferson","Not Reported",92,0,0
2020-06-16,"Three Rivers","Not Reported",149,5,1
2020-06-16,"Virginia Beach","Black or African American",226,21,4
2020-06-16,"Prince William","Black or African American",597,110,33
2020-06-16,Loudoun,"Not Reported",1817,4,3
2020-06-16,Loudoun,White,827,106,62
2020-06-16,Peninsula,"Not Reported",161,2,0
2020-06-16,Pittsylvania-Danville,"Black or African American",47,11,0
2020-06-16,Henrico,White,658,80,70
2020-06-16,Richmond,White,263,20,4
2020-06-16,Southside,"Black or African American",63,16,7
2020-06-16,Chickahominy,White,250,57,24
2020-06-16,"Thomas Jefferson",Other,141,6,2
2020-06-16,"Virginia Beach",Other,107,22,2
2020-06-16,"Central Shenandoah","Black or African American",88,5,2
2020-06-16,Chesterfield,White,510,57,40
2020-06-16,"Central Virginia",White,84,10,3
2020-06-16,Rappahannock,White,595,66,23
2020-06-16,"New River",White,101,16,4
2020-06-16,"Mount Rogers",Other,43,3,1
2020-06-16,Crater,White,249,22,6
2020-06-16,Alleghany,"Not Reported",107,3,0
2020-06-16,"Mount Rogers",White,463,56,19
2020-06-16,Alexandria,"Not Reported",416,16,3
2020-06-16,Chickahominy,"Black or African American",92,31,9
2020-06-16,Chesapeake,"Black or African American",236,50,5
2020-06-16,"Western Tidewater","Not Reported",213,1,1
2020-06-16,"Cumberland Plateau","Not Reported",1,0,0
2020-06-16,"Western Tidewater",Other,29,1,0
2020-06-16,Loudoun,"Black or African American",111,15,2
2020-06-16,"Virginia Beach",White,436,64,21
2020-06-16,Chickahominy,Other,34,10,1
2020-06-16,"New River","Black or African American",7,1,0
2020-06-16,"Virginia Beach","Not Reported",140,3,0
2020-06-16,"Rappahannock Rapidan",Other,96,18,2
2020-06-16,Piedmont,"Not Reported",324,8,2
2020-06-16,Portsmouth,Other,29,3,0
2020-06-16,Pittsylvania-Danville,"Not Reported",15,4,0
2020-06-16,"West Piedmont","Not Reported",48,1,0
2020-06-16,Norfolk,White,177,26,2
2020-06-16,Hampton,White,59,7,0
2020-06-16,"Western Tidewater","Black or African American",271,43,21
2020-06-16,"Prince William","Not Reported",4093,55,0
2020-06-16,Fairfax,White,3576,493,250
2020-06-16,Lenowisco,Other,1,0,0
2020-06-16,Southside,"Not Reported",148,13,7
2020-06-16,Chesapeake,White,296,44,9
2020-06-16,"New River",Other,6,1,0
2020-06-16,Norfolk,"Black or African American",306,52,5
2020-06-16,"Central Shenandoah",Other,259,21,1
2020-06-16,Southside,Other,32,1,1
2020-06-16,Pittsylvania-Danville,Other,2,0,0
2020-06-16,"Cumberland Plateau",White,23,2,0
2020-06-16,"Rappahannock Rapidan","Black or African American",79,16,4
2020-06-16,Fairfax,"Not Reported",3151,98,68
2020-06-16,Chesapeake,"Not Reported",84,2,0
2020-06-16,"Thomas Jefferson",White,353,36,13
2020-06-16,Richmond,Other,490,65,3
2020-06-16,Peninsula,"Black or African American",198,34,10
2020-06-16,Henrico,Other,355,39,7
2020-06-16,"Cumberland Plateau","Black or African American",12,0,0
2020-06-16,Loudoun,Other,684,81,9
2020-06-16,Crater,Other,39,1,1
2020-06-16,Arlington,"Black or African American",201,62,28
