"﻿Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths","Health Planning Region"
2020-04-04,Probable,1,0,0,Southwest
2020-05-28,Probable,7,0,0,Northwest
2020-06-28,Confirmed,17,7,3,Northern
2020-04-24,Confirmed,536,60,18,Northern
2020-03-25,Probable,3,0,0,Northwest
2020-03-23,Probable,3,0,0,Northwest
2020-03-01,Probable,1,0,0,Northern
2020-06-13,Confirmed,56,4,1,Eastern
2020-06-12,Confirmed,122,14,1,Central
2020-02-17,Confirmed,2,1,0,Northern
2020-05-12,Probable,3,1,0,Eastern
2020-04-09,Confirmed,14,1,0,Southwest
2020-03-28,Probable,2,0,0,Northwest
2020-03-19,Confirmed,14,0,0,Southwest
2020-03-09,Confirmed,6,0,0,Central
2020-06-29,Probable,1,0,0,Eastern
2020-03-08,Confirmed,5,0,0,Eastern
2020-03-12,Confirmed,12,1,0,Northwest
2020-05-29,Probable,6,0,0,Northern
2020-06-15,Confirmed,129,2,1,Central
2020-06-18,Confirmed,98,3,0,Eastern
2020-04-23,Confirmed,423,47,8,Northern
2020-06-13,Probable,2,0,0,Southwest
2020-05-09,Probable,1,0,0,Central
2020-04-11,Confirmed,68,2,2,Northwest
2020-03-14,Probable,1,0,0,Central
2020-03-04,Confirmed,5,0,0,Eastern
2020-04-18,Probable,2,0,0,Eastern
2020-05-29,Probable,0,1,0,Central
2020-05-06,Confirmed,177,10,1,Central
2020-03-17,Probable,1,0,0,Eastern
2020-05-09,Confirmed,65,5,6,Eastern
2020-04-15,Probable,2,0,0,Central
2020-02-28,Confirmed,1,0,0,Northwest
2020-03-23,Confirmed,11,1,0,Southwest
2020-03-21,Confirmed,86,10,1,Northern
2020-05-05,Probable,0,0,1,Central
2020-03-29,Probable,2,0,0,Eastern
2020-06-16,Confirmed,119,3,1,Central
2020-06-17,Confirmed,92,4,3,Eastern
2020-05-19,Probable,12,0,0,Northern
2020-06-22,Confirmed,101,5,0,Central
2020-03-27,Confirmed,39,8,0,Northwest
2020-06-19,Confirmed,81,6,1,Eastern
2020-03-30,Confirmed,46,16,2,Eastern
2020-06-22,Probable,3,0,0,Eastern
2020-03-27,Confirmed,55,10,3,Central
2020-06-20,Confirmed,54,4,0,Central
2020-02-16,Probable,1,0,0,Northern
2020-06-21,Confirmed,52,4,0,Eastern
2020-04-19,Confirmed,42,8,8,Central
2020-05-14,Probable,14,1,2,Northern
2020-04-16,Confirmed,71,7,4,Eastern
2020-04-16,Confirmed,112,15,13,Central
2020-04-19,Confirmed,79,5,2,Eastern
2020-03-16,Confirmed,6,2,0,Southwest
2020-03-31,Probable,2,1,0,Northwest
2020-03-13,Probable,3,0,0,Northern
2020-05-05,Probable,10,0,1,Northwest
2020-06-20,Confirmed,126,5,1,Northern
2020-04-07,Confirmed,17,3,0,Southwest
2020-05-20,Probable,11,0,0,Northwest
2020-04-28,Probable,1,0,0,Southwest
2020-05-27,Probable,6,0,0,Eastern
2020-04-04,Probable,10,0,0,Northern
2020-03-26,Confirmed,11,2,0,Southwest
2020-06-03,Confirmed,241,19,12,Northern
2020-04-12,Probable,1,0,0,Southwest
2020-05-10,Probable,11,0,0,Northern
2020-06-05,Probable,16,0,0,Northwest
2020-03-18,Confirmed,19,2,0,Northwest
2020-03-08,Confirmed,1,0,0,Southwest
2020-06-23,Confirmed,74,4,1,Southwest
2020-05-14,Confirmed,36,0,0,Southwest
2020-05-03,Probable,2,0,0,Eastern
2020-03-27,Probable,1,0,2,Central
2020-03-03,Probable,1,0,0,Northern
2020-03-24,Confirmed,19,6,0,Northwest
2020-04-02,Confirmed,185,27,3,Northern
2020-05-01,Confirmed,717,70,13,Northern
2020-05-18,Probable,1,0,0,Central
2020-06-23,Confirmed,157,7,2,Northern
2020-05-25,Probable,12,0,0,Northwest
2020-04-01,Probable,1,0,0,Central
2020-04-28,Probable,3,0,0,Eastern
2020-03-29,Confirmed,92,25,4,Northern
2020-05-23,Probable,4,0,3,Northern
2020-03-31,Confirmed,8,4,0,Southwest
2020-04-22,Confirmed,83,9,4,Eastern
2020-04-21,Confirmed,75,5,3,Central
2020-05-17,Confirmed,44,9,3,Eastern
2020-05-14,Confirmed,148,10,1,Central
2020-03-19,Probable,2,0,0,Northwest
2020-03-01,Probable,2,0,0,Eastern
2020-03-15,Confirmed,24,1,0,Northwest
2020-06-20,Confirmed,48,3,2,Northwest
2020-03-28,Confirmed,35,22,1,Eastern
2020-05-27,Confirmed,119,6,4,Northwest
2020-03-29,Confirmed,42,14,2,Central
2020-02-19,Confirmed,1,0,0,Central
2020-04-02,Confirmed,50,5,0,Northwest
2020-02-17,Probable,1,0,0,Northern
2020-05-08,Confirmed,629,48,15,Northern
2020-04-29,Probable,21,2,4,Northern
2020-06-08,Probable,12,0,0,Northwest
2020-03-12,Confirmed,26,2,0,Eastern
2020-03-13,Confirmed,12,2,0,Central
2020-06-19,Probable,1,0,0,Northern
2020-06-02,Probable,6,0,1,Northern
2020-06-24,Probable,1,0,0,Central
2020-03-03,Confirmed,9,0,0,Northern
2020-03-28,Probable,6,0,0,Northern
2020-06-27,Confirmed,22,0,0,Northwest
2020-05-18,Confirmed,184,14,1,Northwest
2020-06-09,Probable,1,0,0,Southwest
2020-04-27,Confirmed,575,62,14,Northern
2020-03-20,Confirmed,18,1,0,Southwest
2020-04-23,Probable,30,0,5,Northern
2020-06-29,Confirmed,35,1,0,Southwest
2020-06-28,Confirmed,32,3,3,Central
2020-06-29,Confirmed,77,6,0,Eastern
2020-05-20,Confirmed,61,4,3,Southwest
2020-06-18,Probable,3,0,0,Northern
2020-05-10,Confirmed,112,5,3,Central
2020-05-13,Confirmed,80,7,3,Eastern
2020-03-07,Probable,1,0,0,Northwest
2020-04-11,Probable,7,0,0,Northwest
2020-05-23,Probable,1,0,0,Southwest
2020-04-10,Probable,11,0,0,Northwest
2020-06-21,Probable,3,0,0,Northern
2020-04-09,Probable,4,0,0,Northwest
2020-06-14,Probable,2,0,0,Northwest
2020-05-10,Confirmed,398,42,21,Northern
2020-06-26,Probable,5,0,0,Northern
2020-05-24,Probable,8,0,0,Eastern
2020-04-04,Confirmed,28,8,0,Eastern
2020-04-07,Confirmed,89,21,7,Central
2020-02-29,Confirmed,1,0,0,Northwest
2020-04-15,Probable,14,0,0,Northern
2020-05-06,Confirmed,603,63,11,Northern
2020-06-10,Probable,6,0,0,Northwest
2020-04-30,Confirmed,23,2,4,Southwest
2020-04-13,Confirmed,388,53,11,Northern
2020-03-28,Confirmed,29,10,1,Northwest
2020-06-26,Probable,4,0,0,Northwest
2020-04-30,Probable,6,0,0,Eastern
2020-03-25,Confirmed,33,9,0,Northwest
2020-04-03,Probable,3,0,0,Central
2020-05-22,Confirmed,458,47,12,Northern
2020-06-16,Confirmed,162,7,1,Northern
2020-05-16,Probable,8,0,0,Northwest
2020-05-02,Probable,1,0,0,Southwest
2020-03-14,Probable,6,0,0,Northern
2020-03-05,Confirmed,7,2,0,Northern
2020-04-28,Confirmed,130,10,2,Northwest
2020-03-05,Probable,1,0,0,Northern
2020-05-31,Confirmed,36,3,0,Eastern
2020-06-01,Confirmed,184,13,0,Central
2020-05-22,Confirmed,203,11,4,Central
2020-05-25,Confirmed,63,7,2,Eastern
2020-04-03,Probable,5,0,0,Northern
2020-03-11,Probable,3,0,0,Northwest
2020-03-01,Confirmed,2,0,0,Northwest
2020-04-06,Probable,22,0,2,Northern
2020-06-17,Probable,2,0,1,Northern
2020-06-01,Confirmed,379,19,8,Northern
2020-07-02,Probable,1,0,0,Northwest
2020-03-15,Probable,2,0,0,Northwest
2020-05-22,Probable,2,0,0,Central
2020-04-05,Confirmed,49,5,0,Northwest
2020-03-19,Confirmed,41,4,0,Eastern
2020-03-11,Probable,6,0,0,Northern
2020-06-24,Confirmed,97,1,0,Southwest
2020-03-22,Confirmed,17,4,2,Central
2020-05-15,Confirmed,36,1,1,Southwest
2020-04-14,Probable,2,0,0,Central
2020-03-10,Confirmed,5,0,0,Northwest
2020-03-18,Probable,2,0,0,Eastern
2020-03-28,Confirmed,109,22,1,Northern
2020-04-01,Probable,4,0,0,Eastern
2020-04-02,Confirmed,48,12,7,Central
2020-04-01,Confirmed,36,17,1,Eastern
2020-04-09,Probable,7,0,0,Eastern
2020-05-07,Probable,5,0,1,Eastern
2020-03-21,Confirmed,12,2,0,Southwest
2020-06-02,Probable,1,0,0,Southwest
2020-04-17,Probable,5,0,0,Northwest
2020-03-12,Probable,1,0,0,Eastern
2020-03-27,Probable,1,0,0,Eastern
2020-05-02,Confirmed,15,4,0,Southwest
2020-03-02,Probable,1,0,0,Northwest
2020-04-28,Probable,21,0,2,Northern
2020-03-08,Probable,1,0,0,Eastern
2020-06-06,Confirmed,46,6,0,Eastern
2020-06-03,Confirmed,161,10,3,Central
2020-03-15,Probable,2,0,0,Eastern
2020-04-13,Probable,4,0,0,Central
2020-03-28,Probable,1,0,0,Southwest
2020-04-13,Probable,4,0,0,Eastern
2020-03-19,Confirmed,20,1,0,Northwest
2020-05-03,Probable,13,0,2,Northern
2020-05-30,Confirmed,31,2,3,Southwest
2020-06-07,Confirmed,23,3,2,Southwest
2020-05-04,Probable,8,0,1,Northwest
2020-06-22,Confirmed,97,3,0,Southwest
2020-05-30,Confirmed,147,2,5,Central
2020-05-29,Confirmed,51,1,2,Southwest
2020-06-02,Confirmed,64,3,1,Eastern
2020-03-16,Confirmed,13,1,0,Central
2020-03-20,Probable,8,0,0,Northern
2020-03-17,Confirmed,50,6,0,Eastern
2020-04-18,Probable,5,0,0,Northwest
2020-04-16,Probable,2,0,0,Eastern
2020-05-30,Probable,2,0,0,Southwest
2020-03-12,Probable,3,0,0,Central
2020-03-13,Confirmed,57,2,0,Northern
2020-06-25,Confirmed,85,4,0,Eastern
2020-06-24,Confirmed,93,4,0,Central
2020-06-21,Confirmed,54,6,0,Central
2020-05-27,Probable,13,0,0,Northern
2020-06-20,Confirmed,52,4,2,Eastern
2020-04-14,Probable,5,0,0,Northwest
2020-03-03,Confirmed,2,0,0,Central
2020-05-02,Probable,2,0,1,Eastern
2020-03-06,Confirmed,6,0,0,Eastern
2020-06-16,Probable,2,0,0,Eastern
2020-06-18,Probable,4,0,0,Northwest
2020-05-14,Confirmed,530,46,12,Northern
2020-04-10,Confirmed,96,7,2,Northwest
2020-06-17,Probable,6,0,0,Northwest
2020-05-15,Confirmed,637,44,13,Northern
2020-03-22,Probable,6,0,0,Northern
2020-04-05,Probable,6,0,0,Northwest
2020-03-22,Confirmed,22,5,0,Northwest
2020-04-24,Confirmed,91,10,5,Northwest
2020-03-04,Confirmed,3,0,0,Northwest
2020-04-29,Probable,3,0,1,Central
2020-03-31,Probable,1,0,0,Eastern
2020-05-08,Confirmed,131,11,7,Central
2020-05-07,Confirmed,126,5,5,Eastern
2020-05-06,Confirmed,303,7,5,Eastern
2020-05-09,Confirmed,73,6,1,Central
2020-04-15,Probable,3,0,0,Eastern
2020-03-17,Probable,5,0,0,Central
2020-03-14,Confirmed,73,3,0,Northern
2020-04-08,Confirmed,12,3,1,Southwest
2020-03-22,Probable,2,0,0,Central
2020-04-26,Probable,1,0,0,Eastern
2020-06-12,Confirmed,171,16,2,Northern
2020-04-20,Probable,1,0,0,Southwest
2020-05-12,Probable,14,0,0,Northwest
2020-04-19,Probable,1,0,0,Southwest
2020-05-31,Probable,2,0,0,Northwest
