Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-07-10,Central,Confirmed,7,0,0
2020-07-10,Eastern,Confirmed,4,0,0
2020-07-10,Northern,Confirmed,4,0,0
2020-07-10,Northwest,Confirmed,10,0,0
2020-07-10,Southwest,Confirmed,2,0,0
2020-07-09,Central,Confirmed,15,3,0
2020-07-09,Eastern,Confirmed,17,0,0
2020-07-09,Northern,Confirmed,9,0,2
2020-07-09,Northern,Probable,2,0,0
2020-07-09,Northwest,Confirmed,26,0,0
2020-07-09,Northwest,Probable,7,0,0
2020-07-09,Southwest,Confirmed,5,1,0
2020-07-09,Southwest,Probable,1,0,0
2020-07-08,Central,Confirmed,35,4,0
2020-07-08,Eastern,Confirmed,123,3,2
2020-07-08,Northern,Confirmed,34,2,1
2020-07-08,Northern,Probable,7,0,0
2020-07-08,Northwest,Confirmed,31,3,0
2020-07-08,Northwest,Probable,5,0,0
2020-07-08,Southwest,Confirmed,7,2,0
2020-07-07,Central,Confirmed,105,4,0
2020-07-07,Eastern,Confirmed,176,4,0
2020-07-07,Eastern,Probable,3,0,0
2020-07-07,Northern,Confirmed,46,5,0
2020-07-07,Northern,Probable,1,0,0
2020-07-07,Northwest,Confirmed,45,4,0
2020-07-07,Northwest,Probable,10,0,0
2020-07-07,Southwest,Confirmed,31,5,0
2020-07-07,Southwest,Probable,1,0,0
2020-07-06,Central,Confirmed,55,4,0
2020-07-06,Eastern,Confirmed,197,5,0
2020-07-06,Eastern,Probable,1,0,0
2020-07-06,Northern,Confirmed,54,5,0
2020-07-06,Northern,Probable,6,0,0
2020-07-06,Northwest,Confirmed,39,1,0
2020-07-06,Northwest,Probable,11,0,0
2020-07-06,Southwest,Confirmed,40,4,0
2020-07-06,Southwest,Probable,1,0,0
2020-07-05,Central,Confirmed,32,2,0
2020-07-05,Eastern,Confirmed,106,5,2
2020-07-05,Eastern,Probable,4,0,0
2020-07-05,Northern,Confirmed,41,6,1
2020-07-05,Northern,Probable,4,0,0
2020-07-05,Northwest,Confirmed,28,5,0
2020-07-05,Northwest,Probable,18,2,0
2020-07-05,Southwest,Confirmed,20,2,0
2020-07-05,Southwest,Probable,1,0,0
2020-07-04,Central,Confirmed,25,5,1
2020-07-04,Eastern,Confirmed,95,2,1
2020-07-04,Eastern,Probable,1,0,0
2020-07-04,Northern,Confirmed,26,5,0
2020-07-04,Northern,Probable,3,0,0
2020-07-04,Northwest,Confirmed,29,4,0
2020-07-04,Northwest,Probable,18,1,0
2020-07-04,Southwest,Confirmed,18,0,0
2020-07-03,Central,Confirmed,33,5,0
2020-07-03,Eastern,Confirmed,102,4,2
2020-07-03,Eastern,Probable,2,0,0
2020-07-03,Northern,Confirmed,34,4,1
2020-07-03,Northern,Probable,3,0,0
2020-07-03,Northwest,Confirmed,36,7,2
2020-07-03,Northwest,Probable,7,0,0
2020-07-03,Southwest,Confirmed,20,1,0
2020-07-03,Southwest,Probable,1,0,0
2020-07-02,Central,Confirmed,77,5,1
2020-07-02,Eastern,Confirmed,184,6,0
2020-07-02,Eastern,Probable,1,0,0
2020-07-02,Northern,Confirmed,92,4,1
2020-07-02,Northern,Probable,11,0,0
2020-07-02,Northwest,Confirmed,76,4,1
2020-07-02,Northwest,Probable,13,0,0
2020-07-02,Southwest,Confirmed,51,2,0
2020-07-01,Central,Confirmed,109,3,1
2020-07-01,Eastern,Confirmed,203,8,0
2020-07-01,Eastern,Probable,2,0,0
2020-07-01,Northern,Confirmed,116,4,0
2020-07-01,Northern,Probable,12,0,0
2020-07-01,Northwest,Confirmed,39,6,0
2020-07-01,Northwest,Probable,13,0,0
2020-07-01,Southwest,Confirmed,74,0,1
2020-06-30,Central,Confirmed,98,6,0
2020-06-30,Eastern,Confirmed,222,4,1
2020-06-30,Eastern,Probable,1,0,0
2020-06-30,Northern,Confirmed,131,6,0
2020-06-30,Northern,Probable,11,0,0
2020-06-30,Northwest,Confirmed,84,2,1
2020-06-30,Northwest,Probable,18,0,0
2020-06-30,Southwest,Confirmed,59,3,0
2020-06-30,Southwest,Probable,4,0,0
