"",Negative Tests,Total Tests,Positive Tests,Negative Tests,Total Tests,Positive Tests,Negative Tests,Total Tests
2,339,341,2,99,101,1,78,79
0.6%,99.4%,100%,2.0%,98.0%,100%,1.3%,98.7%,100%
"",Negative Tests,Total Tests,Positive Tests,Negative Tests,Total Tests,Positive Tests,Negative Tests,Total Tests
0,101,101,2,126,128,0,48,48
0.0%,100.0%,100%,1.6%,98.4%,100%,0.0%,100.0%,100%
