"Report Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
09/01/2020,Probable,5321,66,133
09/01/2020,Confirmed,116294,9555,2479
09/02/2020,Probable,5401,68,133
09/02/2020,Confirmed,117141,9610,2508
09/03/2020,Probable,5478,68,133
09/03/2020,Confirmed,118190,9673,2519
09/04/2020,Probable,5520,68,133
09/04/2020,Confirmed,119259,9730,2529
09/05/2020,Probable,5536,68,133
09/05/2020,Confirmed,120191,9781,2544
09/06/2020,Probable,5609,69,133
09/06/2020,Confirmed,121317,9812,2545
09/07/2020,Probable,5652,69,133
09/07/2020,Confirmed,121919,9833,2551
09/08/2020,Probable,5696,69,133
09/08/2020,Confirmed,122711,9863,2553
09/09/2020,Probable,5801,70,133
09/09/2020,Confirmed,123488,9938,2564
09/10/2020,Probable,5906,70,133
09/10/2020,Confirmed,124619,10015,2575
09/11/2020,Probable,5937,70,133
09/11/2020,Confirmed,125703,10085,2578
09/12/2020,Probable,6090,69,133
09/12/2020,Confirmed,126850,10149,2589
09/13/2020,Probable,6142,69,133
09/13/2020,Confirmed,127672,10175,2591
09/14/2020,Probable,6171,70,136
09/14/2020,Confirmed,128400,10223,2607
09/15/2020,Probable,6255,70,148
09/15/2020,Confirmed,129259,10267,2691
09/16/2020,Probable,6396,71,173
09/16/2020,Confirmed,129963,10318,2711
09/17/2020,Probable,6500,71,186
09/17/2020,Confirmed,130960,10393,2734
09/18/2020,Probable,6612,75,194
09/18/2020,Confirmed,132090,10445,2755
09/19/2020,Probable,6689,78,203
09/19/2020,Confirmed,132966,10484,2787
09/20/2020,Probable,6789,81,204
09/20/2020,Confirmed,133722,10510,2811
09/21/2020,Probable,6837,82,205
09/21/2020,Confirmed,134301,10531,2816
09/22/2020,Probable,6909,83,207
09/22/2020,Confirmed,135101,10592,2853
09/23/2020,Probable,6964,84,207
09/23/2020,Confirmed,135626,10634,2882
09/24/2020,Probable,7044,85,206
09/24/2020,Confirmed,136448,10684,2907
09/25/2020,Probable,7150,85,206
09/25/2020,Confirmed,137283,10721,2930
09/26/2020,Probable,7235,85,207
09/26/2020,Confirmed,138173,10778,2937
09/27/2020,Probable,7410,85,208
09/27/2020,Confirmed,138734,10804,2951
09/28/2020,Probable,7449,84,210
09/28/2020,Confirmed,139144,10832,2962
09/29/2020,Probable,7555,84,211
09/29/2020,Confirmed,139961,10894,2976
09/30/2020,Probable,7657,85,213
09/30/2020,Confirmed,140614,10956,2995
10/01/2020,Probable,7731,86,213
10/01/2020,Confirmed,140990,11006,3015
10/02/2020,Probable,7837,89,213
10/02/2020,Confirmed,141850,11051,3037
10/03/2020,Probable,7880,89,213
10/03/2020,Confirmed,142923,11102,3057
10/04/2020,Probable,7987,91,213
10/04/2020,Confirmed,143883,11130,3060
10/05/2020,Probable,8118,92,213
10/05/2020,Confirmed,144439,11167,3063
10/06/2020,Probable,8195,94,214
10/06/2020,Confirmed,144987,11222,3077
10/07/2020,Probable,8229,93,215
10/07/2020,Confirmed,145462,11252,3088
10/08/2020,Probable,8578,94,231
10/08/2020,Confirmed,146957,11299,3097
10/09/2020,Probable,8721,95,234
10/09/2020,Confirmed,147928,11352,3110
10/10/2020,Probable,8972,96,238
10/10/2020,Confirmed,148933,11405,3116
10/11/2020,Probable,9085,98,238
10/11/2020,Confirmed,149631,11421,3120
10/13/2020,Probable,9448,101,240
10/13/2020,Confirmed,151357,11497,3132
10/14/2020,Probable,9571,102,240
10/12/2020,Probable,9249,100,239
05/08/2020,Probable,1068,20,25
05/09/2020,Confirmed,22086,3143,801
05/09/2020,Probable,1110,21,26
05/10/2020,Confirmed,22962,3190,813
05/10/2020,Probable,1119,21,26
05/11/2020,Confirmed,23889,3278,823
05/11/2020,Probable,1181,22,27
05/12/2020,Confirmed,24601,3373,864
05/12/2020,Probable,1199,22,27
05/13/2020,Confirmed,25431,3498,899
05/13/2020,Probable,1315,22,28
05/14/2020,Confirmed,26469,3568,927
05/14/2020,Probable,1344,24,28
05/15/2020,Confirmed,27293,3630,944
05/15/2020,Probable,1379,27,33
05/16/2020,Confirmed,28233,3697,968
05/16/2020,Probable,1450,27,34
05/17/2020,Confirmed,28901,3749,975
05/17/2020,Probable,1487,26,34
05/18/2020,Confirmed,29591,3796,980
05/18/2020,Probable,1549,26,34
05/19/2020,Confirmed,30539,3876,1007
05/19/2020,Probable,1606,28,34
05/20/2020,Confirmed,31247,3951,1040
05/20/2020,Probable,1661,28,34
05/21/2020,Confirmed,32428,4066,1064
05/21/2020,Probable,1709,27,35
05/22/2020,Confirmed,33208,4117,1100
05/22/2020,Probable,1742,28,36
05/23/2020,Confirmed,33962,4153,1123
05/23/2020,Probable,1787,28,36
05/24/2020,Confirmed,34451,4185,1135
05/24/2020,Probable,1793,29,36
05/25/2020,Confirmed,35890,4239,1158
05/25/2020,Probable,1837,30,50
05/26/2020,Confirmed,37440,4294,1175
05/26/2020,Probable,1902,31,61
05/27/2020,Confirmed,38276,4351,1202
05/27/2020,Probable,1973,34,79
05/28/2020,Confirmed,39393,4410,1236
05/28/2020,Probable,2008,32,102
05/29/2020,Confirmed,40477,4497,1258
05/29/2020,Probable,2056,32,100
05/30/2020,Confirmed,41529,4570,1269
05/30/2020,Probable,2082,31,101
05/31/2020,Confirmed,42499,4611,1274
05/31/2020,Probable,2108,32,101
06/01/2020,Confirmed,43247,4660,1282
06/01/2020,Probable,2151,34,110
06/02/2020,Confirmed,44069,4738,1300
06/02/2020,Probable,2170,32,107
06/03/2020,Confirmed,44715,4852,1322
06/03/2020,Probable,2190,32,106
06/04/2020,Confirmed,45620,4925,1338
06/04/2020,Probable,2236,32,107
06/05/2020,Confirmed,46281,4978,1350
06/05/2020,Probable,2251,30,103
06/06/2020,Confirmed,47123,5024,1357
06/06/2020,Probable,2274,30,103
06/07/2020,Confirmed,48349,5075,1369
10/12/2020,Confirmed,150321,11453,3122
10/14/2020,Confirmed,152039,11526,3141
11/25/2020,Probable,23874,283,329
11/25/2020,Confirmed,202426,14029,3679
11/28/2020,Probable,25448,302,339
11/28/2020,Confirmed,208169,14214,3715
11/29/2020,Probable,26159,303,339
11/29/2020,Confirmed,209783,14269,3719
11/30/2020,Probable,26581,307,339
11/30/2020,Confirmed,211254,14312,3723
12/01/2020,Probable,27147,314,343
12/01/2020,Confirmed,212916,14411,3750
12/02/2020,Probable,28094,333,345
12/02/2020,Confirmed,214386,14550,3768
12/03/2020,Probable,28735,342,349
12/03/2020,Confirmed,215768,14672,3798
10/15/2020,Probable,9824,102,239
10/15/2020,Confirmed,153117,11602,3149
10/16/2020,Probable,9998,105,247
10/16/2020,Confirmed,154126,11675,3161
10/17/2020,Probable,10170,105,247
10/17/2020,Confirmed,155068,11726,3175
10/18/2020,Probable,10300,105,247
10/18/2020,Confirmed,155838,11756,3186
10/19/2020,Probable,10389,105,248
10/19/2020,Confirmed,156439,11777,3209
10/20/2020,Probable,10541,110,249
10/20/2020,Confirmed,157213,11845,3236
10/21/2020,Probable,10774,114,249
10/21/2020,Confirmed,157998,11896,3266
10/22/2020,Probable,11044,120,250
10/22/2020,Confirmed,159060,11953,3274
10/23/2020,Probable,11280,122,246
10/23/2020,Confirmed,160004,12018,3293
10/24/2020,Probable,11529,123,250
10/24/2020,Confirmed,160843,12075,3328
10/25/2020,Probable,11703,126,250
10/25/2020,Confirmed,161668,12107,3329
10/26/2020,Probable,11848,128,250
10/26/2020,Confirmed,162427,12132,3331
10/27/2020,Probable,12070,130,250
10/27/2020,Confirmed,163339,12190,3350
10/28/2020,Probable,12446,136,252
10/28/2020,Confirmed,164308,12248,3364
10/29/2020,Probable,12799,140,252
10/29/2020,Confirmed,165384,12314,3384
10/30/2020,Probable,13088,143,252
10/30/2020,Confirmed,166551,12368,3391
10/31/2020,Probable,13487,152,256
10/31/2020,Confirmed,167703,12452,3398
11/01/2020,Probable,13717,152,256
11/01/2020,Confirmed,168675,12495,3399
11/02/2020,Probable,13906,152,256
11/02/2020,Confirmed,169512,12522,3402
11/03/2020,Probable,14102,156,258
11/03/2020,Confirmed,170577,12583,3408
11/04/2020,Probable,14410,166,261
11/04/2020,Confirmed,171426,12631,3416
11/05/2020,Probable,14784,170,262
11/05/2020,Confirmed,172418,12695,3426
11/06/2020,Probable,15125,174,250
11/06/2020,Confirmed,173645,12762,3432
11/07/2020,Probable,15686,176,265
11/07/2020,Confirmed,175187,12846,3439
11/08/2020,Probable,15956,178,266
11/08/2020,Confirmed,176219,12886,3441
11/09/2020,Probable,16237,180,266
11/09/2020,Confirmed,177240,12936,3447
11/10/2020,Probable,16480,187,266
11/10/2020,Confirmed,178432,12996,3460
11/11/2020,Probable,16820,193,267
11/11/2020,Confirmed,179686,13080,3474
11/12/2020,Probable,17404,198,268
11/12/2020,Confirmed,180623,13141,3490
11/13/2020,Probable,17786,204,272
11/13/2020,Confirmed,181476,13204,3513
11/14/2020,Probable,18315,213,273
11/14/2020,Confirmed,182484,13267,3526
11/15/2020,Probable,18506,214,273
11/15/2020,Confirmed,183454,13290,3527
11/16/2020,Probable,19112,220,273
11/16/2020,Confirmed,185525,13332,3533
11/17/2020,Probable,19475,223,278
11/17/2020,Confirmed,187287,13385,3557
11/18/2020,Probable,19980,232,291
11/18/2020,Confirmed,188853,13475,3569
11/19/2020,Probable,20631,239,302
11/19/2020,Confirmed,190156,13576,3594
11/20/2020,Probable,21360,248,307
11/20/2020,Confirmed,191971,13666,3605
11/21/2020,Probable,21925,258,310
11/21/2020,Confirmed,193754,13759,3628
11/22/2020,Probable,22297,259,310
11/22/2020,Confirmed,195499,13787,3628
11/23/2020,Probable,22896,262,313
11/23/2020,Confirmed,198142,13834,3629
11/24/2020,Probable,23298,273,319
11/24/2020,Confirmed,200284,13939,3660
07/21/2020,Probable,2944,44,103
07/21/2020,Confirmed,76427,7223,1945
07/22/2020,Probable,3013,44,103
07/22/2020,Confirmed,77380,7307,1948
07/23/2020,Probable,3055,43,103
07/23/2020,Confirmed,78182,7394,1951
07/24/2020,Probable,3111,43,103
07/24/2020,Confirmed,79253,7472,1964
07/25/2020,Probable,3129,46,103
07/25/2020,Confirmed,80480,7524,1972
07/26/2020,Probable,3174,47,103
07/26/2020,Confirmed,81393,7546,1975
07/27/2020,Probable,3201,47,104
07/27/2020,Confirmed,82871,7600,1978
07/28/2020,Probable,3262,46,104
07/28/2020,Confirmed,83732,7640,1991
07/29/2020,Probable,3293,46,105
07/29/2020,Confirmed,84700,7692,2020
07/30/2020,Probable,3358,46,106
07/30/2020,Confirmed,85546,7740,2035
11/26/2020,Probable,24494,287,331
11/26/2020,Confirmed,204406,14130,3698
11/27/2020,Probable,24812,296,340
07/31/2020,Probable,3387,46,107
07/31/2020,Confirmed,86501,7820,2067
08/01/2020,Probable,3434,48,110
08/01/2020,Confirmed,87367,7862,2105
08/02/2020,Probable,3458,48,110
08/02/2020,Confirmed,88324,7907,2108
08/03/2020,Probable,3504,48,110
08/03/2020,Confirmed,89602,7970,2108
08/04/2020,Probable,3523,48,110
08/04/2020,Confirmed,90728,8037,2134
08/05/2020,Probable,3576,49,110
08/05/2020,Confirmed,91473,8077,2164
08/06/2020,Probable,3623,48,108
08/06/2020,Confirmed,92244,8135,2191
08/07/2020,Probable,3741,50,109
08/07/2020,Confirmed,94141,8231,2208
08/08/2020,Probable,3863,50,111
08/08/2020,Confirmed,95326,8282,2211
08/09/2020,Probable,3919,50,112
08/09/2020,Confirmed,96167,8319,2214
08/10/2020,Probable,3942,50,112
08/10/2020,Confirmed,96807,8341,2215
08/11/2020,Probable,4033,51,112
08/11/2020,Confirmed,97712,8407,2232
08/12/2020,Probable,4147,52,114
08/12/2020,Confirmed,98374,8480,2238
08/13/2020,Probable,4194,52,115
08/13/2020,Confirmed,99428,8540,2248
08/14/2020,Probable,4235,53,115
08/14/2020,Confirmed,100603,8597,2255
08/15/2020,Probable,4302,53,116
08/15/2020,Confirmed,101448,8648,2265
08/16/2020,Probable,4388,55,115
08/16/2020,Confirmed,102299,8682,2266
08/17/2020,Probable,4405,54,117
08/17/2020,Confirmed,103016,8713,2268
08/18/2020,Probable,4473,56,118
08/18/2020,Confirmed,103809,8793,2278
08/19/2020,Probable,4544,57,117
08/19/2020,Confirmed,104475,8868,2293
08/20/2020,Probable,4593,58,117
08/20/2020,Confirmed,105289,8940,2310
08/21/2020,Probable,4683,57,117
08/21/2020,Confirmed,106177,9014,2319
08/22/2020,Probable,4804,58,119
08/22/2020,Confirmed,107268,9081,2324
08/23/2020,Probable,4854,59,119
04/21/2020,Confirmed,9451,1578,321
04/21/2020,Probable,179,3,3
04/22/2020,Confirmed,9952,1656,347
04/22/2020,Probable,314,3,2
04/23/2020,Confirmed,10627,1743,370
04/23/2020,Probable,371,10,2
04/24/2020,Confirmed,11169,1829,407
04/24/2020,Probable,425,8,3
04/25/2020,Confirmed,11902,1935,432
04/25/2020,Probable,464,7,4
04/26/2020,Confirmed,12488,2007,444
04/26/2020,Probable,482,7,4
04/27/2020,Confirmed,13036,2059,454
04/27/2020,Probable,499,7,4
04/28/2020,Confirmed,13794,2158,487
04/28/2020,Probable,545,7,5
04/29/2020,Confirmed,14328,2252,513
04/29/2020,Probable,633,7,9
08/23/2020,Confirmed,108112,9117,2348
04/30/2020,Confirmed,15180,2313,543
04/30/2020,Probable,666,9,9
05/01/2020,Confirmed,16109,2407,572
05/01/2020,Probable,792,9,9
05/02/2020,Confirmed,16979,2510,607
05/02/2020,Probable,752,9,9
05/03/2020,Confirmed,17873,2613,644
05/03/2020,Probable,798,14,16
05/04/2020,Confirmed,18640,2681,662
05/04/2020,Probable,852,19,22
05/05/2020,Confirmed,19357,2754,690
05/05/2020,Probable,899,19,23
05/07/2020,Confirmed,20537,2934,745
05/07/2020,Probable,1033,21,24
05/08/2020,Confirmed,21274,3039,787
06/07/2020,Probable,2332,31,103
06/08/2020,Confirmed,48879,5112,1373
06/08/2020,Probable,2372,31,104
06/09/2020,Confirmed,49362,5172,1391
06/09/2020,Probable,2376,31,105
06/10/2020,Confirmed,49785,5240,1408
06/10/2020,Probable,2392,32,106
06/11/2020,Confirmed,50275,5331,1413
06/11/2020,Probable,2372,29,107
06/12/2020,Confirmed,50853,5417,1426
06/12/2020,Probable,2358,28,108
06/13/2020,Confirmed,51499,5482,1435
06/13/2020,Probable,2370,29,106
06/14/2020,Confirmed,52103,5506,1438
06/14/2020,Probable,2403,30,108
06/15/2020,Confirmed,52460,5557,1444
06/15/2020,Probable,2426,31,108
06/16/2020,Confirmed,52917,5614,1465
06/16/2020,Probable,2414,29,105
06/17/2020,Confirmed,53318,5661,1478
06/17/2020,Probable,2457,31,105
06/18/2020,Confirmed,53769,5713,1482
06/18/2020,Probable,2469,31,104
06/19/2020,Confirmed,54312,5765,1499
06/19/2020,Probable,2481,32,103
06/20/2020,Confirmed,54953,5775,1504
06/20/2020,Probable,2490,32,103
06/21/2020,Confirmed,55504,5808,1508
06/21/2020,Probable,2490,32,103
06/22/2020,Confirmed,55949,5837,1517
06/22/2020,Probable,2516,32,103
06/23/2020,Confirmed,56452,5881,1542
06/23/2020,Probable,2542,32,103
06/24/2020,Confirmed,56956,5922,1559
06/24/2020,Probable,2558,33,102
06/25/2020,Confirmed,57384,5961,1572
06/25/2020,Probable,2562,34,103
06/26/2020,Confirmed,57977,6035,1596
06/26/2020,Probable,2593,36,104
06/27/2020,Confirmed,58611,6084,1620
06/27/2020,Probable,2636,36,104
06/28/2020,Confirmed,59071,6100,1628
06/28/2020,Probable,2665,36,104
06/29/2020,Confirmed,59522,6128,1635
06/29/2020,Probable,2667,36,105
06/30/2020,Confirmed,60124,6169,1658
06/30/2020,Probable,2663,34,105
07/01/2020,Confirmed,60528,6228,1681
07/01/2020,Probable,2675,34,105
07/02/2020,Confirmed,61039,6298,1712
07/02/2020,Probable,2696,35,104
07/03/2020,Confirmed,61690,6348,1741
07/03/2020,Probable,2703,34,104
07/04/2020,Confirmed,62400,6370,1745
07/04/2020,Probable,2709,35,104
07/05/2020,Confirmed,62981,6377,1746
07/05/2020,Probable,2767,41,107
07/06/2020,Confirmed,63339,6394,1747
07/06/2020,Probable,2763,41,106
07/07/2020,Confirmed,63950,6470,1775
07/07/2020,Probable,2790,42,106
07/08/2020,Confirmed,64583,6534,1799
07/08/2020,Probable,2792,43,106
07/09/2020,Confirmed,65191,6582,1832
07/09/2020,Probable,2797,43,105
07/10/2020,Confirmed,66095,6632,1853
07/10/2020,Probable,2836,43,105
07/11/2020,Confirmed,66963,6663,1857
07/11/2020,Probable,2819,44,105
07/12/2020,Confirmed,67830,6699,1859
07/12/2020,Probable,2840,45,107
07/13/2020,Confirmed,68814,6720,1861
07/13/2020,Probable,2828,45,107
07/14/2020,Confirmed,69610,6771,1870
07/14/2020,Probable,2833,46,107
07/15/2020,Confirmed,70669,6859,1882
07/15/2020,Probable,2858,46,110
07/16/2020,Confirmed,71570,6975,1903
07/16/2020,Probable,2861,45,104
07/17/2020,Confirmed,72516,7040,1909
07/17/2020,Probable,2917,47,104
07/18/2020,Confirmed,73420,7102,1921
07/18/2020,Probable,2953,45,104
08/24/2020,Probable,4863,59,119
08/24/2020,Confirmed,108767,9148,2352
08/25/2020,Probable,4956,60,124
08/25/2020,Confirmed,109679,9199,2370
08/26/2020,Probable,5021,62,133
08/26/2020,Confirmed,110437,9264,2382
08/27/2020,Probable,5095,62,133
08/27/2020,Confirmed,111484,9329,2394
08/28/2020,Probable,5146,63,133
08/28/2020,Confirmed,112446,9397,2417
08/29/2020,Probable,5186,64,133
08/29/2020,Confirmed,113623,9448,2435
08/30/2020,Probable,5233,65,133
08/30/2020,Confirmed,114514,9490,2436
08/31/2020,Probable,5260,65,133
08/31/2020,Confirmed,115334,9504,2447
07/19/2020,Confirmed,74490,7121,1923
07/19/2020,Probable,2940,44,104
07/20/2020,Confirmed,75415,7157,1927
07/20/2020,Probable,2960,44,104
11/27/2020,Confirmed,205632,14155,3704
12/04/2020,Probable,29792,343,355
12/04/2020,Confirmed,217588,14773,3805
12/05/2020,Probable,30663,362,378
12/05/2020,Confirmed,220510,14893,3819
12/06/2020,Probable,31674,369,378
12/06/2020,Confirmed,223379,14926,3822
12/07/2020,Probable,32444,373,379
12/07/2020,Confirmed,226426,14983,3829
12/08/2020,Probable,33177,383,385
12/08/2020,Confirmed,229553,15084,3875
12/09/2020,Probable,34188,388,387
12/09/2020,Confirmed,232940,15204,3894
12/10/2020,Probable,35323,392,395
12/10/2020,Confirmed,235720,15331,3940
12/11/2020,Probable,36157,404,397
12/11/2020,Confirmed,238281,15460,3973
12/12/2020,Probable,37218,415,404
12/12/2020,Confirmed,241397,15552,4005
12/13/2020,Probable,37990,419,405
12/13/2020,Confirmed,243919,15595,4006
12/14/2020,Probable,38583,422,405
12/14/2020,Confirmed,246566,15651,4009
12/15/2020,Probable,39269,433,412
12/15/2020,Confirmed,249040,15754,4058
12/16/2020,Probable,40346,446,418
12/16/2020,Confirmed,251894,15907,4090
12/17/2020,Probable,41371,462,427
12/17/2020,Confirmed,254722,16041,4126
12/18/2020,Probable,42389,482,434
12/18/2020,Confirmed,256999,16202,4164
12/19/2020,Probable,43337,499,459
12/19/2020,Confirmed,259635,16325,4184
12/20/2020,Probable,44259,501,461
12/20/2020,Confirmed,262589,16377,4189
12/21/2020,Probable,45105,506,462
12/21/2020,Confirmed,265785,16442,4192
12/22/2020,Probable,46009,520,484
12/22/2020,Confirmed,268472,16563,4221
12/23/2020,Probable,47322,541,509
12/23/2020,Confirmed,271811,16730,4251
12/24/2020,Probable,48680,545,528
12/24/2020,Confirmed,275235,16844,4263
12/25/2020,Probable,49945,546,552
12/25/2020,Confirmed,278048,16904,4268
12/26/2020,Probable,50424,548,568
12/26/2020,Confirmed,279153,16916,4272
12/27/2020,Probable,51169,562,569
12/27/2020,Confirmed,282407,16986,4285
12/28/2020,Probable,51831,571,573
12/28/2020,Confirmed,284344,17034,4288
12/29/2020,Probable,53081,582,580
12/29/2020,Confirmed,287216,17200,4340
12/30/2020,Probable,54613,601,590
12/30/2020,Confirmed,289732,17309,4394
12/31/2020,Probable,56138,605,595
12/31/2020,Confirmed,293446,17436,4437
01/01/2021,Probable,57713,621,603
