"Report Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-04-21,Confirmed,9451,1578,321
2020-04-21,Probable,179,3,3
2020-04-22,Confirmed,9952,1656,347
2020-04-22,Probable,314,3,2
2020-04-23,Confirmed,10627,1743,370
2020-04-23,Probable,371,10,2
2020-04-24,Confirmed,11169,1829,407
2020-04-24,Probable,425,8,3
2020-04-25,Confirmed,11902,1935,432
2020-04-25,Probable,464,7,4
2020-04-26,Confirmed,12488,2007,444
2020-04-26,Probable,482,7,4
2020-04-27,Confirmed,13036,2059,454
2020-04-27,Probable,499,7,4
2020-04-28,Confirmed,13794,2158,487
2020-04-28,Probable,545,7,5
2020-04-29,Confirmed,14328,2252,513
2020-04-29,Probable,633,7,9
2020-04-30,Confirmed,15180,2313,543
2020-04-30,Probable,666,9,9
2020-05-01,Confirmed,16109,2407,572
2020-05-01,Probable,792,9,9
2020-05-02,Confirmed,16979,2510,607
2020-05-02,Probable,752,9,9
2020-05-03,Confirmed,17873,2613,644
2020-05-03,Probable,798,14,16
2020-05-04,Confirmed,18640,2681,662
2020-05-04,Probable,852,19,22
2020-05-05,Confirmed,19357,2754,690
2020-05-05,Probable,899,19,23
2020-05-07,Confirmed,20537,2934,745
2020-05-07,Probable,1033,21,24
2020-05-08,Confirmed,21274,3039,787
2020-05-08,Probable,1068,20,25
2020-05-09,Confirmed,22086,3143,801
2020-05-09,Probable,1110,21,26
2020-05-10,Confirmed,22962,3190,813
2020-05-10,Probable,1119,21,26
2020-05-11,Confirmed,23889,3278,823
2020-05-11,Probable,1181,22,27
2020-05-12,Confirmed,24601,3373,864
2020-05-12,Probable,1199,22,27
2020-05-13,Confirmed,25431,3498,899
2020-05-13,Probable,1315,22,28
2020-05-14,Confirmed,26469,3568,927
2020-05-14,Probable,1344,24,28
2020-05-15,Confirmed,27293,3630,944
2020-05-15,Probable,1379,27,33
2020-05-16,Confirmed,28233,3697,968
2020-05-16,Probable,1450,27,34
2020-05-17,Confirmed,28901,3749,975
2020-05-17,Probable,1487,26,34
2020-05-18,Confirmed,29591,3796,980
2020-05-18,Probable,1549,26,34
2020-05-19,Confirmed,30539,3876,1007
2020-05-19,Probable,1606,28,34
2020-05-20,Confirmed,31247,3951,1040
2020-05-20,Probable,1661,28,34
2020-05-21,Confirmed,32428,4066,1064
2020-05-21,Probable,1709,27,35
2020-05-22,Confirmed,33208,4117,1100
2020-05-22,Probable,1742,28,36
2020-05-23,Confirmed,33962,4153,1123
2020-05-23,Probable,1787,28,36
2020-05-24,Confirmed,34451,4185,1135
2020-05-24,Probable,1793,29,36
2020-05-25,Confirmed,35890,4239,1158
2020-05-25,Probable,1837,30,50
2020-05-26,Confirmed,37440,4294,1175
2020-05-26,Probable,1902,31,61
2020-05-27,Confirmed,38276,4351,1202
2020-05-27,Probable,1973,34,79
2020-05-28,Confirmed,39393,4410,1236
2020-05-28,Probable,2008,32,102
2020-05-29,Confirmed,40477,4497,1258
2020-05-29,Probable,2056,32,100
2020-05-30,Confirmed,41529,4570,1269
2020-05-30,Probable,2082,31,101
2020-05-31,Confirmed,42499,4611,1274
2020-05-31,Probable,2108,32,101
2020-06-01,Confirmed,43247,4660,1282
2020-06-01,Probable,2151,34,110
2020-06-02,Confirmed,44069,4738,1300
2020-06-02,Probable,2170,32,107
2020-06-03,Confirmed,44715,4852,1322
2020-06-03,Probable,2190,32,106
2020-06-04,Confirmed,45620,4925,1338
2020-06-04,Probable,2236,32,107
2020-06-05,Confirmed,46281,4978,1350
2020-06-05,Probable,2251,30,103
2020-06-06,Confirmed,47123,5024,1357
2020-06-06,Probable,2274,30,103
2020-06-07,Confirmed,48349,5075,1369
2020-06-07,Probable,2332,31,103
2020-06-08,Confirmed,48879,5112,1373
2020-06-08,Probable,2372,31,104
2020-06-09,Confirmed,49362,5172,1391
2020-06-09,Probable,2376,31,105
2020-06-10,Confirmed,49785,5240,1408
2020-06-10,Probable,2392,32,106
2020-06-11,Confirmed,50275,5331,1413
2020-06-11,Probable,2372,29,107
2020-06-12,Confirmed,50853,5417,1426
2020-06-12,Probable,2358,28,108
2020-06-13,Confirmed,51499,5482,1435
2020-06-13,Probable,2370,29,106
2020-06-14,Confirmed,52103,5506,1438
2020-06-14,Probable,2403,30,108
2020-06-15,Confirmed,52460,5557,1444
2020-06-15,Probable,2426,31,108
2020-06-16,Confirmed,52917,5614,1465
2020-06-16,Probable,2414,29,105
2020-06-17,Confirmed,53318,5661,1478
2020-06-17,Probable,2457,31,105
2020-06-18,Confirmed,53769,5713,1482
2020-06-18,Probable,2469,31,104
2020-06-19,Confirmed,54312,5765,1499
2020-06-19,Probable,2481,32,103
2020-06-20,Confirmed,54953,5775,1504
2020-06-20,Probable,2490,32,103
2020-06-21,Confirmed,55504,5808,1508
2020-06-21,Probable,2490,32,103
2020-06-22,Confirmed,55949,5837,1517
2020-06-22,Probable,2516,32,103
2020-06-23,Confirmed,56452,5881,1542
2020-06-23,Probable,2542,32,103
2020-06-24,Confirmed,56956,5922,1559
2020-06-24,Probable,2558,33,102
2020-06-25,Confirmed,57384,5961,1572
2020-06-25,Probable,2562,34,103
2020-06-26,Confirmed,57977,6035,1596
2020-06-26,Probable,2593,36,104
2020-06-27,Confirmed,58611,6084,1620
2020-06-27,Probable,2636,36,104
2020-06-28,Confirmed,59071,6100,1628
2020-06-28,Probable,2665,36,104
2020-06-29,Confirmed,59522,6128,1635
2020-06-29,Probable,2667,36,105
2020-06-30,Confirmed,60124,6169,1658
2020-06-30,Probable,2663,34,105
2020-07-01,Confirmed,60528,6228,1681
2020-07-01,Probable,2675,34,105
2020-07-02,Confirmed,61039,6298,1712
2020-07-02,Probable,2696,35,104
2020-07-03,Confirmed,61690,6348,1741
2020-07-03,Probable,2703,34,104
2020-07-04,Confirmed,62400,6370,1745
2020-07-04,Probable,2709,35,104
2020-07-05,Confirmed,62981,6377,1746
2020-07-05,Probable,2767,41,107
2020-07-06,Confirmed,63339,6394,1747
2020-07-06,Probable,2763,41,106
2020-07-07,Confirmed,63950,6470,1775
2020-07-07,Probable,2790,42,106
2020-07-08,Confirmed,64583,6534,1799
2020-07-08,Probable,2792,43,106
2020-07-09,Confirmed,65191,6582,1832
2020-07-09,Probable,2797,43,105
2020-07-10,Confirmed,66095,6632,1853
2020-07-10,Probable,2836,43,105
2020-07-11,Confirmed,66963,6663,1857
2020-07-11,Probable,2819,44,105
2020-07-12,Confirmed,67830,6699,1859
2020-07-12,Probable,2840,45,107
2020-07-13,Confirmed,68814,6720,1861
2020-07-13,Probable,2828,45,107
2020-07-14,Confirmed,69610,6771,1870
2020-07-14,Probable,2833,46,107
2020-07-15,Confirmed,70669,6859,1882
2020-07-15,Probable,2858,46,110
2020-07-16,Confirmed,71570,6975,1903
2020-07-16,Probable,2861,45,104
2020-07-17,Confirmed,72516,7040,1909
2020-07-17,Probable,2917,47,104
2020-07-18,Confirmed,73420,7102,1921
2020-07-18,Probable,2953,45,104
2020-07-19,Confirmed,74490,7121,1923
2020-07-19,Probable,2940,44,104
2020-07-20,Confirmed,75415,7157,1927
2020-07-20,Probable,2960,44,104
2020-07-21,Probable,2944,44,103
2020-07-21,Confirmed,76427,7223,1945
2020-07-22,Probable,3013,44,103
2020-07-22,Confirmed,77380,7307,1948
2020-07-23,Probable,3055,43,103
2020-07-23,Confirmed,78182,7394,1951
2020-07-24,Probable,3111,43,103
2020-07-24,Confirmed,79253,7472,1964
2020-07-25,Probable,3129,46,103
2020-07-25,Confirmed,80480,7524,1972
2020-07-26,Probable,3174,47,103
2020-07-26,Confirmed,81393,7546,1975
2020-07-27,Probable,3201,47,104
