"Event Date","Case Status","Number of Hospitalizations","Number of Deaths","Number of Cases"
2020-05-11,Confirmed,1,6,7
2020-05-10,Confirmed,7,10,13
2020-05-10,Probable,0,0,1
2020-05-09,Confirmed,15,9,61
2020-05-08,Confirmed,23,16,397
2020-05-08,Probable,0,0,4
2020-05-07,Confirmed,41,22,510
2020-05-07,Probable,0,0,3
2020-05-06,Confirmed,45,16,568
2020-05-06,Probable,0,1,14
2020-05-05,Confirmed,49,30,633
2020-05-05,Probable,0,1,15
2020-05-04,Confirmed,62,17,735
2020-05-04,Probable,0,0,16
2020-05-03,Confirmed,63,16,409
2020-05-03,Probable,0,1,13
2020-05-02,Confirmed,50,24,491
2020-05-02,Probable,2,1,14
2020-05-01,Confirmed,67,17,809
2020-05-01,Probable,0,0,30
2020-04-30,Confirmed,66,30,713
2020-04-30,Probable,0,0,35
2020-04-29,Confirmed,63,20,719
2020-04-29,Probable,1,2,23
2020-04-28,Confirmed,69,27,715
2020-04-28,Probable,1,0,29
2020-04-27,Confirmed,73,20,773
2020-04-27,Probable,2,0,28
2020-04-26,Confirmed,52,24,561
2020-04-26,Probable,0,3,21
2020-04-25,Confirmed,51,20,547
2020-04-25,Probable,1,3,40
2020-04-24,Confirmed,70,24,789
2020-04-24,Probable,0,1,44
2020-04-23,Confirmed,55,18,700
2020-04-23,Probable,0,2,35
2020-04-22,Confirmed,58,25,687
2020-04-22,Probable,0,0,41
2020-04-21,Confirmed,88,26,631
2020-04-21,Probable,2,2,26
2020-04-20,Confirmed,78,16,775
2020-04-20,Probable,1,2,57
2020-04-19,Confirmed,54,33,419
2020-04-19,Probable,1,0,29
2020-04-18,Confirmed,60,19,399
2020-04-18,Probable,1,0,21
2020-04-17,Confirmed,57,28,631
2020-04-17,Probable,0,1,39
2020-04-16,Confirmed,68,29,569
2020-04-16,Probable,0,0,19
2020-04-15,Confirmed,72,22,477
2020-04-15,Probable,0,0,22
2020-04-14,Confirmed,57,23,560
2020-04-14,Probable,0,1,31
2020-04-13,Confirmed,86,25,582
2020-04-13,Probable,2,1,43
2020-04-12,Confirmed,64,20,368
2020-04-12,Probable,0,1,33
2020-04-11,Confirmed,50,14,330
2020-04-11,Probable,0,0,30
2020-04-10,Confirmed,61,20,507
2020-04-10,Probable,0,0,32
2020-04-09,Confirmed,72,13,397
2020-04-09,Probable,0,0,21
2020-04-08,Confirmed,56,11,415
2020-04-08,Probable,0,1,32
2020-04-07,Confirmed,59,14,396
2020-04-07,Probable,0,0,17
2020-04-06,Confirmed,81,16,446
2020-04-06,Probable,0,0,35
2020-04-05,Confirmed,59,10,277
2020-04-05,Probable,0,0,26
2020-04-04,Confirmed,58,8,293
2020-04-04,Probable,0,0,15
2020-04-03,Confirmed,61,11,322
2020-04-03,Probable,1,0,16
2020-04-02,Confirmed,55,9,307
2020-04-02,Probable,0,0,17
2020-04-01,Confirmed,70,10,302
2020-04-01,Probable,0,1,27
2020-03-31,Confirmed,48,10,282
2020-03-31,Probable,0,1,11
2020-03-30,Confirmed,65,6,372
2020-03-30,Probable,0,0,23
2020-03-29,Confirmed,65,7,186
2020-03-29,Probable,0,0,9
2020-03-28,Confirmed,63,8,218
2020-03-28,Probable,0,0,7
2020-03-27,Confirmed,56,9,243
2020-03-27,Probable,0,0,4
2020-03-26,Confirmed,49,4,252
2020-03-26,Probable,0,1,11
2020-03-25,Confirmed,54,4,242
2020-03-25,Probable,0,0,7
2020-03-24,Confirmed,52,3,228
2020-03-24,Probable,0,0,14
2020-03-23,Confirmed,41,1,245
2020-03-23,Probable,0,0,16
