"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-22,Southside,"Not Reported",154,23,14
2020-05-22,"Lord Fairfax","Hispanic or Latino",255,20,4
2020-05-22,"Eastern Shore","Not Hispanic or Latino",680,54,24
2020-05-22,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-22,Fairfax,"Not Reported",2251,107,105
2020-05-22,Richmond,"Hispanic or Latino",283,30,1
2020-05-22,Chesapeake,"Not Reported",82,7,0
2020-05-22,Arlington,"Hispanic or Latino",539,142,9
2020-05-22,"West Piedmont","Not Hispanic or Latino",76,9,3
2020-05-22,Fairfax,"Not Hispanic or Latino",2339,581,195
2020-05-22,Piedmont,"Hispanic or Latino",16,0,0
2020-05-22,Crater,"Not Hispanic or Latino",239,51,7
2020-05-22,Chickahominy,"Not Hispanic or Latino",185,61,23
2020-05-22,"New River","Not Hispanic or Latino",55,12,1
2020-05-22,"Lord Fairfax","Not Reported",302,18,8
2020-05-22,Rappahannock,"Not Reported",390,20,1
2020-05-22,"Central Shenandoah","Not Reported",205,4,5
2020-05-22,"Central Virginia","Not Hispanic or Latino",69,11,3
2020-05-22,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-22,"Cumberland Plateau","Not Hispanic or Latino",18,2,0
2020-05-22,"Western Tidewater","Not Hispanic or Latino",330,57,30
2020-05-22,"New River","Not Reported",31,0,0
2020-05-22,Chesterfield,"Not Reported",770,16,18
2020-05-22,Chesterfield,"Hispanic or Latino",192,7,0
2020-05-22,Hampton,"Not Hispanic or Latino",122,29,3
2020-05-22,Chesapeake,"Not Hispanic or Latino",311,70,12
2020-05-22,Peninsula,"Hispanic or Latino",46,10,1
2020-05-22,Arlington,"Not Reported",760,62,15
2020-05-22,Roanoke,"Not Hispanic or Latino",73,7,8
2020-05-22,"Lord Fairfax","Not Hispanic or Latino",474,58,25
2020-05-22,"Eastern Shore","Hispanic or Latino",142,5,3
2020-05-22,"Mount Rogers","Not Reported",20,2,0
2020-05-22,"Three Rivers","Not Hispanic or Latino",278,23,3
2020-05-22,"Thomas Jefferson","Not Reported",45,0,0
2020-05-22,"Three Rivers","Not Reported",140,10,3
2020-05-22,Arlington,"Not Hispanic or Latino",496,142,67
2020-05-22,Alleghany,"Not Hispanic or Latino",108,17,13
2020-05-22,Loudoun,"Not Reported",792,6,7
2020-05-22,Fairfax,"Hispanic or Latino",4241,510,30
2020-05-22,Peninsula,"Not Reported",112,3,2
2020-05-22,Crater,"Hispanic or Latino",26,1,0
2020-05-22,Piedmont,"Not Hispanic or Latino",304,31,3
2020-05-22,Henrico,"Hispanic or Latino",119,15,3
2020-05-22,Alexandria,"Not Hispanic or Latino",533,96,28
2020-05-22,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-22,Alleghany,"Not Reported",51,3,1
2020-05-22,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-22,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-22,Chesterfield,"Not Hispanic or Latino",299,52,19
2020-05-22,Pittsylvania-Danville,"Not Hispanic or Latino",52,18,3
2020-05-22,"Mount Rogers","Hispanic or Latino",105,0,0
2020-05-22,Richmond,"Not Reported",328,21,1
2020-05-22,Peninsula,"Not Hispanic or Latino",374,100,29
2020-05-22,Chesapeake,"Hispanic or Latino",26,5,1
2020-05-22,Southside,"Hispanic or Latino",2,1,0
2020-05-22,"Thomas Jefferson","Not Hispanic or Latino",319,67,14
2020-05-22,Norfolk,"Not Hispanic or Latino",260,53,6
2020-05-22,Portsmouth,"Not Reported",136,7,2
2020-05-22,Norfolk,"Not Reported",72,1,0
2020-05-22,"Three Rivers","Hispanic or Latino",33,0,0
2020-05-22,"Eastern Shore","Not Reported",95,0,0
2020-05-22,Alleghany,"Hispanic or Latino",12,4,0
2020-05-22,Henrico,"Not Reported",517,21,22
2020-05-22,Henrico,"Not Hispanic or Latino",739,138,92
2020-05-22,Loudoun,"Not Hispanic or Latino",528,93,41
2020-05-22,Hampton,"Not Reported",37,1,0
