"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-05,Southside,"Not Reported",61,9,2
2020-05-05,Chesapeake,White,106,23,1
2020-05-05,"New River",Other,0,0,0
2020-05-05,Norfolk,"Black or African American",150,29,2
2020-05-05,"Central Shenandoah",Other,119,6,1
2020-05-05,Southside,Other,15,0,1
2020-05-05,Pittsylvania-Danville,Other,0,0,0
2020-05-05,"Cumberland Plateau",White,16,2,0
2020-05-05,"Rappahannock Rapidan","Black or African American",13,3,0
2020-05-05,Fairfax,"Not Reported",1311,87,66
2020-05-05,Chesapeake,"Not Reported",53,3,1
2020-05-05,"Thomas Jefferson",White,187,23,8
2020-05-05,Richmond,Other,58,12,0
2020-05-05,Peninsula,"Black or African American",93,29,7
2020-05-05,Henrico,Other,61,6,3
2020-05-05,"Cumberland Plateau","Black or African American",11,0,0
2020-05-05,Loudoun,Other,187,29,3
2020-05-05,Crater,Other,2,1,1
2020-05-05,Arlington,"Black or African American",77,20,9
2020-05-05,Alexandria,"Black or African American",149,36,4
2020-05-05,Richmond,"Black or African American",228,50,15
2020-05-05,"Lord Fairfax","Not Reported",59,1,0
2020-05-05,Fairfax,"Black or African American",348,91,10
2020-05-05,"Thomas Jefferson","Black or African American",98,35,5
2020-05-05,"West Piedmont",White,33,4,0
2020-05-05,Rappahannock,"Not Reported",244,24,1
2020-05-05,"Central Shenandoah","Not Reported",172,1,1
2020-05-05,Peninsula,White,208,65,18
2020-05-05,"Rappahannock Rapidan",White,147,16,5
2020-05-05,"Prince William",White,537,128,19
2020-05-05,"New River","Not Reported",28,1,0
2020-05-05,Chesterfield,"Not Reported",302,3,7
2020-05-05,Alleghany,Other,1,0,0
2020-05-05,Lenowisco,White,31,13,1
2020-05-05,"Western Tidewater",White,132,19,10
2020-05-05,Hampton,Other,4,1,0
2020-05-05,Alleghany,White,82,14,3
2020-05-05,"Prince William",Other,525,75,4
2020-05-05,Arlington,"Not Reported",620,63,8
2020-05-05,"West Piedmont","Black or African American",5,1,0
2020-05-05,Peninsula,Other,20,6,1
2020-05-05,Norfolk,Other,11,2,0
2020-05-05,"Lord Fairfax","Black or African American",23,2,0
2020-05-05,"Mount Rogers","Not Reported",7,1,0
2020-05-05,"Central Virginia","Black or African American",12,0,0
2020-05-05,"West Piedmont",Other,2,1,1
2020-05-05,Portsmouth,White,40,7,1
2020-05-05,"Thomas Jefferson","Not Reported",11,0,0
2020-05-05,"Three Rivers","Not Reported",71,4,1
2020-05-05,"Virginia Beach","Black or African American",101,17,2
2020-05-05,"Prince William","Black or African American",234,50,13
2020-05-05,Loudoun,"Not Reported",346,4,3
2020-05-05,Loudoun,White,410,61,18
2020-05-05,Peninsula,"Not Reported",60,2,0
2020-05-05,Pittsylvania-Danville,"Black or African American",21,6,0
2020-05-05,Henrico,White,365,60,56
2020-05-05,Richmond,White,83,13,1
2020-05-05,Southside,"Black or African American",24,7,2
2020-05-05,Chickahominy,White,121,33,12
2020-05-05,"Thomas Jefferson",Other,26,3,0
2020-05-05,"Virginia Beach",Other,43,16,2
