Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,818,59,666,93
New York Harbor HCS,716,43,580,93
"Bronx, NY HCS",599,50,483,66
"New Orleans, LA HCS",535,23,469,43
"Philadelphia, PA HCS",449,58,366,25
"Boston, MA HCS",411,41,320,50
"Washington, DC HCS",401,66,301,34
"North Chicago, IL HCS",359,54,303,2
"Chicago, IL HCS",307,44,244,19
Connecticut HCS,298,30,255,13
"Aurora, CO HCS",292,24,248,20
"Detroit, MI HCS",276,19,219,38
"Indianapolis, IN HCS",265,38,193,34
"Northport, NY HCS",265,22,215,28
"Cleveland, OH HCS",258,56,174,28
"Hudson Valley, NY HCS",242,23,208,11
"Bedford, MA HCS",234,16,187,31
Western New York HCS,218,39,152,27
"Atlanta, GA HCS",214,6,193,15
"Hines, IL HCS",200,40,145,15
"Minneapolis, MN HCS",157,41,93,23
"St. Louis, MO HCS",155,25,117,13
"Columbia, SC HCS",152,12,131,9
"Ann Arbor, MI HCS",145,8,123,14
"Miami, FL HCS",138,17,115,6
"Baltimore, MD HCS",137,24,107,6
"Houston, TX HCS",137,25,104,8
"Wilmington, DE HCS",123,29,84,10
"Lebanon, PA HCS",121,18,89,14
"Puget Sound, WA HCS",119,10,101,8
"Greater Los Angeles, CA HCS",113,14,92,7
Nebraska-W Iowa HCS,112,27,75,10
"Richmond, VA HCS",104,26,69,9
"Jackson, MS HCS",102,32,65,5
"Salisbury, NC HCS",100,18,68,14
"Orlando, FL HCS",99,21,76,2
"Milwaukee, WI HCS",96,8,82,6
"Dallas, TX HCS",94,19,68,7
"Fayetteville, NC HCS",94,34,56,4
"Long Beach, CA HCS",93,14,75,4
"Providence, RI HCS",93,5,73,15
"Shreveport, LA HCS",93,24,59,10
"Kansas City, MO HCS",92,12,77,3
"Martinsburg, WV HCS",82,21,54,7
"Wilkes-Barre, PA HCS",82,10,62,10
"Durham, NC HCS",81,17,58,6
"Louisville, KY HCS",78,13,58,7
"Las Vegas, NV HCS",77,9,67,1
"San Diego, CA HCS",76,14,61,1
"Phoenix, AZ HCS",73,14,52,7
"San Juan, PR HCS",73,1,72,0
Central Western Massachusetts HCS,72,6,63,3
"West Palm Beach, FL HCS",71,22,42,7
"San Antonio, TX HCS",70,8,55,7
"Hampton, VA HCS",69,5,60,4
"Little Rock, AR HCS",64,17,42,5
Middle Tennessee HCS,64,5,56,3
"Cincinnati, OH HCS",63,7,54,2
"Coatesville, PA HCS",61,18,34,9
"Loma Linda, CA HCS",60,10,49,1
"Pittsburgh, PA HCS",60,8,49,3
"Battle Creek, MI HCS",55,15,36,4
"Spokane, WA HCS",53,4,43,6
"Portland, OR HCS",50,16,30,4
"Palo Alto, CA HCS",49,5,37,7
Central Iowa HCS,47,18,25,4
Northern Indiana HCS,47,14,29,4
"Bay Pines, FL HCS",46,15,29,2
"Birmingham, AL HCS",46,12,27,7
"Alexandria, LA HCS",45,8,33,4
"Augusta, GA HCS",44,6,35,3
"Dublin, GA HCS",44,4,40,0
New Mexico HCS,44,7,30,7
Central Alabama HCS,42,19,23,0
"Memphis, TN HCS",42,6,31,5
"Sioux Falls, SD HCS",42,12,28,2
"Columbus, OH HCS",41,12,28,1
"El Paso, TX HCS",40,15,25,0
"Gainesville, FL HCS",40,3,36,1
N. California HCS,39,3,33,3
"Albany, NY HCS",38,6,26,6
"San Francisco, CA HCS",38,6,30,2
Southern Arizona HCS,38,4,28,6
"Temple, TX HCS",38,8,28,2
"Oklahoma City, OK HCS",36,3,30,3
"Asheville, NC HCS",33,6,19,8
"Dayton, OH HCS",33,8,25,0
"Iowa City, IA HCS",33,4,27,2
"Reno, NV HCS",33,6,25,2
"Tampa, FL HCS",32,11,18,3
"Muskogee, OK HCS",31,3,23,5
"Salt Lake City, UT HCS",29,3,26,0
"Fargo, ND HCS",27,8,14,5
"Saginaw, MI HCS",27,7,20,0
Eastern Kansas HCS,26,4,22,0
"Charleston, SC HCS",25,5,20,0
"Madison, WI HCS",24,6,16,2
"Manchester, NH HCS",24,3,19,2
"Fresno, CA HCS",23,8,15,0
"Amarillo, TX HCS",22,7,15,0
"Gulf Coast, MS HCS",22,4,16,2
"St. Cloud, MN HCS",22,8,13,1
"Mountain Home, TN HCS",20,3,17,0
"Tuscaloosa, AL HCS",20,12,8,0
"Syracuse, NY HCS",18,7,9,2
"Togus, ME HCS",18,2,15,1
"Chillicothe, OH HCS",17,2,14,1
"Boise, ID HCS",16,3,12,1
"Cheyenne, WY HCS",16,1,15,0
Northern Arizona HCS,13,0,13,0
"Butler, PA HCS",12,1,8,3
"Walla Walla, WA HCS",12,4,7,1
"Finger Lakes, NY HCS",10,2,8,0
Texas Valley Coastal Bend HCS,10,3,5,2
"Wichita, KS HCS",10,0,9,1
"Salem, VA HCS",9,2,7,0
"White River Junction, VT HCS",9,0,7,2
"Anchorage, AK HCS",8,0,8,0
"Big Spring, TX HCS",8,2,6,0
"Honolulu, HI HCS",8,0,8,0
"Huntington, WV HCS",8,2,5,1
"Lexington, KY HCS",8,1,7,0
"Columbia, MO HCS",7,2,4,1
"Danville, IL HCS",7,0,7,0
"Altoona, PA HCS",6,0,6,0
"Erie, PA HCS",6,1,4,1
"Fayetteville, AR HCS",6,2,2,2
"Grand Junction, CO HCS",5,1,2,2
Montana HCS,5,0,4,1
"Clarksburg, WV HCS",4,0,4,0
"Tomah, WI HCS",4,1,3,0
"Poplar Bluff, MO HCS",3,0,3,0
"Roseburg, OR HCS",3,0,3,0
"Beckley, WV HCS",1,0,1,0
"Black Hills, SD HCS",1,0,1,0
"Iron Mountain, MI HCS",1,0,1,0
"Marion, IL HCS",1,1,0,0
"Sheridan, WY HCS",1,0,1,0
"Manila, PI HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
