Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,902,28,768,106
New York Harbor HCS,816,34,683,99
"Bronx, NY HCS",697,14,599,84
"North Chicago, IL HCS",598,64,527,7
"New Orleans, LA HCS",584,19,517,48
"Philadelphia, PA HCS",548,22,491,35
"Boston, MA HCS",544,21,453,70
"Washington, DC HCS",539,33,451,55
"Chicago, IL HCS",420,20,375,25
"Phoenix, AZ HCS",395,219,160,16
Connecticut HCS,386,13,344,29
"San Antonio, TX HCS",383,267,108,8
"Atlanta, GA HCS",370,59,288,23
"Aurora, CO HCS",353,14,313,26
"Cleveland, OH HCS",353,32,278,43
"Houston, TX HCS",349,145,192,12
"Northport, NY HCS",334,9,292,33
"Indianapolis, IN HCS",322,11,270,41
"Detroit, MI HCS",318,23,256,39
"Columbia, SC HCS",317,77,227,13
"Hines, IL HCS",307,16,267,24
"Bedford, MA HCS",279,8,236,35
"Miami, FL HCS",275,53,214,8
Western New York HCS,269,21,214,34
"Orlando, FL HCS",262,125,132,5
"Hudson Valley, NY HCS",259,3,243,13
"Greater Los Angeles, CA HCS",251,101,139,11
"Baltimore, MD HCS",238,16,205,17
"Long Beach, CA HCS",238,84,147,7
"St. Louis, MO HCS",233,28,186,19
"Bay Pines, FL HCS",227,98,125,4
"Minneapolis, MN HCS",208,15,160,33
"Dallas, TX HCS",200,60,130,10
"Tampa, FL HCS",197,108,84,5
"Richmond, VA HCS",194,27,154,13
Nebraska-W Iowa HCS,193,25,146,22
"Salisbury, NC HCS",179,37,124,18
"Loma Linda, CA HCS",178,67,106,5
"Lebanon, PA HCS",174,22,134,18
"West Palm Beach, FL HCS",173,31,128,14
"Ann Arbor, MI HCS",170,5,147,18
"Fayetteville, NC HCS",165,14,142,9
"San Diego, CA HCS",165,47,113,5
"Charleston, SC HCS",163,93,70,0
"Puget Sound, WA HCS",163,18,137,8
"Jackson, MS HCS",157,20,122,15
"Milwaukee, WI HCS",155,15,133,7
"Shreveport, LA HCS",152,31,109,12
"Wilmington, DE HCS",151,10,128,13
"Durham, NC HCS",146,32,108,6
Southern Arizona HCS,144,61,73,10
Central Alabama HCS,141,48,88,5
"Providence, RI HCS",140,9,113,18
"Temple, TX HCS",137,54,78,5
"Dublin, GA HCS",134,18,113,3
"Las Vegas, NV HCS",131,34,94,3
Central Western Massachusetts HCS,127,8,110,9
Middle Tennessee HCS,126,29,94,3
"Kansas City, MO HCS",124,12,107,5
"Little Rock, AR HCS",112,32,74,6
"Wilkes-Barre, PA HCS",112,7,91,14
"Birmingham, AL HCS",111,17,83,11
"Gainesville, FL HCS",107,38,65,4
"Martinsburg, WV HCS",105,7,87,11
"Salt Lake City, UT HCS",104,14,84,6
Texas Valley Coastal Bend HCS,102,74,25,3
"Alexandria, LA HCS",100,35,61,4
"Louisville, KY HCS",100,8,85,7
"Cincinnati, OH HCS",97,20,74,3
"Hampton, VA HCS",95,18,72,5
"Augusta, GA HCS",94,24,62,8
New Mexico HCS,88,12,64,12
"Palo Alto, CA HCS",84,27,50,7
"Battle Creek, MI HCS",82,4,68,10
"Portland, OR HCS",82,7,69,6
"Pittsburgh, PA HCS",81,7,71,3
"Coatesville, PA HCS",80,3,67,10
"Columbus, OH HCS",79,14,60,5
Northern Indiana HCS,78,10,63,5
"Oklahoma City, OK HCS",78,16,54,8
"San Juan, PR HCS",78,3,75,0
"Asheville, NC HCS",72,20,41,11
Central Iowa HCS,70,8,56,6
"Memphis, TN HCS",70,3,61,6
"El Paso, TX HCS",69,14,48,7
"Fresno, CA HCS",68,20,47,1
N. California HCS,66,17,44,5
"Tuscaloosa, AL HCS",65,13,48,4
"Manchester, NH HCS",62,3,51,8
"Sioux Falls, SD HCS",60,4,53,3
"Reno, NV HCS",59,12,42,5
"Spokane, WA HCS",59,4,48,7
"Dayton, OH HCS",57,9,45,3
"Madison, WI HCS",57,6,45,6
"Gulf Coast, MS HCS",56,19,34,3
"Fargo, ND HCS",54,4,37,13
