"﻿Lab Report Date","Number of People Tested","Positive Results"
2020-03-16,307,11
2020-03-17,177,17
2020-03-18,336,16
2020-03-19,582,77
2020-03-20,592,53
2020-03-21,908,64
2020-03-22,506,24
2020-03-23,703,73
2020-03-24,1003,105
2020-03-25,1078,122
2020-03-26,1358,162
2020-03-27,1911,214
2020-03-28,1635,188
2020-03-29,1247,193
2020-03-30,1616,224
2020-03-31,1774,319
2020-04-01,2283,346
2020-04-02,1816,317
2020-04-03,2421,335
2020-04-04,2240,420
2020-04-05,3677,479
2020-04-06,2765,395
2020-04-07,2199,382
2020-04-08,2282,431
2020-04-09,2792,511
2020-04-10,2561,415
2020-04-11,2126,444
2020-04-12,2102,411
2020-04-13,1217,338
2020-04-14,1594,367
2020-04-15,2625,536
2020-04-16,2963,620
2020-04-17,2783,547
2020-04-18,2594,531
2020-04-19,2438,560
2020-04-20,1608,440
2020-04-21,2488,537
2020-04-22,4762,880
2020-04-23,5365,944
2020-04-24,3648,772
2020-04-25,4427,813
2020-04-26,3681,832
2020-04-27,2581,592
2020-04-28,3996,777
2020-04-29,6676,1213
2020-04-30,5649,908
2020-05-01,6813,1177
2020-05-02,6441,919
2020-05-03,5009,952
2020-05-04,2499,459
2020-05-05,5716,1013
2020-05-06,9041,1225
2020-05-07,6627,1002
2020-05-08,1369,175
