"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-14,"Cumberland Plateau",Other,0,0,0
2020-05-14,Pittsylvania-Danville,White,27,13,2
2020-05-14,Roanoke,"Black or African American",17,4,0
2020-05-14,Alleghany,"Black or African American",5,1,0
2020-05-14,Richmond,"Not Reported",101,2,0
2020-05-14,"Central Virginia",Other,2,1,0
2020-05-14,Rappahannock,Other,203,37,1
2020-05-14,Roanoke,Other,2,0,0
2020-05-14,Piedmont,"Black or African American",137,22,1
2020-05-14,Chesterfield,Other,90,1,0
2020-05-14,Portsmouth,"Black or African American",108,27,6
2020-05-14,Portsmouth,"Not Reported",45,2,2
2020-05-14,Norfolk,"Not Reported",47,0,0
2020-05-14,"Eastern Shore",White,212,9,6
2020-05-14,"Eastern Shore","Not Reported",79,1,0
2020-05-14,Roanoke,White,69,3,1
2020-05-14,"Three Rivers",Other,23,2,0
2020-05-14,Fairfax,Other,2817,503,55
2020-05-14,Henrico,"Not Reported",196,1,1
2020-05-14,"Lord Fairfax",Other,106,10,3
2020-05-14,Piedmont,Other,8,1,0
2020-05-14,Lenowisco,"Black or African American",0,0,0
2020-05-14,Arlington,White,398,87,30
2020-05-14,Hampton,"Black or African American",89,23,3
2020-05-14,Alexandria,White,502,59,22
2020-05-14,Hampton,"Not Reported",28,0,0
2020-05-14,"Mount Rogers",White,173,15,4
2020-05-14,Alexandria,"Not Reported",396,14,3
2020-05-14,Chickahominy,"Black or African American",59,24,7
2020-05-14,Chesapeake,"Black or African American",133,39,5
2020-05-14,"Western Tidewater","Not Reported",123,1,1
2020-05-14,"Cumberland Plateau","Not Reported",0,0,0
2020-05-14,Southside,"Not Reported",96,9,2
2020-05-14,Chesapeake,White,153,30,2
2020-05-14,"New River",Other,0,0,0
2020-05-14,Norfolk,"Black or African American",181,35,3
2020-05-14,"Central Shenandoah",Other,179,10,2
2020-05-14,Southside,Other,26,1,4
2020-05-14,Pittsylvania-Danville,Other,0,0,0
2020-05-14,"Cumberland Plateau",White,17,2,0
2020-05-14,"Rappahannock Rapidan","Black or African American",26,6,1
2020-05-14,Fairfax,"Not Reported",1769,90,73
2020-05-14,Chesapeake,"Not Reported",43,2,0
2020-05-14,"Thomas Jefferson",White,206,25,8
2020-05-14,Richmond,Other,118,22,1
2020-05-14,Peninsula,"Black or African American",122,30,9
2020-05-14,Henrico,Other,111,12,3
2020-05-14,"Cumberland Plateau","Black or African American",11,0,0
2020-05-14,Loudoun,Other,306,43,8
2020-05-14,Crater,Other,10,2,1
2020-05-14,Arlington,"Black or African American",103,39,15
2020-05-14,Alexandria,"Black or African American",202,43,6
2020-05-14,Richmond,"Black or African American",273,61,16
2020-05-14,"Lord Fairfax","Not Reported",111,2,3
2020-05-14,Fairfax,"Black or African American",459,114,18
2020-05-14,"Thomas Jefferson","Black or African American",102,35,4
2020-05-14,"West Piedmont",White,46,6,1
2020-05-14,Rappahannock,"Not Reported",302,20,0
2020-05-14,"Central Shenandoah","Not Reported",205,5,1
2020-05-14,Peninsula,White,240,70,20
2020-05-14,"Rappahannock Rapidan",White,229,22,8
2020-05-14,"Prince William",White,796,165,49
2020-05-14,"New River","Not Reported",28,0,0
2020-05-14,Chesterfield,"Not Reported",443,3,9
2020-05-14,Alleghany,Other,2,0,0
2020-05-14,Lenowisco,White,32,14,3
2020-05-14,"Western Tidewater",White,141,22,14
2020-05-14,Hampton,Other,7,2,0
2020-05-14,"Western Tidewater",Other,25,1,1
2020-05-14,Loudoun,"Black or African American",78,9,2
2020-05-14,"Virginia Beach",White,272,47,14
2020-05-14,Chickahominy,Other,13,5,0
2020-05-14,"New River","Black or African American",5,1,0
2020-05-14,"Virginia Beach","Not Reported",75,3,0
2020-05-14,"Rappahannock Rapidan",Other,37,12,0
2020-05-14,Piedmont,"Not Reported",211,6,1
2020-05-14,Portsmouth,Other,15,2,0
2020-05-14,Pittsylvania-Danville,"Not Reported",9,2,0
2020-05-14,"West Piedmont","Not Reported",7,0,0
2020-05-14,Norfolk,White,88,17,2
2020-05-14,Hampton,White,32,4,0
2020-05-14,"Western Tidewater","Black or African American",206,33,12
2020-05-14,"Prince William","Not Reported",2078,32,2
2020-05-14,Fairfax,White,1990,327,128
2020-05-14,Lenowisco,Other,1,0,0
2020-05-14,"Rappahannock Rapidan","Not Reported",320,12,2
2020-05-14,"Three Rivers","Black or African American",112,9,0
2020-05-14,Henrico,"Black or African American",458,89,49
2020-05-14,Lenowisco,"Not Reported",9,1,1
2020-05-14,Chesapeake,Other,33,5,2
2020-05-14,Crater,"Not Reported",80,2,1
2020-05-14,Chickahominy,"Not Reported",108,3,1
2020-05-14,"Eastern Shore","Black or African American",469,27,7
2020-05-14,Alexandria,Other,249,36,1
2020-05-14,Alleghany,White,109,19,4
2020-05-14,"Prince William",Other,848,130,8
2020-05-14,Arlington,"Not Reported",698,77,8
2020-05-14,"West Piedmont","Black or African American",11,3,0
2020-05-14,Peninsula,Other,28,6,1
2020-05-14,Norfolk,Other,22,4,0
2020-05-14,"Lord Fairfax","Black or African American",27,3,1
2020-05-14,"Mount Rogers","Not Reported",13,1,0
2020-05-14,"Central Virginia","Black or African American",18,2,1
2020-05-14,"West Piedmont",Other,3,1,1
2020-05-14,Portsmouth,White,49,8,1
2020-05-14,"Thomas Jefferson","Not Reported",16,0,0
2020-05-14,"Three Rivers","Not Reported",99,4,3
2020-05-14,"Virginia Beach","Black or African American",124,17,3
2020-05-14,"Prince William","Black or African American",314,58,15
2020-05-14,Loudoun,"Not Reported",457,2,4
2020-05-14,Loudoun,White,498,77,30
2020-05-14,Peninsula,"Not Reported",73,2,0
2020-05-14,Pittsylvania-Danville,"Black or African American",24,6,0
2020-05-14,Henrico,White,409,66,59
2020-05-14,Richmond,White,119,17,1
2020-05-14,Southside,"Black or African American",29,9,2
2020-05-14,Chickahominy,White,153,39,18
2020-05-14,"Thomas Jefferson",Other,40,5,1
2020-05-14,"Virginia Beach",Other,57,19,2
2020-05-14,"Central Shenandoah","Black or African American",56,3,2
2020-05-14,Chesterfield,White,269,33,20
2020-05-14,"Central Virginia",White,62,9,2
2020-05-14,Rappahannock,White,268,45,10
2020-05-14,"New River",White,55,11,1
2020-05-14,"Mount Rogers",Other,19,1,0
2020-05-14,Crater,White,60,17,5
2020-05-14,Alleghany,"Not Reported",41,3,0
2020-05-14,Arlington,Other,300,102,17
2020-05-14,Piedmont,White,130,7,3
2020-05-14,Chesterfield,"Black or African American",203,33,7
2020-05-14,Roanoke,"Not Reported",32,0,0
2020-05-14,Rappahannock,"Black or African American",100,21,3
2020-05-14,"Lord Fairfax",White,549,59,24
2020-05-14,"Three Rivers",White,125,14,3
2020-05-14,"Central Virginia","Not Reported",87,3,0
2020-05-14,"Eastern Shore",Other,17,1,1
2020-05-14,Crater,"Black or African American",194,55,7
2020-05-14,"Mount Rogers","Black or African American",0,0,0
2020-05-14,"Central Shenandoah",White,696,60,19
2020-05-14,Southside,White,42,11,5
