"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-05,Southside,"Not Reported",93,19,7
2020-05-05,"Lord Fairfax","Hispanic or Latino",115,12,1
2020-05-05,"Eastern Shore","Not Hispanic or Latino",437,24,6
2020-05-05,Portsmouth,"Hispanic or Latino",4,2,0
2020-05-05,Fairfax,"Not Reported",1395,95,75
2020-05-05,Richmond,"Hispanic or Latino",65,8,1
2020-05-05,Chesapeake,"Not Reported",93,8,2
2020-05-05,Arlington,"Hispanic or Latino",211,61,3
2020-05-05,"West Piedmont","Not Hispanic or Latino",35,5,1
2020-05-05,Fairfax,"Not Hispanic or Latino",1489,404,116
2020-05-05,Piedmont,"Hispanic or Latino",15,0,0
2020-05-05,Crater,"Not Hispanic or Latino",117,31,7
2020-05-05,Chickahominy,"Not Hispanic or Latino",103,30,14
2020-05-05,"New River","Not Hispanic or Latino",48,11,1
2020-05-05,"Lord Fairfax","Not Reported",130,3,1
2020-05-05,Rappahannock,"Not Reported",245,29,2
2020-05-05,"Central Shenandoah","Not Reported",204,2,4
2020-05-05,"Central Virginia","Not Hispanic or Latino",39,4,1
2020-05-05,Lenowisco,"Not Hispanic or Latino",21,9,1
2020-05-05,"Cumberland Plateau","Not Hispanic or Latino",14,2,0
2020-05-05,"Western Tidewater","Not Hispanic or Latino",285,50,19
2020-05-05,"New River","Not Reported",32,1,0
2020-05-05,Chesterfield,"Not Reported",469,19,16
2020-05-05,Chesterfield,"Hispanic or Latino",49,1,0
2020-05-05,Hampton,"Not Hispanic or Latino",93,26,3
2020-05-05,Chesapeake,"Not Hispanic or Latino",187,52,6
2020-05-05,Peninsula,"Hispanic or Latino",25,7,1
2020-05-05,Arlington,"Not Reported",677,67,14
2020-05-05,Roanoke,"Not Hispanic or Latino",50,5,0
2020-05-05,"Lord Fairfax","Not Hispanic or Latino",301,29,7
2020-05-05,"Eastern Shore","Hispanic or Latino",98,2,2
2020-05-05,"Mount Rogers","Not Reported",6,2,0
2020-05-05,"Three Rivers","Not Hispanic or Latino",144,17,2
2020-05-05,"Thomas Jefferson","Not Reported",29,1,0
2020-05-05,"Three Rivers","Not Reported",93,7,1
2020-05-05,Arlington,"Not Hispanic or Latino",281,68,32
2020-05-05,Alleghany,"Not Hispanic or Latino",80,15,3
2020-05-05,Loudoun,"Not Reported",350,8,5
2020-05-05,Fairfax,"Hispanic or Latino",2019,301,16
2020-05-05,Peninsula,"Not Reported",71,2,2
2020-05-05,Crater,"Hispanic or Latino",5,0,0
2020-05-05,Piedmont,"Not Hispanic or Latino",169,18,3
2020-05-05,Henrico,"Hispanic or Latino",51,11,2
2020-05-05,Alexandria,"Not Hispanic or Latino",314,67,18
2020-05-05,"Central Virginia","Hispanic or Latino",5,1,0
2020-05-05,Alleghany,"Not Reported",44,1,0
2020-05-05,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-05,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-05,Chesterfield,"Not Hispanic or Latino",201,38,15
2020-05-05,Pittsylvania-Danville,"Not Hispanic or Latino",41,16,2
2020-05-05,"Mount Rogers","Hispanic or Latino",34,0,0
2020-05-05,Richmond,"Not Reported",123,12,0
2020-05-05,Peninsula,"Not Hispanic or Latino",285,93,23
2020-05-05,Chesapeake,"Hispanic or Latino",13,5,1
2020-05-05,Southside,"Hispanic or Latino",1,0,0
2020-05-05,"Thomas Jefferson","Not Hispanic or Latino",279,59,13
2020-05-05,Norfolk,"Not Hispanic or Latino",186,40,4
2020-05-05,Portsmouth,"Not Reported",102,10,1
2020-05-05,Norfolk,"Not Reported",47,2,0
2020-05-05,"Three Rivers","Hispanic or Latino",17,0,0
2020-05-05,"Eastern Shore","Not Reported",34,0,0
2020-05-05,Alleghany,"Hispanic or Latino",3,0,0
2020-05-05,Henrico,"Not Reported",415,28,26
2020-05-05,Henrico,"Not Hispanic or Latino",519,100,78
2020-05-05,Loudoun,"Not Hispanic or Latino",370,60,17
2020-05-05,Hampton,"Not Reported",30,2,0
2020-05-05,"Rappahannock Rapidan","Not Hispanic or Latino",80,12,4
2020-05-05,Alexandria,"Not Reported",264,7,4
2020-05-05,Rappahannock,"Not Hispanic or Latino",208,45,9
2020-05-05,"Western Tidewater","Not Reported",168,2,1
2020-05-05,"Cumberland Plateau","Not Reported",13,0,0
2020-05-05,Alexandria,"Hispanic or Latino",405,46,4
2020-05-05,"Virginia Beach","Not Hispanic or Latino",319,69,14
2020-05-05,"Prince William","Hispanic or Latino",789,144,3
2020-05-05,"Virginia Beach","Not Reported",105,9,0
2020-05-05,"Central Shenandoah","Hispanic or Latino",345,16,1
2020-05-05,Pittsylvania-Danville,"Hispanic or Latino",0,0,0
2020-05-05,"Mount Rogers","Not Hispanic or Latino",76,14,4
2020-05-05,Piedmont,"Not Reported",104,6,0
2020-05-05,Southside,"Not Hispanic or Latino",45,6,3
2020-05-05,"Thomas Jefferson","Hispanic or Latino",14,1,0
2020-05-05,Pittsylvania-Danville,"Not Reported",12,4,0
2020-05-05,Norfolk,"Hispanic or Latino",18,4,0
2020-05-05,Portsmouth,"Not Hispanic or Latino",81,24,7
2020-05-05,"West Piedmont","Not Reported",8,1,0
2020-05-05,Richmond,"Not Hispanic or Latino",250,56,15
2020-05-05,"West Piedmont","Hispanic or Latino",3,0,0
2020-05-05,"Prince William","Not Reported",1314,9,0
2020-05-05,"Rappahannock Rapidan","Not Reported",164,7,1
2020-05-05,Chickahominy,"Hispanic or Latino",3,1,0
2020-05-05,Lenowisco,"Not Reported",20,5,1
2020-05-05,"New River","Hispanic or Latino",0,0,0
2020-05-05,Crater,"Not Reported",137,28,7
2020-05-05,Chickahominy,"Not Reported",162,27,6
2020-05-05,Loudoun,"Hispanic or Latino",278,32,2
2020-05-05,"Rappahannock Rapidan","Hispanic or Latino",168,15,2
2020-05-05,Roanoke,"Not Reported",27,0,0
2020-05-05,Rappahannock,"Hispanic or Latino",176,25,0
2020-05-05,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-05,"Virginia Beach","Hispanic or Latino",21,5,1
2020-05-05,"Prince William","Not Hispanic or Latino",505,116,33
2020-05-05,"Central Virginia","Not Reported",106,3,0
2020-05-05,"Central Shenandoah","Not Hispanic or Latino",355,32,16
2020-05-05,Hampton,"Hispanic or Latino",5,0,0
2020-05-05,Roanoke,"Hispanic or Latino",5,0,0
,,,,,
,,,,,
