Health District,Report Date,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
Central Virginia,2020-04-23,Other,1,0,0
New River,2020-04-23,White,37,6,0
Southside,2020-04-23,White,20,8,1
Prince William,2020-04-23,Black,147,29,8
Chickahominy,2020-04-23,White,71,18,6
Three Rivers,2020-04-23,Black,44,3,0
Rappahannock Rapidan,2020-04-23,Black,3,0,0
Arlington,2020-04-23,Black,36,12,7
Thomas Jefferson,2020-04-23,Black,79,31,3
Chesapeake,2020-04-23,Not Reported,41,1,0
Prince William,2020-04-23,Other,211,39,3
Thomas Jefferson,2020-04-23,White,125,15,7
Southside,2020-04-23,Not Reported,46,8,0
Central Virginia,2020-04-23,Black,5,0,0
Chesterfield,2020-04-23,Black,119,19,4
Three Rivers,2020-04-23,Other,6,1,0
Rappahannock,2020-04-23,Black,46,14,3
Fairfax,2020-04-23,Other,760,178,12
Southside,2020-04-23,Black,20,6,0
Eastern Shore,2020-04-23,Other,2,0,0
Rappahannock,2020-04-23,Not Reported,178,23,2
Loudoun,2020-04-23,Not Reported,137,4,0
Chesapeake,2020-04-23,Other,19,2,2
Thomas Jefferson,2020-04-23,Not Reported,18,0,0
Loudoun,2020-04-23,Black,34,4,0
Three Rivers,2020-04-23,White,32,5,0
Prince William,2020-04-23,White,278,57,9
Richmond,2020-04-23,White,58,5,1
Western Tidewater,2020-04-23,White,96,14,2
Western Tidewater,2020-04-23,Black,145,24,4
New River,2020-04-23,Not Reported,25,1,0
Alexandria,2020-04-23,Not Reported,186,11,3
Lenowisco,2020-04-23,White,24,11,1
Eastern Shore,2020-04-23,Black,60,14,2
Peninsula,2020-04-23,Other,11,6,1
Pittsylvania-Danville,2020-04-23,White,20,11,2
Chesterfield,2020-04-23,Not Reported,218,0,1
Western Tidewater,2020-04-23,Other,8,1,0
Crater,2020-04-23,Black,74,20,3
Virginia Beach,2020-04-23,Black,67,12,1
West Piedmont,2020-04-23,Other,2,1,1
Chesterfield,2020-04-23,White,99,15,4
West Piedmont,2020-04-23,White,24,3,0
Hampton,2020-04-23,Other,3,1,0
Norfolk,2020-04-23,White,41,12,2
Rappahannock Rapidan,2020-04-23,White,62,9,2
Cumberland Plateau,2020-04-23,Black,8,0,0
Thomas Jefferson,2020-04-23,Other,20,2,0
Rappahannock,2020-04-23,Other,15,9,0
Roanoke,2020-04-23,White,16,2,0
Fairfax,2020-04-23,Black,172,53,5
Loudoun,2020-04-23,Other,86,17,1
Central Shenandoah,2020-04-23,White,301,30,8
Mount Rogers,2020-04-23,Not Reported,3,1,0
Peninsula,2020-04-23,Black,68,25,3
Piedmont,2020-04-23,Other,2,0,0
Roanoke,2020-04-23,Black,5,3,0
Alleghany,2020-04-23,Not Reported,16,1,0
