"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-06,Confirmed,12,3,2
2020-05-05,Confirmed,73,5,11
2020-05-05,Probable,2,0,1
2020-05-04,Confirmed,299,18,6
2020-05-04,Probable,6,1,0
2020-05-03,Confirmed,270,24,7
2020-05-03,Probable,4,0,0
2020-05-02,Confirmed,302,30,8
2020-05-02,Probable,8,2,1
2020-05-01,Confirmed,598,50,5
2020-05-01,Probable,22,0,0
2020-04-30,Confirmed,634,50,14
2020-04-30,Probable,23,0,0
2020-04-29,Confirmed,602,52,8
2020-04-29,Probable,17,0,1
2020-04-28,Confirmed,648,58,11
2020-04-28,Probable,25,0,0
2020-04-27,Confirmed,722,65,15
2020-04-27,Probable,22,2,0
2020-04-26,Confirmed,483,44,14
2020-04-26,Probable,17,0,2
2020-04-25,Confirmed,471,48,11
2020-04-25,Probable,39,1,2
2020-04-24,Confirmed,769,65,12
2020-04-24,Probable,42,0,0
2020-04-23,Confirmed,648,51,11
2020-04-23,Probable,33,0,2
2020-04-22,Confirmed,636,59,8
2020-04-22,Probable,38,0,0
2020-04-21,Confirmed,622,81,13
2020-04-21,Probable,27,2,2
2020-04-20,Confirmed,711,70,11
2020-04-20,Probable,52,0,2
2020-04-19,Confirmed,396,51,15
2020-04-19,Probable,28,1,0
2020-04-18,Confirmed,390,59,10
2020-04-18,Probable,18,1,0
2020-04-17,Confirmed,610,55,13
2020-04-17,Probable,34,0,1
2020-04-16,Confirmed,560,67,16
2020-04-16,Probable,17,0,0
2020-04-15,Confirmed,456,71,15
2020-04-15,Probable,20,0,0
2020-04-14,Confirmed,561,56,18
2020-04-14,Probable,29,0,1
2020-04-13,Confirmed,564,83,13
2020-04-13,Probable,40,2,1
2020-04-12,Confirmed,350,63,15
2020-04-12,Probable,34,0,1
2020-04-11,Confirmed,332,45,9
2020-04-11,Probable,26,0,0
2020-04-10,Confirmed,521,59,11
2020-04-10,Probable,30,0,0
2020-04-09,Confirmed,392,70,5
2020-04-09,Probable,21,0,0
2020-04-08,Confirmed,419,52,6
2020-04-08,Probable,33,0,0
2020-04-07,Confirmed,398,58,8
2020-04-07,Probable,18,0,0
2020-04-06,Confirmed,427,79,8
2020-04-06,Probable,34,0,0
2020-04-05,Confirmed,276,58,6
2020-04-05,Probable,24,0,0
2020-04-04,Confirmed,271,57,3
2020-04-04,Probable,15,0,0
2020-04-03,Confirmed,304,57,5
2020-04-03,Probable,17,1,0
2020-04-02,Confirmed,286,53,8
2020-04-02,Probable,16,0,0
2020-04-01,Confirmed,292,70,4
2020-04-01,Probable,27,0,1
2020-03-31,Confirmed,276,46,6
2020-03-31,Probable,12,0,0
2020-03-30,Confirmed,362,64,3
2020-03-30,Probable,18,0,0
2020-03-29,Confirmed,183,64,5
2020-03-29,Probable,8,0,0
2020-03-28,Confirmed,210,61,3
2020-03-28,Probable,5,0,0
2020-03-27,Confirmed,229,55,4
2020-03-27,Probable,4,0,0
2020-03-26,Confirmed,244,49,4
2020-03-26,Probable,11,0,1
2020-03-25,Confirmed,235,55,2
2020-03-25,Probable,8,0,0
2020-03-24,Confirmed,230,52,2
2020-03-24,Probable,14,0,0
2020-03-23,Confirmed,243,40,1
2020-03-23,Probable,14,0,0
2020-03-22,Confirmed,158,22,2
2020-03-22,Probable,6,0,0
2020-03-21,Confirmed,167,27,5
2020-03-21,Probable,9,0,0
2020-03-20,Confirmed,198,19,1
2020-03-20,Probable,5,0,0
2020-03-19,Confirmed,180,17,0
2020-03-19,Probable,5,0,0
2020-03-18,Confirmed,193,15,0
2020-03-18,Probable,6,0,0
2020-03-17,Confirmed,172,13,0
2020-03-17,Probable,9,0,0
2020-03-16,Confirmed,183,11,0
2020-03-16,Probable,5,0,0
2020-03-15,Confirmed,109,9,1
2020-03-15,Probable,5,0,0
2020-03-14,Confirmed,135,6,1
2020-03-14,Probable,3,0,0
2020-03-13,Confirmed,107,6,0
2020-03-13,Probable,4,0,0
2020-03-12,Confirmed,94,5,0
2020-03-12,Probable,3,0,0
2020-03-11,Confirmed,72,4,0
2020-03-11,Probable,3,0,0
2020-03-10,Confirmed,55,2,0
2020-03-10,Probable,1,0,0
2020-03-09,Confirmed,45,3,0
2020-03-09,Probable,1,0,0
2020-03-08,Confirmed,20,0,0
2020-03-08,Probable,1,0,0
2020-03-07,Confirmed,20,1,0
2020-03-06,Confirmed,24,1,0
2020-03-05,Confirmed,13,1,0
2020-03-04,Confirmed,17,0,0
2020-03-03,Confirmed,12,0,0
2020-03-03,Probable,1,0,0
2020-03-02,Confirmed,10,0,0
2020-03-02,Probable,2,0,0
2020-03-01,Confirmed,10,0,0
2020-03-01,Probable,1,0,0
2020-02-29,Confirmed,2,0,0
2020-02-28,Confirmed,5,0,0
2020-02-27,Confirmed,1,0,0
2020-02-26,Confirmed,3,1,0
2020-02-26,Probable,1,0,0
2020-02-25,Probable,1,0,0
2020-02-24,Confirmed,2,0,0
2020-02-23,Confirmed,2,0,0
2020-02-23,Probable,1,0,0
2020-02-19,Confirmed,1,0,0
2020-02-18,Confirmed,1,1,0
2020-02-17,Probable,1,0,0
2020-02-16,Confirmed,1,0,0
