"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-02,Southside,410,49,30
2020-07-02,Chesapeake,959,140,21
2020-07-02,"Thomas Jefferson",948,97,23
2020-07-02,Roanoke,436,14,10
2020-07-02,"Eastern Shore",1313,112,42
2020-07-02,"Mount Rogers",736,74,31
2020-07-02,Chickahominy,652,110,37
2020-07-02,"New River",243,22,5
2020-07-02,"Central Virginia",393,16,5
2020-07-02,Piedmont,1030,89,12
2020-07-02,"Lord Fairfax",2048,178,67
2020-07-02,Crater,1539,152,33
2020-07-02,Hampton,339,41,5
2020-07-02,Alexandria,2327,237,57
2020-07-02,Fairfax,14010,1658,507
2020-07-02,Richmond,2227,225,30
2020-07-02,Arlington,2496,421,132
2020-07-02,"Rappahannock Rapidan",1448,109,22
2020-07-02,Rappahannock,2478,225,44
2020-07-02,Pittsylvania-Danville,212,41,3
2020-07-02,"Prince William",9238,811,167
2020-07-02,"Cumberland Plateau",65,2,0
2020-07-02,Portsmouth,513,71,18
2020-07-02,"Virginia Beach",1225,121,30
2020-07-02,"West Piedmont",492,43,7
2020-07-02,"Three Rivers",649,49,9
2020-07-02,Alleghany,500,31,15
2020-07-02,Lenowisco,54,17,4
2020-07-02,Norfolk,987,108,11
2020-07-02,"Western Tidewater",817,88,52
2020-07-02,Henrico,2615,257,152
2020-07-02,"Central Shenandoah",2082,171,39
2020-07-02,Loudoun,4083,278,89
2020-07-02,Chesterfield,3166,149,73
2020-07-02,Peninsula,1005,127,34
