"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-29,Hampton,Other,8,2,0
2020-05-29,Alleghany,White,134,20,15
2020-05-29,"Prince William",Other,1348,168,10
2020-05-29,Arlington,"Not Reported",845,79,13
2020-05-29,"West Piedmont","Black or African American",42,9,1
2020-05-29,Peninsula,Other,33,7,1
2020-05-29,Norfolk,Other,47,4,0
2020-05-29,"Lord Fairfax","Black or African American",40,3,1
2020-05-29,"Mount Rogers","Not Reported",22,1,0
2020-05-29,"Central Virginia","Black or African American",21,2,1
2020-05-29,"West Piedmont",Other,27,1,1
2020-05-29,Portsmouth,White,60,9,2
2020-05-29,"Thomas Jefferson","Not Reported",48,0,0
2020-05-29,"Three Rivers","Not Reported",126,4,3
2020-05-29,"Virginia Beach","Black or African American",154,17,3
2020-05-29,"Prince William","Black or African American",451,82,24
2020-05-29,Loudoun,"Not Reported",1182,5,7
2020-05-29,Loudoun,White,647,89,43
2020-05-29,Peninsula,"Not Reported",123,2,0
2020-05-29,Pittsylvania-Danville,"Black or African American",31,8,0
2020-05-29,Henrico,White,543,74,69
2020-05-29,Richmond,White,187,18,4
2020-05-29,Southside,"Black or African American",47,12,3
2020-05-29,Chickahominy,White,204,47,21
2020-05-29,"Thomas Jefferson",Other,71,5,2
2020-05-29,"Virginia Beach",Other,81,20,3
2020-05-29,"Central Shenandoah","Black or African American",72,2,2
2020-05-29,Chesterfield,White,373,42,33
2020-05-29,"Central Virginia",White,76,10,3
2020-05-29,Rappahannock,White,417,54,12
2020-05-29,"New River",White,69,13,1
2020-05-29,"Mount Rogers",Other,30,3,0
2020-05-29,Crater,White,138,19,6
2020-05-29,Alleghany,"Not Reported",54,3,0
2020-05-29,Arlington,Other,434,121,23
2020-05-29,Piedmont,White,171,11,3
2020-05-29,"Cumberland Plateau",Other,0,0,0
2020-05-29,Pittsylvania-Danville,White,44,15,3
2020-05-29,Roanoke,"Black or African American",20,6,2
2020-05-29,Alleghany,"Black or African American",5,1,1
2020-05-29,Richmond,"Not Reported",317,3,0
2020-05-29,"Central Virginia",Other,2,1,0
2020-05-29,Rappahannock,Other,375,45,2
2020-05-29,Roanoke,Other,2,0,0
2020-05-29,Piedmont,"Black or African American",215,27,1
2020-05-29,Chesterfield,Other,194,4,0
2020-05-29,Portsmouth,"Black or African American",138,30,7
2020-05-29,Portsmouth,"Not Reported",75,2,2
2020-05-29,Norfolk,"Not Reported",73,0,0
2020-05-29,"Eastern Shore",White,260,14,14
2020-05-29,"Eastern Shore","Not Reported",121,1,0
2020-05-29,Roanoke,White,76,3,7
2020-05-29,"Three Rivers",Other,48,4,0
2020-05-29,Fairfax,Other,4459,660,82
2020-05-29,Henrico,"Not Reported",331,1,2
2020-05-29,"Lord Fairfax",Other,225,19,6
2020-05-29,Piedmont,Other,27,2,0
2020-05-29,Lenowisco,"Black or African American",0,0,0
2020-05-29,Arlington,White,666,121,48
2020-05-29,Hampton,"Black or African American",102,24,3
2020-05-29,Alexandria,White,664,69,27
