"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-30,Hampton,Other,9,2,0
2020-05-30,Alleghany,White,136,20,15
2020-05-30,"Prince William",Other,1372,174,11
2020-05-30,Arlington,"Not Reported",829,73,13
2020-05-30,"West Piedmont","Black or African American",42,9,1
2020-05-30,Peninsula,Other,36,8,1
2020-05-30,Norfolk,Other,48,4,0
2020-05-30,"Lord Fairfax","Black or African American",41,4,1
2020-05-30,"Mount Rogers","Not Reported",24,1,0
2020-05-30,"Central Virginia","Black or African American",21,2,1
2020-05-30,"West Piedmont",Other,35,1,1
2020-05-30,Portsmouth,White,61,9,2
2020-05-30,"Thomas Jefferson","Not Reported",61,0,0
2020-05-30,"Three Rivers","Not Reported",130,4,3
2020-05-30,"Virginia Beach","Black or African American",154,17,3
2020-05-30,"Prince William","Black or African American",462,86,25
2020-05-30,Loudoun,"Not Reported",1263,4,7
2020-05-30,Loudoun,White,654,90,43
2020-05-30,Peninsula,"Not Reported",113,2,0
2020-05-30,Pittsylvania-Danville,"Black or African American",31,8,0
2020-05-30,Henrico,White,555,74,69
2020-05-30,Richmond,White,193,19,5
2020-05-30,Southside,"Black or African American",47,12,3
2020-05-30,Chickahominy,White,207,48,21
2020-05-30,"Thomas Jefferson",Other,75,5,2
2020-05-30,"Virginia Beach",Other,81,20,3
2020-05-30,"Central Shenandoah","Black or African American",73,3,2
2020-05-30,Chesterfield,White,381,43,33
2020-05-30,"Central Virginia",White,76,10,3
2020-05-30,Rappahannock,White,429,54,12
2020-05-30,"New River",White,69,13,1
2020-05-30,"Mount Rogers",Other,30,3,0
2020-05-30,Crater,White,141,19,6
2020-05-30,Alleghany,"Not Reported",55,3,0
2020-05-30,Fairfax,White,2892,408,183
2020-05-30,Lenowisco,Other,1,0,0
2020-05-30,"Rappahannock Rapidan","Not Reported",560,21,4
2020-05-30,"Three Rivers","Black or African American",159,12,1
2020-05-30,Henrico,"Black or African American",583,105,56
2020-05-30,Lenowisco,"Not Reported",8,1,1
2020-05-30,Chesapeake,Other,44,5,2
2020-05-30,Crater,"Not Reported",203,3,2
2020-05-30,Chickahominy,"Not Reported",179,3,2
2020-05-30,"Eastern Shore","Black or African American",670,59,17
2020-05-30,Alexandria,Other,401,49,1
2020-05-30,Chesterfield,"Black or African American",254,38,10
2020-05-30,Roanoke,"Not Reported",55,0,0
2020-05-30,Rappahannock,"Black or African American",148,23,3
2020-05-30,"Lord Fairfax",White,891,92,36
2020-05-30,"Three Rivers",White,173,18,4
2020-05-30,"Central Virginia","Not Reported",108,3,0
2020-05-30,"Eastern Shore",Other,35,2,1
2020-05-30,Crater,"Black or African American",363,66,9
2020-05-30,"Mount Rogers","Black or African American",3,0,0
2020-05-30,"Central Shenandoah",White,972,94,26
2020-05-30,Southside,White,66,12,6
2020-05-30,Southside,"Not Reported",123,13,8
2020-05-30,Chesapeake,White,241,35,8
2020-05-30,"New River",Other,5,1,0
2020-05-30,Norfolk,"Black or African American",238,42,4
2020-05-30,"Central Shenandoah",Other,237,15,1
2020-05-30,Southside,Other,36,1,5
2020-05-30,Pittsylvania-Danville,Other,1,0,0
2020-05-30,"Cumberland Plateau",White,20,2,0
2020-05-30,"Rappahannock Rapidan","Black or African American",62,11,2
2020-05-30,Fairfax,"Not Reported",2904,107,104
2020-05-30,Chesapeake,"Not Reported",59,3,0
2020-05-30,"Thomas Jefferson",White,263,29,13
2020-05-30,Richmond,Other,339,44,2
2020-05-30,Peninsula,"Black or African American",148,31,9
2020-05-30,Henrico,Other,243,20,6
2020-05-30,"Cumberland Plateau","Black or African American",12,0,0
2020-05-30,Loudoun,Other,514,57,10
2020-05-30,Crater,Other,25,2,1
2020-05-30,Arlington,"Black or African American",144,51,27
2020-05-30,Alexandria,"Black or African American",267,52,11
2020-05-30,Richmond,"Black or African American",376,83,17
2020-05-30,"Lord Fairfax","Not Reported",205,4,7
2020-05-30,Fairfax,"Black or African American",646,134,26
2020-05-30,"Thomas Jefferson","Black or African American",116,36,4
2020-05-30,"West Piedmont",White,84,6,3
2020-05-30,Rappahannock,"Not Reported",549,28,0
2020-05-30,"Central Shenandoah","Not Reported",235,8,1
2020-05-30,Peninsula,White,286,74,22
2020-05-30,"Rappahannock Rapidan",White,449,34,8
2020-05-30,"Prince William",White,1317,257,81
2020-05-30,"New River","Not Reported",30,0,0
2020-05-30,Chesterfield,"Not Reported",740,3,9
2020-05-30,Alleghany,Other,3,0,0
2020-05-30,Lenowisco,White,33,15,3
2020-05-30,"Western Tidewater",White,166,28,19
2020-05-30,Arlington,Other,442,121,24
2020-05-30,Piedmont,White,174,11,3
2020-05-30,"Cumberland Plateau",Other,0,0,0
2020-05-30,Pittsylvania-Danville,White,45,15,3
2020-05-30,Roanoke,"Black or African American",20,6,2
2020-05-30,Alleghany,"Black or African American",5,1,1
2020-05-30,Richmond,"Not Reported",341,3,0
2020-05-30,"Central Virginia",Other,2,1,0
2020-05-30,Rappahannock,Other,387,45,2
2020-05-30,Roanoke,Other,2,0,0
2020-05-30,Piedmont,"Black or African American",219,27,1
2020-05-30,Chesterfield,Other,209,4,0
2020-05-30,Portsmouth,"Black or African American",141,31,7
2020-05-30,Portsmouth,"Not Reported",84,2,2
2020-05-30,Norfolk,"Not Reported",78,0,0
2020-05-30,"Eastern Shore",White,268,13,14
2020-05-30,"Eastern Shore","Not Reported",120,1,0
2020-05-30,Roanoke,White,78,3,7
2020-05-30,"Three Rivers",Other,48,4,0
2020-05-30,Fairfax,Other,4584,670,84
2020-05-30,Henrico,"Not Reported",373,2,2
2020-05-30,"Lord Fairfax",Other,237,19,6
2020-05-30,Piedmont,Other,27,2,0
2020-05-30,Lenowisco,"Black or African American",0,0,0
2020-05-30,Arlington,White,692,126,49
2020-05-30,Hampton,"Black or African American",103,24,3
2020-05-30,Alexandria,White,673,70,27
2020-05-30,Hampton,"Not Reported",44,0,0
2020-05-30,"Mount Rogers",White,274,21,6
2020-05-30,Alexandria,"Not Reported",619,16,5
2020-05-30,Chickahominy,"Black or African American",74,27,9
2020-05-30,Chesapeake,"Black or African American",176,44,5
2020-05-30,"Western Tidewater","Not Reported",189,2,1
2020-05-30,"Cumberland Plateau","Not Reported",1,0,0
2020-05-30,"Western Tidewater",Other,29,1,2
2020-05-30,Loudoun,"Black or African American",98,11,2
2020-05-30,"Virginia Beach",White,343,52,17
2020-05-30,Chickahominy,Other,21,6,0
2020-05-30,"New River","Black or African American",5,1,0
2020-05-30,"Virginia Beach","Not Reported",121,3,0
2020-05-30,"Rappahannock Rapidan",Other,69,12,0
2020-05-30,Piedmont,"Not Reported",296,7,2
2020-05-30,Portsmouth,Other,21,2,0
2020-05-30,Pittsylvania-Danville,"Not Reported",14,5,0
2020-05-30,"West Piedmont","Not Reported",28,3,0
2020-05-30,Norfolk,White,126,23,2
2020-05-30,Hampton,White,41,4,0
2020-05-30,"Western Tidewater","Black or African American",246,40,17
2020-05-30,"Prince William","Not Reported",3606,36,3
