"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-16,Southside,"Not Reported",204,26,10
2020-06-16,"Lord Fairfax","Hispanic or Latino",473,32,8
2020-06-16,"Eastern Shore","Not Hispanic or Latino",942,94,38
2020-06-16,Portsmouth,"Hispanic or Latino",13,2,0
2020-06-16,Fairfax,"Not Reported",3196,107,82
2020-06-16,Richmond,"Hispanic or Latino",631,57,1
2020-06-16,Chesapeake,"Not Reported",138,6,0
2020-06-16,Arlington,"Hispanic or Latino",1147,197,19
2020-06-16,"West Piedmont","Not Hispanic or Latino",187,25,4
2020-06-16,Fairfax,"Not Hispanic or Latino",3432,734,303
2020-06-16,Piedmont,"Hispanic or Latino",34,0,1
2020-06-16,Crater,"Not Hispanic or Latino",434,82,12
2020-06-16,Chickahominy,"Not Hispanic or Latino",252,78,32
2020-06-16,"New River","Not Hispanic or Latino",96,17,4
2020-06-16,"Lord Fairfax","Not Reported",460,22,12
2020-06-16,Rappahannock,"Not Reported",753,26,0
2020-06-16,"Central Shenandoah","Not Reported",243,6,4
2020-06-16,"Central Virginia","Not Hispanic or Latino",82,12,3
2020-06-16,Lenowisco,"Not Hispanic or Latino",26,12,2
2020-06-16,"Cumberland Plateau","Not Hispanic or Latino",22,2,0
2020-06-16,"Western Tidewater","Not Hispanic or Latino",418,75,45
2020-06-16,"New River","Not Reported",41,0,0
2020-06-16,Chesterfield,"Not Reported",1511,22,16
2020-06-16,Chesterfield,"Hispanic or Latino",464,22,1
2020-06-16,Hampton,"Not Hispanic or Latino",164,33,4
2020-06-16,Chesapeake,"Not Hispanic or Latino",473,87,15
2020-06-16,Peninsula,"Hispanic or Latino",138,10,0
2020-06-16,Arlington,"Not Reported",274,22,11
2020-06-16,Roanoke,"Not Hispanic or Latino",87,10,9
2020-06-16,"Lord Fairfax","Not Hispanic or Latino",816,94,42
2020-06-16,"Eastern Shore","Hispanic or Latino",222,7,3
2020-06-16,"Mount Rogers","Not Reported",57,5,1
2020-06-16,"Three Rivers","Not Hispanic or Latino",333,34,10
2020-06-16,"Thomas Jefferson","Not Reported",120,1,0
2020-06-16,"Three Rivers","Not Reported",184,10,0
2020-06-16,Arlington,"Not Hispanic or Latino",942,188,95
2020-06-16,Alleghany,"Not Hispanic or Latino",144,22,14
2020-06-16,Loudoun,"Not Reported",1908,8,5
2020-06-16,Fairfax,"Hispanic or Latino",6600,686,56
2020-06-16,Peninsula,"Not Reported",156,2,0
2020-06-16,Crater,"Hispanic or Latino",85,2,2
2020-06-16,Piedmont,"Not Hispanic or Latino",503,59,4
2020-06-16,Henrico,"Hispanic or Latino",398,30,4
2020-06-16,Alexandria,"Not Hispanic or Latino",771,116,41
2020-06-16,"Central Virginia","Hispanic or Latino",21,1,1
2020-06-16,Alleghany,"Not Reported",88,1,0
2020-06-16,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-06-16,"Western Tidewater","Hispanic or Latino",5,1,0
2020-06-16,Chesterfield,"Not Hispanic or Latino",454,84,39
2020-06-16,Pittsylvania-Danville,"Not Hispanic or Latino",99,25,3
2020-06-16,"Mount Rogers","Hispanic or Latino",140,0,0
2020-06-16,Richmond,"Not Reported",702,27,3
2020-06-16,Peninsula,"Not Hispanic or Latino",491,111,33
2020-06-16,Chesapeake,"Hispanic or Latino",67,9,1
2020-06-16,Southside,"Hispanic or Latino",2,1,0
2020-06-16,"Thomas Jefferson","Not Hispanic or Latino",413,74,19
2020-06-16,Norfolk,"Not Hispanic or Latino",373,71,7
2020-06-16,Portsmouth,"Not Reported",206,11,2
2020-06-16,Norfolk,"Not Reported",186,0,0
2020-06-16,"Three Rivers","Hispanic or Latino",69,2,0
2020-06-16,"Eastern Shore","Not Reported",107,1,0
2020-06-16,Alleghany,"Hispanic or Latino",46,4,0
2020-06-16,Henrico,"Not Reported",847,34,17
2020-06-16,Henrico,"Not Hispanic or Latino",1066,176,116
2020-06-16,Loudoun,"Not Hispanic or Latino",712,116,65
2020-06-16,Hampton,"Not Reported",52,2,1
2020-06-16,"Rappahannock Rapidan","Not Hispanic or Latino",308,41,11
2020-06-16,Alexandria,"Not Reported",193,6,0
2020-06-16,Rappahannock,"Not Hispanic or Latino",684,98,27
2020-06-16,"Western Tidewater","Not Reported",281,2,1
2020-06-16,"Cumberland Plateau","Not Reported",14,0,0
2020-06-16,Alexandria,"Hispanic or Latino",1204,102,6
2020-06-16,"Virginia Beach","Not Hispanic or Latino",627,98,24
2020-06-16,"Prince William","Hispanic or Latino",3436,458,38
2020-06-16,"Virginia Beach","Not Reported",191,4,2
2020-06-16,"Central Shenandoah","Hispanic or Latino",724,46,2
2020-06-16,Pittsylvania-Danville,"Hispanic or Latino",17,1,0
2020-06-16,"Mount Rogers","Not Hispanic or Latino",376,58,21
2020-06-16,Piedmont,"Not Reported",375,14,2
2020-06-16,Southside,"Not Hispanic or Latino",117,18,16
2020-06-16,"Thomas Jefferson","Hispanic or Latino",184,6,0
2020-06-16,Pittsylvania-Danville,"Not Reported",20,6,0
2020-06-16,Norfolk,"Hispanic or Latino",122,13,0
2020-06-16,Portsmouth,"Not Hispanic or Latino",168,46,10
2020-06-16,"West Piedmont","Not Reported",54,3,1
2020-06-16,Richmond,"Not Hispanic or Latino",515,107,25
2020-06-16,"West Piedmont","Hispanic or Latino",100,5,0
2020-06-16,"Prince William","Not Reported",3588,23,1
2020-06-16,"Rappahannock Rapidan","Not Reported",447,16,2
2020-06-16,Chickahominy,"Hispanic or Latino",36,3,0
2020-06-16,Lenowisco,"Not Reported",20,4,2
2020-06-16,"New River","Hispanic or Latino",15,1,0
2020-06-16,Crater,"Not Reported",734,33,7
2020-06-16,Chickahominy,"Not Reported",282,21,3
2020-06-16,Loudoun,"Hispanic or Latino",819,82,6
2020-06-16,"Rappahannock Rapidan","Hispanic or Latino",617,46,5
2020-06-16,Roanoke,"Not Reported",90,0,1
2020-06-16,Rappahannock,"Hispanic or Latino",729,68,3
2020-06-16,Lenowisco,"Hispanic or Latino",0,0,0
2020-06-16,"Virginia Beach","Hispanic or Latino",91,8,1
2020-06-16,"Prince William","Not Hispanic or Latino",1302,272,108
2020-06-16,"Central Virginia","Not Reported",177,4,0
2020-06-16,"Central Shenandoah","Not Hispanic or Latino",831,94,25
2020-06-16,Hampton,"Hispanic or Latino",30,2,0
2020-06-16,Roanoke,"Hispanic or Latino",93,1,0
