"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-29,Southside,269,38,22
2020-05-29,Chesapeake,494,86,15
2020-05-29,"Thomas Jefferson",498,69,19
2020-05-29,Roanoke,152,9,9
2020-05-29,"Eastern Shore",1055,75,32
2020-05-29,"Mount Rogers",322,24,6
2020-05-29,Chickahominy,478,81,32
2020-05-29,"New River",109,15,1
2020-05-29,"Central Virginia",202,16,4
2020-05-29,Piedmont,702,47,6
2020-05-29,"Lord Fairfax",1321,119,50
2020-05-29,Crater,703,90,18
2020-05-29,Hampton,192,30,3
2020-05-29,Alexandria,1941,181,44
2020-05-29,Fairfax,10856,1300,392
2020-05-29,Richmond,1202,146,22
2020-05-29,Arlington,2089,372,111
2020-05-29,"Rappahannock Rapidan",1123,77,14
2020-05-29,Rappahannock,1448,148,17
2020-05-29,Pittsylvania-Danville,90,28,3
2020-05-29,"Prince William",6561,539,117
2020-05-29,"Cumberland Plateau",33,2,0
2020-05-29,Portsmouth,294,43,11
2020-05-29,"Virginia Beach",680,92,23
2020-05-29,"West Piedmont",183,19,5
2020-05-29,"Three Rivers",505,36,8
2020-05-29,Alleghany,195,24,16
2020-05-29,Lenowisco,42,16,4
2020-05-29,Norfolk,470,67,6
2020-05-29,"Western Tidewater",626,70,39
2020-05-29,Henrico,1678,194,133
2020-05-29,"Central Shenandoah",1491,118,30
2020-05-29,Loudoun,2429,159,62
2020-05-29,Chesterfield,1518,85,52
2020-05-29,Peninsula,582,114,32
