"﻿Lab Report Date","Positive Results","Number of People Tested"
2020-03-16,11,307
2020-03-17,17,177
2020-03-18,16,336
2020-03-19,74,542
2020-03-20,49,561
2020-03-21,64,879
2020-03-22,24,506
2020-03-23,73,703
2020-03-24,105,1003
2020-03-25,122,1078
2020-03-26,163,1359
2020-03-27,214,1911
2020-03-28,188,1635
2020-03-29,194,1248
2020-03-30,225,1617
2020-03-31,320,1775
2020-04-01,348,2285
2020-04-02,319,1818
2020-04-03,335,2421
2020-04-04,420,2240
2020-04-05,479,3677
2020-04-06,396,2766
2020-04-07,382,2199
2020-04-08,436,2286
2020-04-09,521,2799
2020-04-10,417,2563
2020-04-11,444,2127
2020-04-12,411,2101
2020-04-13,349,1228
2020-04-14,368,1595
2020-04-15,538,2627
2020-04-16,622,2965
2020-04-17,549,2785
2020-04-18,532,2596
2020-04-19,562,2441
2020-04-20,448,1615
2020-04-21,541,2492
2020-04-22,883,4766
2020-04-23,953,5391
2020-04-24,774,3672
2020-04-25,814,4467
2020-04-26,844,3707
2020-04-27,597,2614
2020-04-28,778,4179
2020-04-29,1238,6873
2020-04-30,921,5686
2020-05-01,1192,6879
2020-05-02,948,6506
2020-05-03,959,4973
2020-05-04,495,2546
2020-05-05,1091,5814
2020-05-06,1241,9013
2020-05-07,1114,7351
2020-05-08,1034,7330
2020-05-09,1068,7591
2020-05-10,771,5844
2020-05-11,528,3385
2020-05-12,732,5423
2020-05-13,639,4727
