Report Date,FIPS,Locality,Health District,Total Cases
2020-04-19,51003,Albemarle,Thomas Jefferson,57
2020-04-19,51009,Amherst,Central Virginia,10
2020-04-19,51011,Appomattox,Central Virginia,7
2020-04-19,51013,Arlington,Arlington,575
2020-04-19,51015,Augusta,Central Shenandoah,22
2020-04-19,51019,Bedford,Central Virginia,18
2020-04-19,51021,Bland,Mount Rogers,0
2020-04-19,51025,Brunswick,Southside,12
2020-04-19,51027,Buchanan,Cumberland Plateau,12
2020-04-19,51029,Buckingham,Piedmont,26
2020-04-19,51031,Campbell,Central Virginia,9
2020-04-19,51033,Caroline,Rappahannock,13
2020-04-19,51035,Carroll,Mount Rogers,3
2020-04-19,51036,Charles City,Chickahominy,11
2020-04-19,51037,Charlotte,Piedmont,8
2020-04-19,51043,Clarke,Lord Fairfax,6
2020-04-19,51047,Culpeper,Rappahannock Rapidan,43
2020-04-19,51049,Cumberland,Piedmont,10
2020-04-19,51053,Dinwiddie,Crater,7
2020-04-19,51057,Essex,Three Rivers,2
2020-04-19,51077,Grayson,Mount Rogers,0
2020-04-19,51079,Greene,Thomas Jefferson,8
2020-04-19,51081,Greensville,Crater,18
2020-04-19,51083,Halifax,Southside,8
2020-04-19,51085,Hanover,Chickahominy,84
2020-04-19,51087,Henrico,Henrico,584
2020-04-19,51091,Highland,Central Shenandoah,0
2020-04-19,51093,Isle of Wight,Western Tidewater,86
2020-04-19,51097,King and Queen,Three Rivers,2
2020-04-19,51105,Lee,Lenowisco,7
2020-04-19,51109,Louisa,Thomas Jefferson,33
2020-04-19,51111,Lunenburg,Piedmont,3
2020-04-19,51113,Madison,Rappahannock Rapidan,8
2020-04-19,51115,Mathews,Three Rivers,3
2020-04-19,51119,Middlesex,Three Rivers,3
2020-04-19,51127,New Kent,Chickahominy,17
2020-04-19,51131,Northampton,Eastern Shore,7
2020-04-19,51133,Northumberland,Three Rivers,5
2020-04-19,51141,Patrick,West Piedmont,0
2020-04-19,51143,Pittsylvania,Pittsylvania-Danville,6
2020-04-19,51145,Powhatan,Chesterfield,8
2020-04-19,51149,Prince George,Crater,28
2020-04-19,51153,Prince William,Prince William,742
2020-04-19,51155,Pulaski,New River,8
2020-04-19,51163,Rockbridge,Central Shenandoah,5
2020-04-19,51165,Rockingham,Central Shenandoah,100
2020-04-19,51167,Russell,Cumberland Plateau,2
2020-04-19,51185,Tazewell,Cumberland Plateau,4
2020-04-19,51187,Warren,Lord Fairfax,24
2020-04-19,51193,Westmoreland,Three Rivers,10
2020-04-19,51197,Wythe,Mount Rogers,10
2020-04-19,51199,York,Peninsula,44
2020-04-19,51510,Alexandria,Alexandria,383
2020-04-19,51520,Bristol,Mount Rogers,1
2020-04-19,51550,Chesapeake,Chesapeake,162
2020-04-19,51590,Danville,Pittsylvania-Danville,27
2020-04-19,51600,Fairfax City,Fairfax,11
2020-04-19,51620,Franklin City,Western Tidewater,12
2020-04-19,51660,Harrisonburg,Central Shenandoah,236
2020-04-19,51680,Lynchburg,Central Virginia,38
2020-04-19,51685,Manassas Park,Prince William,25
2020-04-19,51690,Martinsville,West Piedmont,0
2020-04-19,51700,Newport News,Peninsula,101
2020-04-19,51710,Norfolk,Norfolk,111
2020-04-19,51775,Salem,Alleghany,6
2020-04-19,51820,Waynesboro,Central Shenandoah,7
2020-04-19,51830,Williamsburg,Peninsula,19
2020-04-19,51840,Winchester,Lord Fairfax,25
2020-04-19,51001,Accomack,Eastern Shore,42
2020-04-19,51005,Alleghany,Alleghany,5
2020-04-19,51007,Amelia,Piedmont,14
2020-04-19,51017,Bath,Central Shenandoah,0
2020-04-19,51023,Botetourt,Alleghany,24
2020-04-19,51041,Chesterfield,Chesterfield,311
2020-04-19,51045,Craig,Alleghany,2
2020-04-19,51051,Dickenson,Cumberland Plateau,0
2020-04-19,51059,Fairfax,Fairfax,1809
2020-04-19,51061,Fauquier,Rappahannock Rapidan,39
2020-04-19,51063,Floyd,New River,1
2020-04-19,51065,Fluvanna,Thomas Jefferson,66
2020-04-19,51067,Franklin County,West Piedmont,15
2020-04-19,51069,Frederick,Lord Fairfax,81
2020-04-19,51071,Giles,New River,4
2020-04-19,51073,Gloucester,Three Rivers,21
2020-04-19,51075,Goochland,Chickahominy,55
2020-04-19,51089,Henry,West Piedmont,10
2020-04-19,51095,James City,Peninsula,141
2020-04-19,51099,King George,Rappahannock,18
2020-04-19,51101,King William,Three Rivers,2
2020-04-19,51103,Lancaster,Three Rivers,1
2020-04-19,51107,Loudoun,Loudoun,425
2020-04-19,51117,Mecklenburg,Southside,65
2020-04-19,51121,Montgomery,New River,42
2020-04-19,51125,Nelson,Thomas Jefferson,5
2020-04-19,51135,Nottoway,Piedmont,8
2020-04-19,51137,Orange,Rappahannock Rapidan,20
2020-04-19,51139,Page,Lord Fairfax,13
2020-04-19,51147,Prince Edward,Piedmont,17
2020-04-19,51157,Rappahannock,Rappahannock Rapidan,1
2020-04-19,51159,Richmond County,Three Rivers,9
2020-04-19,51161,Roanoke County,Alleghany,22
2020-04-19,51169,Scott,Lenowisco,4
2020-04-19,51171,Shenandoah,Lord Fairfax,39
2020-04-19,51173,Smyth,Mount Rogers,12
2020-04-19,51175,Southampton,Western Tidewater,16
2020-04-19,51177,Spotsylvania,Rappahannock,74
2020-04-19,51179,Stafford,Rappahannock,152
2020-04-19,51181,Surry,Crater,3
2020-04-19,51183,Sussex,Crater,11
2020-04-19,51191,Washington,Mount Rogers,29
2020-04-19,51195,Wise,Lenowisco,18
2020-04-19,51530,Buena Vista City,Central Shenandoah,5
2020-04-19,51540,Charlottesville,Thomas Jefferson,41
2020-04-19,51570,Colonial Heights,Chesterfield,23
2020-04-19,51580,Covington,Alleghany,1
2020-04-19,51595,Emporia,Crater,7
2020-04-19,51610,Falls Church,Fairfax,0
2020-04-19,51630,Fredericksburg,Rappahannock,17
2020-04-19,51640,Galax,Mount Rogers,1
2020-04-19,51650,Hampton,Hampton,83
2020-04-19,51670,Hopewell,Crater,16
2020-04-19,51678,Lexington,Central Shenandoah,3
2020-04-19,51683,Manassas City,Prince William,93
2020-04-19,51720,Norton,Lenowisco,2
2020-04-19,51730,Petersburg,Crater,21
2020-04-19,51735,Poquoson,Peninsula,6
2020-04-19,51740,Portsmouth,Portsmouth,65
2020-04-19,51750,Radford,New River,1
2020-04-19,51760,Richmond City,Richmond,231
2020-04-19,51770,Roanoke City,Roanoke,24
2020-04-19,51790,Staunton,Central Shenandoah,5
2020-04-19,51800,Suffolk,Western Tidewater,91
2020-04-19,51810,Virginia Beach,Virginia Beach,273
