"Event Date","Case Status","Number of Hospitalizations","Number of Deaths","Number of Cases"
2020-05-08,Confirmed,1,3,16
2020-05-08,Probable,0,0,2
2020-05-07,Confirmed,10,15,42
2020-05-07,Probable,0,0,1
2020-05-06,Confirmed,22,15,145
2020-05-06,Probable,0,1,7
2020-05-05,Confirmed,33,27,355
2020-05-05,Probable,0,1,4
2020-05-04,Confirmed,52,16,664
2020-05-04,Probable,0,0,8
2020-05-03,Confirmed,47,15,361
2020-05-03,Probable,0,1,5
2020-05-02,Confirmed,43,21,416
2020-05-02,Probable,2,1,15
2020-05-01,Confirmed,56,15,679
2020-05-01,Probable,0,0,32
2020-04-30,Confirmed,61,29,657
2020-04-30,Probable,0,0,30
2020-04-29,Confirmed,56,19,679
2020-04-29,Probable,0,1,17
2020-04-28,Confirmed,65,25,675
2020-04-28,Probable,1,0,27
2020-04-27,Confirmed,67,20,717
2020-04-27,Probable,2,0,27
2020-04-26,Confirmed,48,24,507
2020-04-26,Probable,0,3,19
2020-04-25,Confirmed,49,20,513
2020-04-25,Probable,1,3,36
2020-04-24,Confirmed,67,24,746
2020-04-24,Probable,0,1,45
2020-04-23,Confirmed,52,18,673
2020-04-23,Probable,0,2,35
2020-04-22,Confirmed,59,25,667
2020-04-22,Probable,0,0,40
2020-04-21,Confirmed,84,26,623
2020-04-21,Probable,2,2,26
2020-04-20,Confirmed,75,16,750
2020-04-20,Probable,1,2,52
2020-04-19,Confirmed,52,33,407
2020-04-19,Probable,1,0,28
2020-04-18,Confirmed,59,19,388
2020-04-18,Probable,1,0,20
2020-04-17,Confirmed,57,28,616
2020-04-17,Probable,0,1,39
2020-04-16,Confirmed,69,29,566
2020-04-16,Probable,0,0,16
2020-04-15,Confirmed,71,22,466
2020-04-15,Probable,0,0,20
2020-04-14,Confirmed,56,23,554
2020-04-14,Probable,0,1,30
2020-04-13,Confirmed,83,24,580
2020-04-13,Probable,2,1,41
2020-04-12,Confirmed,64,20,366
2020-04-12,Probable,0,1,34
2020-04-11,Confirmed,46,15,334
2020-04-11,Probable,0,0,29
2020-04-10,Confirmed,61,18,512
2020-04-10,Probable,0,0,31
2020-04-09,Confirmed,72,13,388
2020-04-09,Probable,0,0,21
2020-04-08,Confirmed,56,10,409
2020-04-08,Probable,0,1,31
2020-04-07,Confirmed,59,14,392
2020-04-07,Probable,0,0,17
2020-04-06,Confirmed,80,16,435
2020-04-06,Probable,0,0,35
2020-04-05,Confirmed,58,10,277
2020-04-05,Probable,0,0,25
2020-04-04,Confirmed,57,8,289
2020-04-04,Probable,0,0,14
2020-04-03,Confirmed,60,11,315
2020-04-03,Probable,1,0,17
2020-04-02,Confirmed,54,9,302
2020-04-02,Probable,0,0,16
2020-04-01,Confirmed,70,10,289
2020-04-01,Probable,0,1,27
2020-03-31,Confirmed,47,10,276
2020-03-31,Probable,0,1,12
2020-03-30,Confirmed,65,6,370
2020-03-30,Probable,0,0,18
2020-03-29,Confirmed,64,7,179
2020-03-29,Probable,0,0,9
2020-03-28,Confirmed,62,8,215
2020-03-28,Probable,0,0,5
2020-03-27,Confirmed,55,9,242
2020-03-27,Probable,0,0,4
2020-03-26,Confirmed,49,4,244
2020-03-26,Probable,0,1,11
2020-03-25,Confirmed,54,4,242
2020-03-25,Probable,0,0,7
2020-03-24,Confirmed,52,3,227
2020-03-24,Probable,0,0,14
2020-03-23,Confirmed,41,1,242
2020-03-23,Probable,0,0,16
2020-03-22,Confirmed,22,4,160
2020-03-22,Probable,0,0,6
2020-03-21,Confirmed,28,4,171
2020-03-21,Probable,0,0,8
2020-03-20,Confirmed,19,1,201
2020-03-20,Probable,0,0,7
2020-03-19,Confirmed,17,0,180
2020-03-19,Probable,0,0,8
2020-03-18,Confirmed,15,0,201
2020-03-18,Probable,0,0,7
2020-03-17,Confirmed,13,0,177
2020-03-17,Probable,0,0,10
2020-03-16,Confirmed,11,0,186
2020-03-16,Probable,0,0,6
2020-03-15,Confirmed,9,1,111
2020-03-15,Probable,0,0,6
2020-03-14,Confirmed,6,1,134
2020-03-14,Probable,0,0,4
2020-03-13,Confirmed,6,0,107
2020-03-13,Probable,0,0,4
2020-03-12,Confirmed,5,0,95
2020-03-12,Probable,0,0,3
2020-03-11,Confirmed,4,0,73
2020-03-11,Probable,0,0,3
2020-03-10,Confirmed,2,0,57
2020-03-10,Probable,0,0,2
2020-03-09,Confirmed,3,0,46
2020-03-09,Probable,0,0,1
2020-03-08,Confirmed,0,0,20
2020-03-08,Probable,0,0,1
2020-03-07,Confirmed,1,0,21
2020-03-07,Probable,0,0,1
2020-03-06,Confirmed,1,0,25
2020-03-05,Confirmed,1,0,13
2020-03-04,Confirmed,0,0,19
2020-03-03,Confirmed,0,0,13
2020-03-03,Probable,0,0,1
2020-03-02,Confirmed,0,0,14
2020-03-02,Probable,0,0,2
2020-03-01,Confirmed,0,0,11
2020-03-01,Probable,0,0,1
2020-02-29,Confirmed,0,0,4
2020-02-29,Probable,0,0,1
2020-02-28,Confirmed,0,0,5
2020-02-27,Confirmed,0,0,1
2020-02-26,Confirmed,1,0,4
2020-02-26,Probable,0,0,1
2020-02-25,Probable,0,0,1
2020-02-24,Confirmed,0,0,5
2020-02-23,Confirmed,0,0,2
2020-02-23,Probable,0,0,1
2020-02-19,Confirmed,0,0,1
2020-02-18,Confirmed,1,0,2
2020-02-17,Probable,0,0,1
2020-02-16,Confirmed,0,0,1
