"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-16,Norfolk,0-9,18,0,0
2020-06-16,"Cumberland Plateau",40-49,6,0,0
2020-06-16,"Eastern Shore",10-19,57,1,0
2020-06-16,"Mount Rogers",10-19,43,0,0
2020-06-16,"Rappahannock Rapidan",0-9,71,1,0
2020-06-16,"Three Rivers",0-9,9,1,0
2020-06-16,Henrico,40-49,332,23,1
2020-06-16,Alexandria,50-59,285,44,9
2020-06-16,Arlington,0-9,41,2,0
2020-06-16,Chickahominy,Missing,10,0,0
2020-06-16,"New River",20-29,34,0,0
2020-06-16,"Virginia Beach",20-29,176,3,0
2020-06-16,Chesapeake,50-59,111,19,1
2020-06-16,Alleghany,80+,24,8,5
2020-06-16,Fairfax,10-19,720,20,0
2020-06-16,Chesapeake,60-69,86,20,4
2020-06-16,"West Piedmont",Missing,0,0,0
2020-06-16,Peninsula,80+,50,23,15
2020-06-16,Crater,40-49,183,12,1
2020-06-16,Chesapeake,40-49,111,16,0
2020-06-16,"Thomas Jefferson",20-29,111,1,0
2020-06-16,"Lord Fairfax",20-29,306,4,0
2020-06-16,Norfolk,20-29,172,1,0
2020-06-16,Arlington,30-39,428,41,0
2020-06-16,"West Piedmont",60-69,38,3,0
2020-06-16,Henrico,50-59,285,30,7
2020-06-16,"West Piedmont",50-59,74,9,1
2020-06-16,"Cumberland Plateau",20-29,1,0,0
2020-06-16,Alexandria,70-79,100,37,15
2020-06-16,Portsmouth,20-29,67,3,0
2020-06-16,"Western Tidewater",30-39,87,4,0
2020-06-16,"Central Shenandoah",0-9,46,0,0
2020-06-16,Henrico,80+,304,65,68
2020-06-16,Alexandria,0-9,117,2,0
2020-06-16,Pittsylvania-Danville,40-49,33,5,0
2020-06-16,Henrico,20-29,309,15,0
2020-06-16,Roanoke,60-69,22,2,0
2020-06-16,Peninsula,30-39,127,7,1
2020-06-16,Alleghany,60-69,35,7,1
2020-06-16,"Prince William",70-79,264,74,38
2020-06-16,Norfolk,60-69,61,22,1
2020-06-16,Southside,40-49,29,5,0
2020-06-16,Chesterfield,30-39,477,4,0
2020-06-16,Loudoun,70-79,131,37,12
2020-06-16,"Central Virginia",40-49,40,0,0
2020-06-16,"New River",Missing,0,0,0
2020-06-16,Chickahominy,20-29,71,0,0
2020-06-16,"New River",0-9,3,0,0
2020-06-16,"Cumberland Plateau",0-9,0,0,0
2020-06-16,"Three Rivers",70-79,27,6,4
2020-06-16,"Rappahannock Rapidan",40-49,279,19,2
2020-06-16,Hampton,0-9,8,0,0
2020-06-16,Piedmont,50-59,171,17,0
2020-06-16,Rappahannock,20-29,366,10,0
2020-06-16,Crater,Missing,8,0,0
2020-06-16,Arlington,50-59,363,66,6
2020-06-16,Piedmont,70-79,58,17,2
2020-06-16,Alexandria,60-69,184,42,1
2020-06-16,Portsmouth,30-39,85,4,0
2020-06-16,Lenowisco,20-29,6,0,0
2020-06-16,"Central Virginia",30-39,46,2,0
2020-06-16,Norfolk,10-19,41,1,0
2020-06-16,"New River",10-19,7,0,0
2020-06-16,"Central Virginia",20-29,52,2,0
2020-06-16,Rappahannock,50-59,331,40,3
2020-06-16,Rappahannock,60-69,190,42,5
2020-06-16,Piedmont,20-29,142,1,0
2020-06-16,"New River",60-69,19,2,0
2020-06-16,Roanoke,40-49,36,1,0
2020-06-16,"Three Rivers",20-29,101,4,0
2020-06-16,Rappahannock,40-49,401,33,2
2020-06-16,Portsmouth,80+,20,7,3
2020-06-16,"Central Shenandoah",Missing,0,0,0
2020-06-16,"Eastern Shore",70-79,46,15,9
2020-06-16,"Mount Rogers",70-79,55,24,9
2020-06-16,"Cumberland Plateau",70-79,2,0,0
2020-06-16,Piedmont,10-19,22,0,0
2020-06-16,Southside,20-29,31,2,0
2020-06-16,Chesterfield,50-59,347,28,2
2020-06-16,"Rappahannock Rapidan",20-29,262,4,0
2020-06-16,"Cumberland Plateau",60-69,5,1,0
2020-06-16,Roanoke,70-79,10,3,0
2020-06-16,"Central Shenandoah",20-29,322,5,0
2020-06-16,Pittsylvania-Danville,80+,3,2,2
2020-06-16,"Virginia Beach",80+,81,25,17
2020-06-16,"Central Shenandoah",50-59,325,28,1
2020-06-16,Lenowisco,Missing,0,0,0
2020-06-16,Fairfax,30-39,2571,157,4
2020-06-16,Lenowisco,60-69,5,4,2
2020-06-16,Loudoun,30-39,638,18,0
2020-06-16,"West Piedmont",80+,12,6,0
2020-06-16,Roanoke,80+,38,3,10
2020-06-16,Fairfax,40-49,2497,222,8
2020-06-16,"Thomas Jefferson",80+,72,23,14
2020-06-16,Roanoke,20-29,51,1,0
2020-06-16,Henrico,60-69,267,44,26
2020-06-16,"Lord Fairfax",40-49,279,13,1
2020-06-16,"Western Tidewater",Missing,5,0,0
2020-06-16,Chickahominy,60-69,68,16,6
2020-06-16,Chesapeake,20-29,97,3,0
2020-06-16,"Three Rivers",Missing,1,0,0
2020-06-16,Lenowisco,10-19,3,0,0
2020-06-16,Chesapeake,0-9,18,1,0
2020-06-16,Peninsula,50-59,121,18,2
2020-06-16,"Cumberland Plateau",Missing,0,0,0
2020-06-16,Peninsula,60-69,112,28,3
