Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,779,73,623,83
New York Harbor HCS,694,62,540,92
"Bronx, NY HCS",573,53,456,64
"New Orleans, LA HCS",517,23,452,42
"Philadelphia, PA HCS",411,88,300,23
"Boston, MA HCS",398,74,276,48
"Washington, DC HCS",346,68,248,30
"North Chicago, IL HCS",333,100,232,1
"Aurora, CO HCS",285,41,228,16
Connecticut HCS,284,46,229,9
"Chicago, IL HCS",283,39,227,17
"Northport, NY HCS",246,30,190,26
"Indianapolis, IN HCS",242,50,162,30
"Bedford, MA HCS",231,37,168,26
"Detroit, MI HCS",229,17,181,31
"Hudson Valley, NY HCS",223,22,191,10
"Cleveland, OH HCS",214,42,152,20
"Atlanta, GA HCS",212,28,171,13
Western New York HCS,198,43,131,24
"Hines, IL HCS",181,49,119,13
"Columbia, SC HCS",149,19,121,9
"St. Louis, MO HCS",143,23,108,12
"Ann Arbor, MI HCS",138,9,115,14
"Minneapolis, MN HCS",136,48,71,17
"Miami, FL HCS",128,14,108,6
"Baltimore, MD HCS",119,36,81,2
"Puget Sound, WA HCS",112,16,89,7
"Wilmington, DE HCS",106,37,63,6
"Greater Los Angeles, CA HCS",105,15,83,7
"Lebanon, PA HCS",105,24,70,11
Nebraska-W Iowa HCS,98,35,53,10
"Milwaukee, WI HCS",94,15,73,6
"Orlando, FL HCS",93,17,74,2
"Providence, RI HCS",90,11,65,14
"Richmond, VA HCS",90,15,66,9
"Kansas City, MO HCS",87,10,74,3
"Long Beach, CA HCS",86,12,70,4
"Salisbury, NC HCS",86,25,52,9
"Dallas, TX HCS",78,22,50,6
"Houston, TX HCS",76,21,48,7
"Shreveport, LA HCS",74,11,55,8
"Las Vegas, NV HCS",72,10,61,1
Central Western Massachusetts HCS,71,11,57,3
"San Juan, PR HCS",71,0,71,0
"Wilkes-Barre, PA HCS",71,11,52,8
"Louisville, KY HCS",70,12,51,7
"Durham, NC HCS",68,15,50,3
"Martinsburg, WV HCS",68,22,39,7
"Jackson, MS HCS",67,33,31,3
"San Diego, CA HCS",67,18,48,1
"Hampton, VA HCS",65,3,57,5
"San Antonio, TX HCS",62,14,41,7
Middle Tennessee HCS,61,14,44,3
"Phoenix, AZ HCS",61,11,45,5
"Cincinnati, OH HCS",57,5,50,2
"Coatesville, PA HCS",53,22,24,7
"Fayetteville, NC HCS",53,22,30,1
"Pittsburgh, PA HCS",53,9,41,3
"Loma Linda, CA HCS",52,14,38,0
"West Palm Beach, FL HCS",52,10,36,6
"Little Rock, AR HCS",51,14,33,4
"Spokane, WA HCS",50,16,29,5
"Palo Alto, CA HCS",47,7,33,7
"Portland, OR HCS",46,28,15,3
"Dublin, GA HCS",43,9,34,0
"Battle Creek, MI HCS",42,16,23,3
"Bay Pines, FL HCS",40,14,24,2
"Birmingham, AL HCS",40,13,22,5
"Augusta, GA HCS",39,4,34,1
"Gainesville, FL HCS",39,5,33,1
"Alexandria, LA HCS",38,9,25,4
New Mexico HCS,38,6,25,7
"Memphis, TN HCS",37,3,29,5
N. California HCS,36,1,32,3
"San Francisco, CA HCS",35,4,29,2
"Sioux Falls, SD HCS",35,12,22,1
Southern Arizona HCS,35,5,24,6
Central Iowa HCS,34,16,14,4
Northern Indiana HCS,34,10,20,4
"Oklahoma City, OK HCS",34,8,23,3
"Temple, TX HCS",34,9,24,1
"Albany, NY HCS",32,5,21,6
"Reno, NV HCS",32,11,19,2
"Columbus, OH HCS",31,11,20,0
"Muskogee, OK HCS",30,5,22,3
Central Alabama HCS,29,10,19,0
"Dayton, OH HCS",28,5,23,0
"Iowa City, IA HCS",28,4,23,1
"Salt Lake City, UT HCS",28,3,25,0
"Tampa, FL HCS",28,10,15,3
"Asheville, NC HCS",26,5,14,7
"Charleston, SC HCS",24,9,15,0
"Saginaw, MI HCS",24,5,19,0
Eastern Kansas HCS,23,1,22,0
"El Paso, TX HCS",23,8,15,0
"Fargo, ND HCS",23,10,8,5
"Manchester, NH HCS",23,8,13,2
"Madison, WI HCS",20,6,12,2
"Amarillo, TX HCS",19,10,9,0
"Fresno, CA HCS",19,8,11,0
"Chillicothe, OH HCS",18,5,12,1
"St. Cloud, MN HCS",18,14,3,1
"Togus, ME HCS",18,5,12,1
"Gulf Coast, MS HCS",17,4,11,2
"Mountain Home, TN HCS",17,0,17,0
"Cheyenne, WY HCS",15,3,12,0
"Boise, ID HCS",14,1,12,1
"Butler, PA HCS",14,0,11,3
Northern Arizona HCS,13,0,13,0
"Syracuse, NY HCS",12,2,8,2
"Tuscaloosa, AL HCS",10,4,6,0
"Altoona, PA HCS",9,2,7,0
"Finger Lakes, NY HCS",9,2,7,0
"Lexington, KY HCS",9,3,6,0
"White River Junction, VT HCS",9,0,7,2
"Wichita, KS HCS",9,2,6,1
"Anchorage, AK HCS",8,1,7,0
Texas Valley Coastal Bend HCS,8,3,4,1
"Big Spring, TX HCS",7,1,6,0
"Danville, IL HCS",7,1,6,0
"Erie, PA HCS",7,1,5,1
"Honolulu, HI HCS",7,1,6,0
"Walla Walla, WA HCS",7,0,6,1
"Huntington, WV HCS",6,0,5,1
"Salem, VA HCS",6,1,5,0
"Clarksburg, WV HCS",5,1,4,0
"Columbia, MO HCS",5,1,3,1
"Fayetteville, AR HCS",5,1,2,2
"Grand Junction, CO HCS",5,1,2,2
Montana HCS,5,0,4,1
"Tomah, WI HCS",4,0,4,0
"Poplar Bluff, MO HCS",3,2,1,0
"Roseburg, OR HCS",3,0,3,0
"Beckley, WV HCS",1,0,1,0
"Black Hills, SD HCS",1,0,1,0
"Iron Mountain, MI HCS",1,1,0,0
"Marion, IL HCS",1,1,0,0
"Sheridan, WY HCS",1,0,1,0
"Manila, PI HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
