"﻿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Cases","Number of Outbreak Associated Deaths"
2020-06-22,State,Virginia,"Educational Setting",12,53,0
2020-06-22,State,Virginia,"Congregate Setting",122,2026,25
2020-06-22,State,Virginia,"Correctional Facility",34,1861,9
2020-06-22,State,Virginia,"Long Term Care Facilities",230,6601,1005
2020-06-22,State,Virginia,"Healthcare Setting",30,210,8
2020-06-22,"Health District",Portsmouth,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Loudoun,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Long Term Care Facilities",13,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Henrico,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alexandria,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Hampton,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Peninsula,"Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Thomas Jefferson","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chickahominy,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Long Term Care Facilities",9,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesapeake,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Crater,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Virginia","Congregate Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Prince William","Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Lord Fairfax","Healthcare Setting",5,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Three Rivers","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Piedmont,"Correctional Facility",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Norfolk,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Congregate Setting",8,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Portsmouth,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Virginia Beach","Congregate Setting",6,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Roanoke,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Southside,"Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Mount Rogers","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Long Term Care Facilities",57,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Chesterfield,"Correctional Facility",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Alleghany,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Fairfax,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Pittsylvania-Danville,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Central Shenandoah","Correctional Facility",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District",Richmond,"Educational Setting",1,"Not provided at this time","Not provided at this time"
2020-06-22,"Health District","Rappahannock Rapidan","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
