"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-20,Southside,363,47,26
2020-06-20,Chesapeake,721,105,16
2020-06-20,"Thomas Jefferson",765,81,19
2020-06-20,Roanoke,308,13,10
2020-06-20,"Eastern Shore",1292,106,41
2020-06-20,"Mount Rogers",626,63,23
2020-06-20,Chickahominy,597,103,34
2020-06-20,"New River",169,19,4
2020-06-20,"Central Virginia",303,17,4
2020-06-20,Piedmont,948,79,7
2020-06-20,"Lord Fairfax",1805,155,62
2020-06-20,Crater,1314,126,21
2020-06-20,Hampton,258,37,5
2020-06-20,Alexandria,2217,231,49
2020-06-20,Fairfax,13468,1566,448
2020-06-20,Richmond,1960,199,29
2020-06-20,Arlington,2405,411,126
2020-06-20,"Rappahannock Rapidan",1393,103,18
2020-06-20,Rappahannock,2255,204,33
2020-06-20,Pittsylvania-Danville,154,33,3
2020-06-20,"Prince William",8567,761,152
2020-06-20,"Cumberland Plateau",37,2,0
2020-06-20,Portsmouth,405,60,13
2020-06-20,"Virginia Beach",956,112,27
2020-06-20,"West Piedmont",370,36,5
2020-06-20,"Three Rivers",620,48,11
2020-06-20,Alleghany,319,30,14
2020-06-20,Lenowisco,46,16,4
2020-06-20,Norfolk,723,90,7
2020-06-20,"Western Tidewater",715,79,46
2020-06-20,Henrico,2383,241,138
2020-06-20,"Central Shenandoah",1870,148,32
2020-06-20,Loudoun,3543,232,82
2020-06-20,Chesterfield,2733,130,65
2020-06-20,Peninsula,835,124,33
