"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-27,Southside,263,37,22
2020-05-27,Chesapeake,472,85,14
2020-05-27,"Thomas Jefferson",470,68,19
2020-05-27,Roanoke,146,9,9
2020-05-27,"Eastern Shore",1005,65,30
2020-05-27,"Mount Rogers",315,22,6
2020-05-27,Chickahominy,465,78,30
2020-05-27,"New River",101,14,1
2020-05-27,"Central Virginia",199,16,4
2020-05-27,Piedmont,683,43,6
2020-05-27,"Lord Fairfax",1206,112,45
2020-05-27,Crater,593,83,17
2020-05-27,Hampton,183,30,3
2020-05-27,Alexandria,1824,175,42
2020-05-27,Fairfax,10181,1285,376
2020-05-27,Richmond,1112,137,21
2020-05-27,Arlington,1988,371,109
2020-05-27,"Rappahannock Rapidan",1089,74,11
2020-05-27,Rappahannock,1381,139,16
2020-05-27,Pittsylvania-Danville,83,25,3
2020-05-27,"Prince William",6320,526,115
2020-05-27,"Cumberland Plateau",32,2,0
2020-05-27,Portsmouth,282,41,11
2020-05-27,"Virginia Beach",646,90,22
2020-05-27,"West Piedmont",171,18,6
2020-05-27,"Three Rivers",494,34,6
2020-05-27,Alleghany,184,24,16
2020-05-27,Lenowisco,42,15,4
2020-05-27,Norfolk,451,62,6
2020-05-27,"Western Tidewater",616,65,37
2020-05-27,Henrico,1579,180,119
2020-05-27,"Central Shenandoah",1447,116,28
2020-05-27,Loudoun,2274,155,53
2020-05-27,Chesterfield,1377,76,42
2020-05-27,Peninsula,575,113,32
