"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-05-31,Alexandria,"Northern Region",0,0
2020-05-31,Alleghany,"Southwest Region",0,0
2020-05-31,Arlington,"Northern Region",0,0
2020-05-31,"Central Shenandoah","Northwest Region",0,0
2020-05-31,"Central Virginia","Southwest Region",0,0
2020-05-31,Chesapeake,"Eastern Region",0,0
2020-05-31,Chesterfield,"Central Region",0,0
2020-05-31,Chickahominy,"Central Region",0,0
2020-05-31,Crater,"Central Region",0,0
2020-05-31,"Cumberland Plateau","Southwest Region",0,0
2020-05-31,"Eastern Shore","Eastern Region",0,0
2020-05-31,Fairfax,"Northern Region",2,0
2020-05-31,Hampton,"Eastern Region",0,0
2020-05-31,Henrico,"Central Region",0,0
2020-05-31,Lenowisco,"Southwest Region",0,0
2020-05-31,"Lord Fairfax","Northwest Region",0,0
2020-05-31,Loudoun,"Northern Region",0,0
2020-05-31,"Mount Rogers","Southwest Region",0,0
2020-05-31,"New River","Southwest Region",0,0
2020-05-31,Norfolk,"Eastern Region",0,0
2020-05-31,Peninsula,"Eastern Region",0,0
2020-05-31,Piedmont,"Central Region",0,0
2020-05-31,Pittsylvania-Danville,"Southwest Region",0,0
2020-05-31,Portsmouth,"Eastern Region",0,0
2020-05-31,"Prince William","Northern Region",0,0
2020-05-31,Rappahannock,"Northwest Region",0,0
2020-05-31,"Rappahannock Rapidan","Northwest Region",0,0
2020-05-31,Richmond,"Central Region",0,0
2020-05-31,Roanoke,"Southwest Region",0,0
2020-05-31,Southside,"Central Region",0,0
2020-05-31,"Thomas Jefferson","Northwest Region",0,0
2020-05-31,"Three Rivers","Eastern Region",0,0
2020-05-31,"Virginia Beach","Eastern Region",0,0
2020-05-31,"West Piedmont","Southwest Region",0,0
2020-05-31,"Western Tidewater","Eastern Region",0,0
