"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-23,Southside,370,47,26
2020-06-23,Chesapeake,774,109,16
2020-06-23,"Thomas Jefferson",819,81,19
2020-06-23,Roanoke,343,13,10
2020-06-23,"Eastern Shore",1304,108,42
2020-06-23,"Mount Rogers",647,66,23
2020-06-23,Chickahominy,615,104,35
2020-06-23,"New River",180,20,4
2020-06-23,"Central Virginia",316,17,5
2020-06-23,Piedmont,982,81,10
2020-06-23,"Lord Fairfax",1882,160,62
2020-06-23,Crater,1355,129,21
2020-06-23,Hampton,271,38,5
2020-06-23,Alexandria,2248,231,49
2020-06-23,Fairfax,13705,1588,459
2020-06-23,Richmond,2031,200,30
2020-06-23,Arlington,2431,414,126
2020-06-23,"Rappahannock Rapidan",1417,104,18
2020-06-23,Rappahannock,2307,210,38
2020-06-23,Pittsylvania-Danville,160,33,3
2020-06-23,"Prince William",8745,769,155
2020-06-23,"Cumberland Plateau",37,2,0
2020-06-23,Portsmouth,421,66,16
2020-06-23,"Virginia Beach",1020,116,27
2020-06-23,"West Piedmont",381,36,6
2020-06-23,"Three Rivers",626,49,12
2020-06-23,Alleghany,353,31,14
2020-06-23,Lenowisco,49,16,4
2020-06-23,Norfolk,747,92,7
2020-06-23,"Western Tidewater",745,80,46
2020-06-23,Henrico,2448,240,138
2020-06-23,"Central Shenandoah",1911,152,34
2020-06-23,Loudoun,3632,255,84
2020-06-23,Chesterfield,2849,132,68
2020-06-23,Peninsula,873,124,33
