"﻿Report Date","Total COVID-19 Patients","ICU Patients","Vent Patients",PPE,"Beds Occupied","Surge Capacity",Capacity
4/20/2020,1296,396,237,6,10515,19771.2,16476
5/9/2020,1593,367,198,0,11778,19771.2,16476
4/26/2020,1436,387,217,2,11156,19771.2,16476
4/30/2020,1550,372,208,2,11377,19771.2,16476
4/18/2020,1307,398,230,6,10379,19771.2,16476
5/10/2020,1555,351,187,0,11790,19771.2,16476
4/22/2020,1374,419,244,3,10957,19771.2,16476
4/14/2020,1282,422,276,7,10485,19771.2,16476
5/7/2020,1613,371,203,0,11793,19771.2,16476
4/25/2020,1405,357,223,3,11123,19771.2,16476
4/17/2020,1308,400,224,6,10889,19771.2,16476
5/5/2020,1496,361,189,0,11750,19771.2,16476
4/16/2020,1337,427,238,6,10933,19771.2,16476
5/8/2020,1625,378,199,0,11841,19771.2,16476
5/11/2020,1504,362,194,0,11829,19771.2,16476
5/4/2020,1463,348,192,0,11459,19771.2,16476
5/6/2020,1594,396,192,0,11715,19771.2,16476
5/2/2020,1426,375,202,1,11406,19771.2,16476
4/28/2020,1508,376,217,2,11299,19771.2,16476
5/3/2020,1413,385,193,0,11289,19771.2,16476
4/24/2020,1399,379,220,4,10991,19771.2,16476
4/19/2020,1319,388,231,6,10623,19771.2,16476
4/21/2020,1331,403,251,4,11011,19771.2,16476
4/23/2020,1379,400,249,3,11149,19771.2,16476
4/29/2020,1566,387,222,1,11324,19771.2,16476
4/15/2020,1298,394,234,6,10859,19771.2,16476
5/1/2020,1431,366,193,2,11295,19771.2,16476
4/27/2020,1455,389,217,2,11043,19771.2,16476
