Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,878,17,756,105
New York Harbor HCS,774,24,654,96
"Bronx, NY HCS",669,19,569,81
"New Orleans, LA HCS",561,11,502,48
"North Chicago, IL HCS",524,84,433,7
"Philadelphia, PA HCS",521,22,467,32
"Washington, DC HCS",521,44,424,53
"Boston, MA HCS",515,17,431,67
"Chicago, IL HCS",397,13,359,25
Connecticut HCS,376,18,332,26
"Aurora, CO HCS",336,13,297,26
"Cleveland, OH HCS",316,22,255,39
"Indianapolis, IN HCS",308,14,253,41
"Northport, NY HCS",308,8,267,33
"Atlanta, GA HCS",305,23,260,22
"Detroit, MI HCS",298,15,244,39
"Hines, IL HCS",293,14,255,24
"Bedford, MA HCS",268,10,225,33
"Hudson Valley, NY HCS",255,5,238,12
Western New York HCS,251,16,201,34
"Columbia, SC HCS",236,25,198,13
"Baltimore, MD HCS",230,18,195,17
"Miami, FL HCS",230,52,171,7
"St. Louis, MO HCS",210,17,176,17
"Houston, TX HCS",207,41,157,9
"Minneapolis, MN HCS",196,11,153,32
"Phoenix, AZ HCS",187,71,102,14
Nebraska-W Iowa HCS,171,24,126,21
"Ann Arbor, MI HCS",164,7,140,17
"Richmond, VA HCS",162,16,133,13
"Lebanon, PA HCS",158,18,124,16
"Long Beach, CA HCS",155,32,118,5
"Greater Los Angeles, CA HCS",154,26,119,9
"Orlando, FL HCS",150,33,113,4
"Fayetteville, NC HCS",148,8,131,9
"Puget Sound, WA HCS",145,16,121,8
"West Palm Beach, FL HCS",145,20,112,13
"Wilmington, DE HCS",145,13,120,12
"Bay Pines, FL HCS",140,64,73,3
"Jackson, MS HCS",139,18,108,13
"Salisbury, NC HCS",139,16,106,17
"San Antonio, TX HCS",139,54,78,7
"Dallas, TX HCS",138,17,112,9
"Milwaukee, WI HCS",137,15,115,7
"Providence, RI HCS",132,6,109,17
"Shreveport, LA HCS",125,23,90,12
"San Diego, CA HCS",117,17,97,3
"Kansas City, MO HCS",116,9,102,5
"Durham, NC HCS",115,19,90,6
Central Western Massachusetts HCS,112,7,97,8
"Dublin, GA HCS",109,11,97,1
"Wilkes-Barre, PA HCS",107,8,86,13
"Loma Linda, CA HCS",106,14,89,3
Central Alabama HCS,105,37,64,4
"Las Vegas, NV HCS",102,17,84,1
"Martinsburg, WV HCS",101,8,82,11
Middle Tennessee HCS,99,23,73,3
"Tampa, FL HCS",98,38,55,5
"Louisville, KY HCS",96,10,79,7
"Salt Lake City, UT HCS",91,14,74,3
"Birmingham, AL HCS",88,13,64,11
Southern Arizona HCS,84,32,45,7
"Little Rock, AR HCS",83,11,67,5
"Temple, TX HCS",82,21,58,3
"Coatesville, PA HCS",79,1,68,10
"Hampton, VA HCS",78,8,65,5
New Mexico HCS,78,13,53,12
"Augusta, GA HCS",77,16,54,7
"Charleston, SC HCS",77,29,48,0
"San Juan, PR HCS",76,2,74,0
"Battle Creek, MI HCS",75,2,64,9
"Cincinnati, OH HCS",75,1,71,3
"Pittsburgh, PA HCS",75,6,66,3
"Portland, OR HCS",73,7,61,5
"Gainesville, FL HCS",71,14,54,3
Central Iowa HCS,66,9,51,6
Northern Indiana HCS,66,10,51,5
"Memphis, TN HCS",65,7,53,5
"Alexandria, LA HCS",64,10,50,4
"Columbus, OH HCS",64,5,55,4
"Oklahoma City, OK HCS",58,7,44,7
"Palo Alto, CA HCS",58,6,45,7
"Spokane, WA HCS",58,4,47,7
"Manchester, NH HCS",57,6,43,8
"Sioux Falls, SD HCS",57,5,49,3
"El Paso, TX HCS",54,0,47,7
"Madison, WI HCS",52,8,38,6
"Fargo, ND HCS",51,6,32,13
"Tuscaloosa, AL HCS",51,8,40,3
N. California HCS,50,5,40,5
"Dayton, OH HCS",48,9,36,3
"Fresno, CA HCS",48,16,31,1
"Asheville, NC HCS",47,4,34,9
"Reno, NV HCS",45,9,32,4
"San Francisco, CA HCS",44,2,39,3
"Albany, NY HCS",43,2,34,7
"Muskogee, OK HCS",42,4,31,7
"Iowa City, IA HCS",41,2,37,2
"Saginaw, MI HCS",38,3,33,2
"St. Cloud, MN HCS",38,6,31,1
"Gulf Coast, MS HCS",35,7,26,2
"Walla Walla, WA HCS",34,10,23,1
Eastern Kansas HCS,33,2,31,0
"Amarillo, TX HCS",32,2,30,0
"Boise, ID HCS",28,5,22,1
"Cheyenne, WY HCS",25,1,23,1
"Togus, ME HCS",25,3,20,2
"Lexington, KY HCS",23,5,16,2
"Syracuse, NY HCS",23,2,18,3
Texas Valley Coastal Bend HCS,23,2,18,3
"Mountain Home, TN HCS",22,3,19,0
Northern Arizona HCS,21,4,17,0
"Chillicothe, OH HCS",20,1,18,1
"Finger Lakes, NY HCS",20,4,15,1
"Danville, IL HCS",19,1,18,0
"Salem, VA HCS",19,3,16,0
"Fayetteville, AR HCS",18,9,7,2
"Anchorage, AK HCS",17,7,10,0
"Huntington, WV HCS",17,5,11,1
"Erie, PA HCS",15,4,8,3
"White River Junction, VT HCS",14,0,12,2
"Butler, PA HCS",13,0,10,3
"Wichita, KS HCS",12,1,9,2
"Columbia, MO HCS",11,1,9,1
"Honolulu, HI HCS",11,0,11,0
"Big Spring, TX HCS",10,0,8,2
"Iron Mountain, MI HCS",10,2,8,0
"Altoona, PA HCS",8,2,6,0
"Grand Junction, CO HCS",8,0,6,2
Montana HCS,8,3,4,1
"Poplar Bluff, MO HCS",8,1,7,0
"Black Hills, SD HCS",6,1,5,0
"Roseburg, OR HCS",6,0,6,0
"Tomah, WI HCS",6,1,5,0
"Clarksburg, WV HCS",4,0,4,0
"Marion, IL HCS",4,3,1,0
"Sheridan, WY HCS",2,0,2,0
"Beckley, WV HCS",1,0,1,0
"Manila, PI HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
