Report Date,Health District,Age Group,Number of Hospitalizations,Number of Deaths,Number of Cases
2020-04-24,Piedmont,Missing,1,0,36
2020-04-24,Alexandria,40-49,7,0,50
2020-04-24,Peninsula,70-79,33,10,63
2020-04-24,Piedmont,60-69,5,0,17
2020-04-24,Lord Fairfax,Missing,14,0,93
2020-04-24,Fairfax,50-59,69,5,288
2020-04-24,Eastern Shore,20-29,0,0,4
2020-04-24,Western Tidewater,Missing,14,2,162
2020-04-24,Southside,40-49,3,0,11
2020-04-24,Fairfax,60-69,69,9,216
2020-04-24,Norfolk,20-29,0,0,17
2020-04-24,Norfolk,30-39,2,0,19
2020-04-24,Loudoun,10-19,0,0,11
2020-04-24,Southside,60-69,3,0,11
2020-04-24,Chickahominy,20-29,0,0,12
2020-04-24,Chickahominy,70-79,6,2,16
2020-04-24,Roanoke,50-59,1,0,7
2020-04-24,Southside,10-19,0,0,1
2020-04-24,Roanoke,60-69,1,0,2
2020-04-24,Three Rivers,60-69,3,0,11
2020-04-24,Arlington,20-29,7,0,78
2020-04-24,Lenowisco,60-69,3,1,5
2020-04-24,Virginia Beach,Missing,7,3,70
2020-04-24,Prince William,60-69,19,5,91
2020-04-24,Central Shenandoah,20-29,0,0,34
2020-04-24,Crater,40-49,4,0,18
2020-04-24,Chesterfield,20-29,2,0,33
2020-04-24,Roanoke,40-49,0,0,6
2020-04-24,Rappahannock,50-59,14,1,49
2020-04-24,Chesapeake,30-39,1,0,21
2020-04-24,Chesterfield,40-49,5,2,50
2020-04-24,Chesapeake,80+,4,1,7
2020-04-24,Central Virginia,10-19,0,0,2
2020-04-24,Mount Rogers,30-39,3,0,11
2020-04-24,Rappahannock Rapidan,30-39,4,0,19
2020-04-24,Western Tidewater,30-39,1,0,17
2020-04-24,Loudoun,50-59,12,0,106
2020-04-24,Peninsula,80+,18,7,25
2020-04-24,Richmond,80+,7,5,17
2020-04-24,Eastern Shore,30-39,0,0,1
2020-04-24,Pittsylvania-Danville,60-69,3,1,5
2020-04-24,Fairfax,Missing,154,33,1107
2020-04-24,Central Virginia,Missing,1,0,23
2020-04-24,Rappahannock Rapidan,Missing,5,1,110
2020-04-24,Cumberland Plateau,30-39,0,0,4
2020-04-24,Western Tidewater,80+,7,1,28
2020-04-24,Alleghany,50-59,1,0,16
2020-04-24,New River,10-19,0,0,2
2020-04-24,Central Virginia,70-79,2,0,8
2020-04-24,Chickahominy,40-49,3,1,30
2020-04-24,Prince William,20-29,10,0,79
2020-04-24,New River,80+,1,0,3
2020-04-24,Lord Fairfax,20-29,0,0,21
2020-04-24,Arlington,80+,20,11,47
2020-04-24,Henrico,20-29,3,0,40
2020-04-24,Mount Rogers,20-29,0,0,5
2020-04-24,Portsmouth,40-49,3,0,11
2020-04-24,New River,50-59,2,0,14
2020-04-24,Chickahominy,Missing,5,2,50
2020-04-24,Pittsylvania-Danville,70-79,6,0,8
2020-04-24,Pittsylvania-Danville,20-29,0,0,2
2020-04-24,Chickahominy,10-19,0,0,2
2020-04-24,Cumberland Plateau,70-79,0,0,1
2020-04-24,Henrico,80+,31,41,112
2020-04-24,Fairfax,40-49,45,0,264
2020-04-24,Piedmont,10-19,0,0,1
2020-04-24,Loudoun,60-69,12,0,42
2020-04-24,Lord Fairfax,30-39,3,0,26
2020-04-24,Alexandria,10-19,0,0,7
2020-04-24,Alleghany,40-49,0,0,7
2020-04-24,Virginia Beach,50-59,7,0,46
2020-04-24,New River,40-49,0,0,4
2020-04-24,Rappahannock Rapidan,50-59,3,0,13
2020-04-24,Alleghany,60-69,4,0,15
2020-04-24,Virginia Beach,70-79,16,3,33
2020-04-24,Cumberland Plateau,40-49,0,0,4
2020-04-24,Virginia Beach,60-69,12,1,51
