"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-19,Lenowisco,White,32,14,3
2020-05-19,"Western Tidewater",White,145,22,16
2020-05-19,Hampton,Other,7,2,0
2020-05-19,Alleghany,White,114,19,6
2020-05-19,"Prince William",Other,1029,149,8
2020-05-19,Arlington,"Not Reported",737,83,11
2020-05-19,"West Piedmont","Black or African American",22,5,0
2020-05-19,Peninsula,Other,27,6,1
2020-05-19,Norfolk,Other,25,4,0
2020-05-19,"Lord Fairfax","Black or African American",33,3,1
2020-05-19,"Mount Rogers","Not Reported",19,1,0
2020-05-19,"Central Virginia","Black or African American",18,2,1
2020-05-19,"West Piedmont",Other,10,1,1
2020-05-19,Portsmouth,White,54,8,2
2020-05-19,"Thomas Jefferson","Not Reported",19,0,0
2020-05-19,"Three Rivers","Not Reported",112,4,3
2020-05-19,"Virginia Beach","Black or African American",133,17,3
2020-05-19,"Prince William","Black or African American",366,72,17
2020-05-19,Loudoun,"Not Reported",566,3,5
2020-05-19,Loudoun,White,535,79,34
2020-05-19,Peninsula,"Not Reported",89,3,0
2020-05-19,Pittsylvania-Danville,"Black or African American",25,6,0
2020-05-19,Henrico,White,440,68,61
2020-05-19,Richmond,White,157,18,2
2020-05-19,Southside,"Black or African American",40,10,2
2020-05-19,Chickahominy,White,165,42,18
2020-05-19,"Thomas Jefferson",Other,41,5,1
2020-05-19,"Virginia Beach",Other,63,19,2
2020-05-19,"Central Shenandoah","Black or African American",60,3,2
2020-05-19,Chesterfield,White,317,33,20
2020-05-19,"Central Virginia",White,66,10,2
2020-05-19,Rappahannock,White,303,45,10
2020-05-19,"New River",White,55,11,1
2020-05-19,Piedmont,Other,12,2,0
2020-05-19,Lenowisco,"Black or African American",0,0,0
2020-05-19,Arlington,White,492,98,35
2020-05-19,Hampton,"Black or African American",97,24,3
2020-05-19,Alexandria,White,566,63,23
2020-05-19,Hampton,"Not Reported",23,0,0
2020-05-19,"Mount Rogers",White,193,16,5
2020-05-19,Alexandria,"Not Reported",444,13,4
2020-05-19,Chickahominy,"Black or African American",63,24,7
2020-05-19,Chesapeake,"Black or African American",140,40,5
2020-05-19,"Western Tidewater","Not Reported",170,1,1
2020-05-19,"Cumberland Plateau","Not Reported",1,0,0
2020-05-19,"Western Tidewater",Other,25,1,2
2020-05-19,Loudoun,"Black or African American",81,10,2
2020-05-19,"Virginia Beach",White,289,48,14
2020-05-19,Chickahominy,Other,14,5,0
2020-05-19,"New River","Black or African American",5,1,0
2020-05-19,"Virginia Beach","Not Reported",74,3,0
2020-05-19,"Rappahannock Rapidan",Other,48,12,0
2020-05-19,Piedmont,"Not Reported",270,7,1
2020-05-19,Portsmouth,Other,16,2,0
2020-05-19,Pittsylvania-Danville,"Not Reported",11,3,0
2020-05-19,"West Piedmont","Not Reported",13,1,0
2020-05-19,Norfolk,White,104,17,2
2020-05-19,"Central Shenandoah",White,781,73,23
2020-05-19,Southside,White,54,12,6
2020-05-19,Southside,"Not Reported",107,11,6
2020-05-19,Chesapeake,White,170,31,3
2020-05-19,"New River",Other,0,0,0
2020-05-19,Norfolk,"Black or African American",194,36,4
2020-05-19,"Central Shenandoah",Other,196,12,1
2020-05-19,Southside,Other,27,1,4
2020-05-19,Pittsylvania-Danville,Other,1,0,0
2020-05-19,"Cumberland Plateau",White,19,2,0
2020-05-19,"Rappahannock Rapidan","Black or African American",32,6,1
2020-05-19,Fairfax,"Not Reported",2007,92,80
2020-05-19,Chesapeake,"Not Reported",52,2,0
2020-05-19,"Thomas Jefferson",White,222,26,8
2020-05-19,Richmond,Other,181,29,1
2020-05-19,Peninsula,"Black or African American",136,31,9
2020-05-19,Henrico,Other,131,12,3
2020-05-19,"Cumberland Plateau","Black or African American",12,0,0
2020-05-19,Loudoun,Other,345,48,7
2020-05-19,Crater,Other,15,2,1
2020-05-19,Arlington,"Black or African American",112,41,16
2020-05-19,Alexandria,"Black or African American",228,48,6
2020-05-19,Richmond,"Black or African American",302,69,16
2020-05-19,"Lord Fairfax","Not Reported",135,2,4
2020-05-19,Fairfax,"Black or African American",538,120,20
2020-05-19,"Thomas Jefferson","Black or African American",105,35,4
2020-05-19,"West Piedmont",White,56,6,2
2020-05-19,Rappahannock,"Not Reported",374,20,0
2020-05-19,"Central Shenandoah","Not Reported",190,6,1
2020-05-19,Peninsula,White,259,72,21
2020-05-19,"Rappahannock Rapidan",White,312,25,8
2020-05-19,"Prince William",White,969,193,54
2020-05-19,"New River","Not Reported",28,0,0
2020-05-19,Chesterfield,"Not Reported",505,3,9
2020-05-19,Alleghany,Other,2,0,0
2020-05-19,"Mount Rogers",Other,23,1,0
2020-05-19,Crater,White,83,17,5
2020-05-19,Alleghany,"Not Reported",46,3,0
2020-05-19,Arlington,Other,347,109,17
2020-05-19,Piedmont,White,139,7,3
2020-05-19,"Cumberland Plateau",Other,0,0,0
2020-05-19,Pittsylvania-Danville,White,33,14,2
2020-05-19,Roanoke,"Black or African American",17,4,2
2020-05-19,Alleghany,"Black or African American",5,1,0
2020-05-19,Richmond,"Not Reported",171,2,0
2020-05-19,"Central Virginia",Other,2,1,0
2020-05-19,Rappahannock,Other,244,38,1
2020-05-19,Roanoke,Other,2,0,0
2020-05-19,Piedmont,"Black or African American",165,23,1
2020-05-19,Chesterfield,Other,112,1,0
2020-05-19,Portsmouth,"Black or African American",113,27,6
2020-05-19,Portsmouth,"Not Reported",54,2,2
2020-05-19,Norfolk,"Not Reported",47,0,0
2020-05-19,"Eastern Shore",White,235,11,8
2020-05-19,"Eastern Shore","Not Reported",119,1,0
2020-05-19,Roanoke,White,73,3,6
2020-05-19,"Three Rivers",Other,36,2,0
2020-05-19,Fairfax,Other,3330,559,66
2020-05-19,Henrico,"Not Reported",250,1,1
2020-05-19,"Lord Fairfax",Other,134,15,4
2020-05-19,Hampton,White,37,4,0
2020-05-19,"Western Tidewater","Black or African American",217,33,12
2020-05-19,"Prince William","Not Reported",2452,34,2
2020-05-19,Fairfax,White,2236,357,133
2020-05-19,Lenowisco,Other,1,0,0
2020-05-19,"Rappahannock Rapidan","Not Reported",409,16,2
2020-05-19,"Three Rivers","Black or African American",142,10,0
2020-05-19,Henrico,"Black or African American",478,90,49
2020-05-19,Lenowisco,"Not Reported",9,1,1
2020-05-19,Chesapeake,Other,34,5,2
2020-05-19,Crater,"Not Reported",106,3,1
2020-05-19,Chickahominy,"Not Reported",129,3,1
2020-05-19,"Eastern Shore","Black or African American",526,38,11
2020-05-19,Alexandria,Other,306,44,1
2020-05-19,Chesterfield,"Black or African American",211,35,7
2020-05-19,Roanoke,"Not Reported",43,0,0
2020-05-19,Rappahannock,"Black or African American",112,21,3
2020-05-19,"Lord Fairfax",White,633,68,26
2020-05-19,"Three Rivers",White,147,14,3
2020-05-19,"Central Virginia","Not Reported",92,3,0
2020-05-19,"Eastern Shore",Other,25,1,1
2020-05-19,Crater,"Black or African American",246,58,7
2020-05-19,"Mount Rogers","Black or African American",2,0,0
