"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-11,Southside,"Not Reported",3,0,0
2020-05-11,Chesapeake,Female,199,38,4
2020-05-11,Richmond,Female,268,41,4
2020-05-11,Roanoke,Male,43,4,1
2020-05-11,Fairfax,"Not Reported",48,4,1
2020-05-11,"Thomas Jefferson",Female,202,35,5
2020-05-11,Chesapeake,"Not Reported",0,0,0
2020-05-11,"Cumberland Plateau",Male,13,1,0
2020-05-11,"Eastern Shore",Female,365,15,7
2020-05-11,"Lord Fairfax","Not Reported",5,0,0
2020-05-11,Rappahannock,"Not Reported",2,0,0
2020-05-11,"Central Shenandoah","Not Reported",8,0,0
2020-05-11,Peninsula,Male,213,58,11
2020-05-11,Norfolk,Male,161,24,4
2020-05-11,Alexandria,Female,632,65,16
2020-05-11,Lenowisco,Male,22,8,2
2020-05-11,Pittsylvania-Danville,Female,34,12,1
2020-05-11,"New River","Not Reported",1,0,0
2020-05-11,Chesterfield,"Not Reported",10,0,0
2020-05-11,Loudoun,Male,578,69,15
2020-05-11,"Rappahannock Rapidan",Female,248,16,4
2020-05-11,Piedmont,Female,95,10,1
2020-05-11,Richmond,Male,273,50,12
2020-05-11,Crater,Female,166,40,10
2020-05-11,Portsmouth,Female,94,20,4
2020-05-11,Arlington,"Not Reported",8,0,0
2020-05-11,"Mount Rogers","Not Reported",1,0,0
2020-05-11,"Thomas Jefferson","Not Reported",1,0,0
2020-05-11,"Three Rivers","Not Reported",1,0,0
2020-05-11,Hampton,Male,62,18,2
2020-05-11,Alleghany,Male,63,14,1
2020-05-11,Roanoke,Female,63,3,0
2020-05-11,Loudoun,"Not Reported",3,0,0
2020-05-11,Fairfax,Female,3082,408,122
2020-05-11,"Western Tidewater",Male,256,38,14
2020-05-11,Peninsula,"Not Reported",5,0,0
2020-05-11,"New River",Male,41,8,1
2020-05-11,"Central Shenandoah",Male,489,33,14
2020-05-11,Southside,Male,60,16,5
2020-05-11,Chesterfield,Male,388,37,17
2020-05-11,Arlington,Female,688,130,27
2020-05-11,Rappahannock,Male,378,69,10
2020-05-11,"Central Virginia",Male,88,7,2
2020-05-11,Alleghany,"Not Reported",0,0,0
2020-05-11,Henrico,Male,438,81,54
2020-05-11,"Thomas Jefferson",Male,148,27,8
2020-05-11,"Lord Fairfax",Male,309,30,10
2020-05-11,"Three Rivers",Male,230,13,1
2020-05-11,Richmond,"Not Reported",5,1,2
2020-05-11,Pittsylvania-Danville,Male,22,9,1
2020-05-11,Portsmouth,"Not Reported",3,0,0
2020-05-11,Norfolk,"Not Reported",1,0,0
2020-05-11,Chesapeake,Male,141,32,5
2020-05-11,Chickahominy,Female,188,36,12
2020-05-11,"Prince William",Male,1786,174,28
2020-05-11,"Eastern Shore","Not Reported",4,0,0
2020-05-11,"Eastern Shore",Male,325,17,5
2020-05-11,"Rappahannock Rapidan",Male,276,27,6
2020-05-11,Henrico,"Not Reported",3,0,1
2020-05-11,"Cumberland Plateau",Female,16,1,0
2020-05-11,"West Piedmont",Male,26,6,1
2020-05-11,Hampton,"Not Reported",2,0,0
2020-05-11,Alexandria,"Not Reported",3,0,0
2020-05-11,"Western Tidewater","Not Reported",1,0,0
2020-05-11,"Cumberland Plateau","Not Reported",0,0,0
2020-05-11,"Virginia Beach",Male,218,47,12
2020-05-11,Alleghany,Female,89,8,2
2020-05-11,Lenowisco,Female,19,6,1
2020-05-11,"Virginia Beach","Not Reported",2,0,0
2020-05-11,"Western Tidewater",Female,228,17,10
2020-05-11,"Mount Rogers",Male,91,11,4
2020-05-11,"Lord Fairfax",Female,399,32,11
2020-05-11,Piedmont,"Not Reported",0,0,0
2020-05-11,Alexandria,Male,589,74,14
2020-05-11,Pittsylvania-Danville,"Not Reported",0,0,0
2020-05-11,"West Piedmont","Not Reported",0,0,0
2020-05-11,Loudoun,Female,614,47,15
2020-05-11,Hampton,Female,82,11,1
2020-05-11,Henrico,Female,642,71,55
2020-05-11,"Prince William","Not Reported",38,0,0
2020-05-11,Chickahominy,Male,107,29,11
2020-05-11,"Rappahannock Rapidan","Not Reported",10,0,0
2020-05-11,Peninsula,Female,225,50,19
2020-05-11,Lenowisco,"Not Reported",0,0,0
2020-05-11,Crater,"Not Reported",3,2,0
2020-05-11,Chickahominy,"Not Reported",4,0,0
2020-05-11,Portsmouth,Male,111,18,4
2020-05-11,"New River",Female,47,4,0
2020-05-11,Rappahannock,Female,402,49,2
2020-05-11,"Central Virginia",Female,70,6,0
2020-05-11,Roanoke,"Not Reported",0,0,0
2020-05-11,"West Piedmont",Female,33,2,0
2020-05-11,"Mount Rogers",Female,90,6,0
2020-05-11,Piedmont,Male,278,19,3
2020-05-11,Chesterfield,Female,475,29,15
2020-05-11,Fairfax,Male,3146,549,127
2020-05-11,Crater,Male,126,27,4
2020-05-11,"Central Virginia","Not Reported",0,0,0
2020-05-11,"Prince William",Female,1730,165,30
2020-05-11,"Virginia Beach",Female,285,38,5
2020-05-11,Norfolk,Female,146,26,1
2020-05-11,"Three Rivers",Female,96,15,5
2020-05-11,Arlington,Male,703,156,33
2020-05-11,"Central Shenandoah",Female,573,28,10
2020-05-11,Southside,Female,112,13,5
