Report Date,ZIP Code,Number of Cases,Total Number of People Tested
5/9/2020,20105,54,384
5/9/2020,20106,19,74
5/9/2020,20109,402,1011
5/9/2020,20110,419,1115
5/9/2020,20111,307,813
5/9/2020,20112,75,468
5/9/2020,20115,15,95
5/9/2020,20117,7,42
5/9/2020,20118,Suppressed*,37
5/9/2020,20119,10,68
5/9/2020,20120,99,636
5/9/2020,20121,78,390
5/9/2020,20124,28,235
5/9/2020,20129,7,25
5/9/2020,20130,0,8
5/9/2020,20132,20,230
5/9/2020,20135,5,47
5/9/2020,20136,70,441
5/9/2020,20137,Suppressed*,16
5/9/2020,20139,Suppressed*,5
5/9/2020,20141,7,90
5/9/2020,20143,0,19
5/9/2020,20144,Suppressed*,11
5/9/2020,20147,173,930
5/9/2020,20148,73,592
5/9/2020,20151,81,320
5/9/2020,20152,55,347
5/9/2020,20155,93,587
5/9/2020,20158,6,55
5/9/2020,20164,308,847
5/9/2020,20165,106,539
5/9/2020,20166,53,242
5/9/2020,20169,39,367
5/9/2020,20170,266,815
5/9/2020,20171,153,593
5/9/2020,20175,57,511
5/9/2020,20176,161,834
5/9/2020,20180,5,113
5/9/2020,20181,20,151
5/9/2020,20184,Suppressed*,25
5/9/2020,20186,35,300
5/9/2020,20187,33,272
5/9/2020,20190,99,421
5/9/2020,20191,126,556
5/9/2020,20194,14,169
5/9/2020,20197,Suppressed*,46
5/9/2020,20198,Suppressed*,32
5/9/2020,22003,510,1419
5/9/2020,22015,206,761
5/9/2020,22025,46,312
5/9/2020,22026,82,380
5/9/2020,22027,39,61
5/9/2020,22030,129,875
5/9/2020,22031,152,664
5/9/2020,22032,75,451
5/9/2020,22033,104,587
5/9/2020,22035,0,4
5/9/2020,22039,38,267
5/9/2020,22041,331,775
5/9/2020,22042,273,877
5/9/2020,22043,109,425
5/9/2020,22044,115,333
5/9/2020,22046,92,371
5/9/2020,22060,10,72
5/9/2020,22066,32,365
5/9/2020,22079,137,689
5/9/2020,22101,76,687
5/9/2020,22102,68,538
5/9/2020,22124,29,254
5/9/2020,22125,0,12
5/9/2020,22134,8,38
5/9/2020,22150,393,914
5/9/2020,22151,135,411
5/9/2020,22152,100,464
5/9/2020,22153,84,474
5/9/2020,22172,65,218
5/9/2020,22180,61,430
5/9/2020,22181,23,222
5/9/2020,22182,53,420
5/9/2020,22191,568,1993
5/9/2020,22192,250,1348
5/9/2020,22193,507,1856
5/9/2020,22201,128,773
5/9/2020,22202,107,529
5/9/2020,22203,169,505
5/9/2020,22204,507,1445
5/9/2020,22205,75,414
5/9/2020,22206,98,461
5/9/2020,22207,180,804
5/9/2020,22209,46,285
5/9/2020,22211,Suppressed*,9
5/9/2020,22213,10,59
5/9/2020,22214,0,2
5/9/2020,22301,39,314
5/9/2020,22302,109,407
5/9/2020,22303,80,388
5/9/2020,22304,327,1254
5/9/2020,22305,340,645
5/9/2020,22306,342,940
5/9/2020,22307,36,229
5/9/2020,22308,24,162
5/9/2020,22309,274,788
5/9/2020,22310,149,625
5/9/2020,22311,205,582
5/9/2020,22312,222,738
5/9/2020,22314,117,767
5/9/2020,22315,57,419
5/9/2020,22401,55,456
5/9/2020,22405,49,471
5/9/2020,22406,38,373
5/9/2020,22407,142,924
5/9/2020,22408,43,450
5/9/2020,22427,Suppressed*,44
5/9/2020,22432,0,11
5/9/2020,22433,Suppressed*,3
5/9/2020,22435,Suppressed*,40
5/9/2020,22436,0,7
5/9/2020,22437,Suppressed*,16
5/9/2020,22438,Suppressed*,3
5/9/2020,22443,9,84
5/9/2020,22448,Suppressed*,8
5/9/2020,22454,0,13
5/9/2020,22460,Suppressed*,15
5/9/2020,22469,Suppressed*,26
5/9/2020,22473,Suppressed*,68
5/9/2020,22476,Suppressed*,1
5/9/2020,22480,0,18
5/9/2020,22482,Suppressed*,50
5/9/2020,22485,37,281
5/9/2020,22488,Suppressed*,16
5/9/2020,22503,Suppressed*,70
5/9/2020,22504,0,2
5/9/2020,22508,19,187
5/9/2020,22511,Suppressed*,10
5/9/2020,22514,Suppressed*,22
5/9/2020,22520,25,85
5/9/2020,22529,0,5
5/9/2020,22530,0,1
5/9/2020,22534,0,26
5/9/2020,22535,0,8
5/9/2020,22538,0,6
5/9/2020,22539,Suppressed*,36
5/9/2020,22542,0,22
5/9/2020,22546,24,183
5/9/2020,22548,0,3
5/9/2020,22551,43,298
5/9/2020,22553,14,220
5/9/2020,22554,177,1004
5/9/2020,22556,89,476
5/9/2020,22560,19,110
5/9/2020,22567,Suppressed*,52
5/9/2020,22572,178,310
5/9/2020,22576,0,25
5/9/2020,22578,0,32
5/9/2020,22579,0,2
5/9/2020,22580,5,75
5/9/2020,22601,69,171
5/9/2020,22602,65,163
5/9/2020,22603,29,82
5/9/2020,22610,8,11
5/9/2020,22611,9,70
5/9/2020,22620,Suppressed*,12
5/9/2020,22623,Suppressed*,0
5/9/2020,22624,Suppressed*,11
5/9/2020,22625,Suppressed*,10
5/9/2020,22627,0,8
5/9/2020,22630,61,137
