"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-08,Southside,148,27,10
2020-05-08,Chesapeake,316,68,9
2020-05-08,"Thomas Jefferson",337,61,13
2020-05-08,Roanoke,91,6,1
2020-05-08,"Eastern Shore",612,31,12
2020-05-08,"Mount Rogers",133,16,4
2020-05-08,Chickahominy,281,62,22
2020-05-08,"New River",80,12,1
2020-05-08,"Central Virginia",154,12,2
2020-05-08,Piedmont,350,28,4
2020-05-08,"Lord Fairfax",664,55,17
2020-05-08,Crater,268,63,14
2020-05-08,Hampton,135,28,3
2020-05-08,Alexandria,1110,129,29
2020-05-08,Fairfax,5414,896,234
2020-05-08,Richmond,494,85,18
2020-05-08,Arlington,1281,227,57
2020-05-08,"Rappahannock Rapidan",461,38,9
2020-05-08,Rappahannock,707,111,11
2020-05-08,Pittsylvania-Danville,56,21,2
2020-05-08,"Prince William",2943,307,50
2020-05-08,"Cumberland Plateau",28,2,0
2020-05-08,Portsmouth,194,37,8
2020-05-08,"Virginia Beach",469,84,17
2020-05-08,"West Piedmont",52,7,1
2020-05-08,"Three Rivers",311,28,6
2020-05-08,Alleghany,132,17,3
2020-05-08,Lenowisco,41,14,3
2020-05-08,Norfolk,274,50,5
2020-05-08,"Western Tidewater",466,54,24
2020-05-08,Henrico,1032,148,110
2020-05-08,"Central Shenandoah",1007,57,23
2020-05-08,Loudoun,1070,109,29
2020-05-08,Chesterfield,824,64,32
2020-05-08,Peninsula,407,105,29
