"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-31,Southside,"Not Reported",171,26,14
2020-05-31,"Lord Fairfax","Hispanic or Latino",361,24,5
2020-05-31,"Eastern Shore","Not Hispanic or Latino",875,71,32
2020-05-31,Portsmouth,"Hispanic or Latino",9,2,0
2020-05-31,Fairfax,"Not Reported",3010,118,120
2020-05-31,Richmond,"Hispanic or Latino",380,37,3
2020-05-31,Chesapeake,"Not Reported",115,7,0
2020-05-31,Arlington,"Hispanic or Latino",745,161,14
2020-05-31,"West Piedmont","Not Hispanic or Latino",105,13,3
2020-05-31,Fairfax,"Not Hispanic or Latino",2792,623,233
2020-05-31,Piedmont,"Hispanic or Latino",19,0,0
2020-05-31,Crater,"Not Hispanic or Latino",296,56,9
2020-05-31,Chickahominy,"Not Hispanic or Latino",208,65,28
2020-05-31,"New River","Not Hispanic or Latino",68,14,1
2020-05-31,"Lord Fairfax","Not Reported",378,23,14
2020-05-31,Rappahannock,"Not Reported",552,24,1
2020-05-31,"Central Shenandoah","Not Reported",237,5,5
2020-05-31,"Central Virginia","Not Hispanic or Latino",76,12,3
2020-05-31,Lenowisco,"Not Hispanic or Latino",24,11,2
2020-05-31,"Cumberland Plateau","Not Hispanic or Latino",21,2,0
2020-05-31,"Western Tidewater","Not Hispanic or Latino",371,67,38
2020-05-31,"New River","Not Reported",33,0,0
2020-05-31,Chesterfield,"Not Reported",1052,22,22
2020-05-31,Chesterfield,"Hispanic or Latino",285,9,0
2020-05-31,Hampton,"Not Hispanic or Latino",128,29,3
2020-05-31,Chesapeake,"Not Hispanic or Latino",371,75,14
2020-05-31,Peninsula,"Hispanic or Latino",59,10,1
2020-05-31,Arlington,"Not Reported",745,54,21
2020-05-31,Roanoke,"Not Hispanic or Latino",77,9,8
2020-05-31,"Lord Fairfax","Not Hispanic or Latino",651,73,31
2020-05-31,"Eastern Shore","Hispanic or Latino",165,5,3
2020-05-31,"Mount Rogers","Not Reported",22,4,0
2020-05-31,"Three Rivers","Not Hispanic or Latino",299,26,3
2020-05-31,"Thomas Jefferson","Not Reported",87,0,0
2020-05-31,"Three Rivers","Not Reported",174,12,5
2020-05-31,Arlington,"Not Hispanic or Latino",626,157,80
2020-05-31,Alleghany,"Not Hispanic or Latino",122,17,15
2020-05-31,Loudoun,"Not Reported",1344,6,8
2020-05-31,Fairfax,"Hispanic or Latino",5428,589,44
2020-05-31,Peninsula,"Not Reported",152,3,2
2020-05-31,Crater,"Hispanic or Latino",38,1,0
2020-05-31,Piedmont,"Not Hispanic or Latino",355,35,3
2020-05-31,Henrico,"Hispanic or Latino",202,17,4
2020-05-31,Alexandria,"Not Hispanic or Latino",599,103,35
2020-05-31,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-31,Alleghany,"Not Reported",59,3,1
2020-05-31,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-31,"Western Tidewater","Hispanic or Latino",5,1,0
2020-05-31,Chesterfield,"Not Hispanic or Latino",341,57,30
2020-05-31,Pittsylvania-Danville,"Not Hispanic or Latino",70,21,3
2020-05-31,"Mount Rogers","Hispanic or Latino",131,0,0
2020-05-31,Richmond,"Not Reported",558,30,3
2020-05-31,Peninsula,"Not Hispanic or Latino",393,102,29
2020-05-31,Chesapeake,"Hispanic or Latino",35,5,1
2020-05-31,Southside,"Hispanic or Latino",2,1,0
2020-05-31,"Thomas Jefferson","Not Hispanic or Latino",355,69,19
2020-05-31,Norfolk,"Not Hispanic or Latino",299,59,6
2020-05-31,Portsmouth,"Not Reported",174,8,2
2020-05-31,Norfolk,"Not Reported",120,1,0
2020-05-31,"Three Rivers","Hispanic or Latino",45,0,0
2020-05-31,"Eastern Shore","Not Reported",106,0,0
2020-05-31,Alleghany,"Hispanic or Latino",19,4,0
2020-05-31,Henrico,"Not Reported",734,27,25
2020-05-31,Henrico,"Not Hispanic or Latino",884,159,104
2020-05-31,Loudoun,"Not Hispanic or Latino",607,99,50
2020-05-31,Hampton,"Not Reported",65,1,0
2020-05-31,"Rappahannock Rapidan","Not Hispanic or Latino",248,29,8
2020-05-31,Alexandria,"Not Reported",429,4,3
2020-05-31,Rappahannock,"Not Hispanic or Latino",474,74,14
2020-05-31,"Western Tidewater","Not Reported",256,3,1
2020-05-31,"Cumberland Plateau","Not Reported",14,0,0
2020-05-31,Alexandria,"Hispanic or Latino",946,83,6
2020-05-31,"Virginia Beach","Not Hispanic or Latino",475,82,21
2020-05-31,"Prince William","Hispanic or Latino",2469,332,29
2020-05-31,"Virginia Beach","Not Reported",179,6,1
2020-05-31,"Central Shenandoah","Hispanic or Latino",670,40,3
2020-05-31,Pittsylvania-Danville,"Hispanic or Latino",9,1,0
2020-05-31,"Mount Rogers","Not Hispanic or Latino",197,30,6
2020-05-31,Piedmont,"Not Reported",346,12,3
2020-05-31,Southside,"Not Hispanic or Latino",99,11,8
2020-05-31,"Thomas Jefferson","Hispanic or Latino",83,1,0
2020-05-31,Pittsylvania-Danville,"Not Reported",20,5,0
2020-05-31,Norfolk,"Hispanic or Latino",84,9,0
2020-05-31,Portsmouth,"Not Hispanic or Latino",125,34,9
2020-05-31,"West Piedmont","Not Reported",49,6,2
2020-05-31,Richmond,"Not Hispanic or Latino",378,84,18
2020-05-31,"West Piedmont","Hispanic or Latino",45,0,0
2020-05-31,"Prince William","Not Reported",3451,17,4
2020-05-31,"Rappahannock Rapidan","Not Reported",373,14,2
2020-05-31,Chickahominy,"Hispanic or Latino",27,2,0
2020-05-31,Lenowisco,"Not Reported",19,5,2
2020-05-31,"New River","Hispanic or Latino",12,1,0
2020-05-31,Crater,"Not Reported",412,33,9
