"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-22,Southside,"Not Reported",110,11,8
2020-05-22,Chesapeake,White,197,34,6
2020-05-22,"New River",Other,0,0,0
2020-05-22,Norfolk,"Black or African American",201,37,4
2020-05-22,"Central Shenandoah",Other,209,13,1
2020-05-22,Southside,Other,32,1,5
2020-05-22,Pittsylvania-Danville,Other,1,0,0
2020-05-22,"Cumberland Plateau",White,19,2,0
2020-05-22,"Rappahannock Rapidan","Black or African American",47,10,1
2020-05-22,Fairfax,"Not Reported",2196,97,91
2020-05-22,Chesapeake,"Not Reported",34,2,0
2020-05-22,"Thomas Jefferson",White,225,27,9
2020-05-22,Richmond,Other,234,34,1
2020-05-22,Peninsula,"Black or African American",138,31,9
2020-05-22,Henrico,Other,165,12,3
2020-05-22,"Cumberland Plateau","Black or African American",12,0,0
2020-05-22,Loudoun,Other,381,50,7
2020-05-22,Crater,Other,17,2,1
2020-05-22,Arlington,"Black or African American",125,49,21
2020-05-22,Alexandria,"Black or African American",246,50,8
2020-05-22,Richmond,"Black or African American",321,72,16
2020-05-22,"Lord Fairfax","Not Reported",145,3,4
2020-05-22,Fairfax,"Black or African American",563,127,22
2020-05-22,"Thomas Jefferson","Black or African American",107,36,4
2020-05-22,"West Piedmont",White,64,6,2
2020-05-22,Rappahannock,"Not Reported",401,22,0
2020-05-22,"Central Shenandoah","Not Reported",206,6,1
2020-05-22,Peninsula,White,271,73,22
2020-05-22,"Rappahannock Rapidan",White,371,32,8
2020-05-22,"Prince William",White,1085,227,60
2020-05-22,"New River","Not Reported",29,0,0
2020-05-22,Chesterfield,"Not Reported",553,3,9
2020-05-22,Alleghany,Other,2,0,0
2020-05-22,Lenowisco,White,33,14,3
2020-05-22,"Western Tidewater",White,147,23,16
2020-05-22,Hampton,Other,7,2,0
2020-05-22,Alleghany,White,117,20,13
2020-05-22,Roanoke,"Black or African American",18,4,2
2020-05-22,Alleghany,"Black or African American",5,1,1
2020-05-22,Richmond,"Not Reported",210,3,0
2020-05-22,"Central Virginia",Other,2,1,0
2020-05-22,Rappahannock,Other,266,39,1
2020-05-22,Roanoke,Other,2,0,0
2020-05-22,Piedmont,"Black or African American",196,26,1
2020-05-22,Chesterfield,Other,143,2,0
2020-05-22,Portsmouth,"Black or African American",119,27,7
2020-05-22,Portsmouth,"Not Reported",60,2,2
2020-05-22,Norfolk,"Not Reported",50,0,0
2020-05-22,"Eastern Shore",White,241,12,12
2020-05-22,"Eastern Shore","Not Reported",108,1,0
2020-05-22,Roanoke,White,73,3,7
2020-05-22,"Three Rivers",Other,42,3,0
2020-05-22,Fairfax,Other,3710,594,69
2020-05-22,Henrico,"Not Reported",236,1,2
2020-05-22,"Lord Fairfax",Other,151,16,5
2020-05-22,Piedmont,Other,13,2,0
2020-05-22,Lenowisco,"Black or African American",0,0,0
2020-05-22,Arlington,White,551,119,42
2020-05-22,Hampton,"Black or African American",99,24,3
2020-05-22,Alexandria,White,614,66,23
2020-05-22,Hampton,"Not Reported",26,0,0
2020-05-22,"Mount Rogers",White,216,17,6
2020-05-22,Alexandria,"Not Reported",468,14,5
2020-05-22,Chickahominy,"Black or African American",67,25,7
2020-05-22,Chesapeake,"Black or African American",148,41,5
2020-05-22,"Western Tidewater","Not Reported",179,2,1
2020-05-22,"Cumberland Plateau","Not Reported",1,0,0
2020-05-22,"Western Tidewater",Other,25,1,2
2020-05-22,Loudoun,"Black or African American",85,10,2
2020-05-22,Rappahannock,"Black or African American",122,22,3
2020-05-22,"Lord Fairfax",White,699,74,27
2020-05-22,"Three Rivers",White,156,16,3
2020-05-22,"Central Virginia","Not Reported",90,3,0
2020-05-22,"Eastern Shore",Other,24,2,1
