"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-18,Southside,"Not Reported",4,0,0
2020-06-18,Chesapeake,Female,386,51,7
2020-06-18,Richmond,Female,892,83,6
2020-06-18,Roanoke,Male,117,6,2
2020-06-18,Fairfax,"Not Reported",140,5,3
2020-06-18,"Thomas Jefferson",Female,382,43,9
2020-06-18,Chesapeake,"Not Reported",1,0,0
2020-06-18,"Cumberland Plateau",Male,18,1,0
2020-06-18,"Eastern Shore",Female,638,54,22
2020-06-18,"Lord Fairfax","Not Reported",15,0,0
2020-06-18,Rappahannock,"Not Reported",11,1,0
2020-06-18,"Central Shenandoah","Not Reported",0,0,0
2020-06-18,Peninsula,Male,369,62,12
2020-06-18,Norfolk,Male,351,44,6
2020-06-18,Alexandria,Female,1113,102,26
2020-06-18,Lenowisco,Male,24,8,3
2020-06-18,Pittsylvania-Danville,Female,78,16,2
2020-06-18,"New River","Not Reported",3,0,0
2020-06-18,Chesterfield,"Not Reported",79,0,1
2020-06-18,Loudoun,Male,1724,123,31
2020-06-18,"Rappahannock Rapidan",Female,658,39,6
2020-06-18,Piedmont,Female,258,37,3
2020-06-18,Richmond,Male,957,113,21
2020-06-18,Crater,Female,522,72,14
2020-06-18,Portsmouth,Female,188,35,7
2020-06-18,Arlington,"Not Reported",4,1,0
2020-06-18,"Mount Rogers","Not Reported",2,0,0
2020-06-18,"Thomas Jefferson","Not Reported",4,0,0
2020-06-18,"Three Rivers","Not Reported",18,0,0
2020-06-18,Hampton,Male,116,23,3
2020-06-18,Alleghany,Male,136,18,5
2020-06-18,Roanoke,Female,154,6,8
2020-06-18,Loudoun,"Not Reported",19,0,1
2020-06-18,Fairfax,Female,6694,678,222
2020-06-18,"Western Tidewater",Male,354,49,27
2020-06-18,Peninsula,"Not Reported",4,0,0
2020-06-18,"New River",Male,75,11,4
2020-06-18,"Central Shenandoah",Male,850,70,15
2020-06-18,Southside,Male,128,22,10
2020-06-18,Chesterfield,Male,1230,68,30
2020-06-18,Arlington,Female,1180,186,60
2020-06-18,Rappahannock,Male,1034,110,21
2020-06-18,"Central Virginia",Male,146,9,4
2020-06-18,Alleghany,"Not Reported",3,0,0
2020-06-18,Henrico,Male,1042,126,67
2020-06-18,"Thomas Jefferson",Male,351,38,10
2020-06-18,"Lord Fairfax",Male,851,78,30
2020-06-18,"Three Rivers",Male,402,16,2
2020-06-18,Richmond,"Not Reported",46,2,2
2020-06-18,Pittsylvania-Danville,Male,65,17,1
2020-06-18,Portsmouth,"Not Reported",3,0,0
2020-06-18,Norfolk,"Not Reported",1,0,0
2020-06-18,Chesapeake,Male,310,54,9
2020-06-18,Chickahominy,Female,322,50,16
2020-06-18,"Prince William",Male,4201,418,83
2020-06-18,"Eastern Shore","Not Reported",18,0,0
2020-06-18,"Eastern Shore",Male,629,51,19
2020-06-18,"Rappahannock Rapidan",Male,693,62,11
2020-06-18,Henrico,"Not Reported",11,0,1
2020-06-18,"Cumberland Plateau",Female,19,1,0
2020-06-18,"West Piedmont",Male,172,20,3
2020-06-18,Hampton,"Not Reported",2,0,0
2020-06-18,Alexandria,"Not Reported",10,0,0
2020-06-18,"Western Tidewater","Not Reported",2,0,0
2020-06-18,"Cumberland Plateau","Not Reported",0,0,0
2020-06-18,"Virginia Beach",Male,436,60,15
2020-06-18,Alleghany,Female,149,10,9
2020-06-18,Lenowisco,Female,22,8,1
2020-06-18,"Virginia Beach","Not Reported",8,0,0
2020-06-18,"Western Tidewater",Female,349,29,19
2020-06-18,"Mount Rogers",Male,261,42,14
2020-06-18,"Lord Fairfax",Female,920,71,32
2020-06-18,Piedmont,"Not Reported",1,0,0
2020-06-18,Alexandria,Male,1063,127,22
2020-06-18,Pittsylvania-Danville,"Not Reported",1,0,0
2020-06-18,"West Piedmont","Not Reported",5,0,0
2020-06-18,Loudoun,Female,1756,105,50
2020-06-18,Hampton,Female,133,14,2
2020-06-18,Henrico,Female,1289,115,71
2020-06-18,"Prince William","Not Reported",90,1,0
2020-06-18,Chickahominy,Male,249,53,19
2020-06-18,"Rappahannock Rapidan","Not Reported",32,2,1
2020-06-18,Peninsula,Female,426,61,21
2020-06-18,Lenowisco,"Not Reported",0,0,0
2020-06-18,Crater,"Not Reported",16,3,0
2020-06-18,Chickahominy,"Not Reported",7,1,0
2020-06-18,Portsmouth,Male,211,25,6
2020-06-18,"New River",Female,75,7,0
2020-06-18,Rappahannock,Female,1166,85,9
2020-06-18,"Central Virginia",Female,137,8,0
2020-06-18,Roanoke,"Not Reported",6,0,0
2020-06-18,"West Piedmont",Female,177,14,2
2020-06-18,"Mount Rogers",Female,327,20,9
2020-06-18,Piedmont,Male,680,41,4
2020-06-18,Chesterfield,Female,1240,60,26
2020-06-18,Fairfax,Male,6500,864,219
2020-06-18,Crater,Male,741,51,7
2020-06-18,"Central Virginia","Not Reported",0,0,0
2020-06-18,"Prince William",Female,4123,338,64
2020-06-18,"Virginia Beach",Female,492,52,12
2020-06-18,Norfolk,Female,352,44,1
2020-06-18,"Three Rivers",Female,170,30,7
2020-06-18,Arlington,Male,1198,222,66
2020-06-18,"Central Shenandoah",Female,989,78,17
2020-06-18,Southside,Female,212,24,16
