"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
5/28/2020,20105,79,714
5/28/2020,20106,29,117
5/28/2020,20109,810,2415
5/28/2020,20110,1053,2780
5/28/2020,20111,650,1955
5/28/2020,20112,149,969
5/28/2020,20115,29,168
5/28/2020,20117,7,69
5/28/2020,20118,Suppressed*,39
5/28/2020,20119,21,128
5/28/2020,20120,230,1199
5/28/2020,20121,169,800
5/28/2020,20124,44,367
5/28/2020,20129,7,29
5/28/2020,20130,0,7
5/28/2020,20132,43,408
5/28/2020,20135,5,86
5/28/2020,20136,137,796
5/28/2020,20137,10,47
5/28/2020,20139,Suppressed*,9
5/28/2020,20141,13,174
5/28/2020,20143,Suppressed*,29
5/28/2020,20144,Suppressed*,18
5/28/2020,20147,286,1965
5/28/2020,20148,113,1062
5/28/2020,20151,198,745
5/28/2020,20152,134,719
5/28/2020,20155,177,1091
5/28/2020,20158,12,97
5/28/2020,20164,720,2111
5/28/2020,20165,193,1074
5/28/2020,20166,109,545
5/28/2020,20169,78,639
5/28/2020,20170,678,1887
5/28/2020,20171,226,1052
5/28/2020,20175,124,875
5/28/2020,20176,385,1669
5/28/2020,20180,17,189
5/28/2020,20181,32,289
5/28/2020,20184,Suppressed*,34
5/28/2020,20186,54,470
5/28/2020,20187,53,450
5/28/2020,20190,172,797
5/28/2020,20191,233,994
5/28/2020,20194,27,294
5/28/2020,20197,Suppressed*,58
5/28/2020,20198,5,45
5/28/2020,22003,975,3139
5/28/2020,22015,318,1344
5/28/2020,22025,94,610
5/28/2020,22026,161,816
5/28/2020,22027,41,86
5/28/2020,22030,306,1620
5/28/2020,22031,294,1272
5/28/2020,22032,107,788
5/28/2020,22033,196,1087
5/28/2020,22035,0,6
5/28/2020,22039,51,438
5/28/2020,22041,604,2085
5/28/2020,22042,597,1899
5/28/2020,22043,183,766
5/28/2020,22044,209,680
5/28/2020,22046,159,643
5/28/2020,22060,13,116
5/28/2020,22066,58,457
5/28/2020,22079,248,1228
5/28/2020,22101,108,936
5/28/2020,22102,91,788
5/28/2020,22124,51,429
5/28/2020,22125,Suppressed*,34
5/28/2020,22134,15,64
5/28/2020,22150,625,1862
5/28/2020,22151,236,790
5/28/2020,22152,164,872
5/28/2020,22153,127,847
5/28/2020,22172,121,465
5/28/2020,22180,161,784
5/28/2020,22181,42,338
5/28/2020,22182,94,684
5/28/2020,22191,1159,4289
5/28/2020,22192,494,2594
5/28/2020,22193,1115,4260
5/28/2020,22201,181,1180
5/28/2020,22202,169,829
5/28/2020,22203,281,1061
5/28/2020,22204,808,2999
5/28/2020,22205,113,874
5/28/2020,22206,150,814
5/28/2020,22207,237,1218
5/28/2020,22209,70,460
5/28/2020,22211,Suppressed*,15
5/28/2020,22213,15,94
5/28/2020,22214,0,2
5/28/2020,22301,64,575
5/28/2020,22302,191,851
5/28/2020,22303,162,694
5/28/2020,22304,557,2722
5/28/2020,22305,523,1614
5/28/2020,22306,679,1943
5/28/2020,22307,51,364
5/28/2020,22308,57,302
5/28/2020,22309,479,1553
5/28/2020,22310,240,1048
5/28/2020,22311,364,1250
5/28/2020,22312,419,1618
5/28/2020,22314,162,1284
5/28/2020,22315,82,735
5/28/2020,22401,126,789
5/28/2020,22405,93,876
5/28/2020,22406,70,691
5/28/2020,22407,301,1801
5/28/2020,22408,98,793
5/28/2020,22427,5,79
5/28/2020,22432,Suppressed*,21
5/28/2020,22433,Suppressed*,7
5/28/2020,22435,Suppressed*,64
5/28/2020,22436,0,13
5/28/2020,22437,Suppressed*,19
5/28/2020,22438,Suppressed*,7
5/28/2020,22443,18,196
5/28/2020,22448,Suppressed*,22
5/28/2020,22454,Suppressed*,36
5/28/2020,22460,Suppressed*,32
5/28/2020,22469,9,57
5/28/2020,22473,18,144
5/28/2020,22476,Suppressed*,6
5/28/2020,22480,0,25
5/28/2020,22482,Suppressed*,94
5/28/2020,22485,61,654
5/28/2020,22488,Suppressed*,27
5/28/2020,22503,5,142
5/28/2020,22504,0,7
5/28/2020,22508,38,389
5/28/2020,22509,Suppressed*,1
5/28/2020,22511,5,28
5/28/2020,22514,Suppressed*,41
5/28/2020,22520,29,141
5/28/2020,22529,0,7
5/28/2020,22530,0,2
5/28/2020,22534,Suppressed*,51
5/28/2020,22535,0,17
5/28/2020,22538,0,8
5/28/2020,22539,Suppressed*,60
5/28/2020,22542,Suppressed*,55
5/28/2020,22546,33,341
5/28/2020,22548,0,3
5/28/2020,22551,61,530
5/28/2020,22553,26,392
5/28/2020,22554,330,1763
5/28/2020,22556,165,838
5/28/2020,22560,34,196
5/28/2020,22567,5,100
5/28/2020,22572,262,508
5/28/2020,22576,0,38
5/28/2020,22578,Suppressed*,51
5/28/2020,22579,Suppressed*,4
5/28/2020,22580,8,115
5/28/2020,22601,176,371
5/28/2020,22602,118,261
5/28/2020,22603,66,158
5/28/2020,22610,8,16
5/28/2020,22611,13,99
5/28/2020,22620,Suppressed*,31
5/28/2020,22623,Suppressed*,0
5/28/2020,22624,Suppressed*,12
5/28/2020,22625,6,21
5/28/2020,22627,0,12
5/28/2020,22630,115,272
5/28/2020,22637,Suppressed*,9
5/28/2020,22639,0,6
5/28/2020,22640,Suppressed*,6
5/28/2020,22641,0,1
5/28/2020,22642,17,61
5/28/2020,22643,0,6
5/28/2020,22644,46,43
5/28/2020,22645,17,34
5/28/2020,22646,0,4
5/28/2020,22650,6,12
5/28/2020,22652,Suppressed*,16
5/28/2020,22654,Suppressed*,5
5/28/2020,22655,80,161
5/28/2020,22656,13,45
5/28/2020,22657,42,115
