"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-14,Southside,"Not Reported",134,21,8
2020-05-14,"Lord Fairfax","Hispanic or Latino",184,15,4
2020-05-14,"Eastern Shore","Not Hispanic or Latino",583,34,11
2020-05-14,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-14,Fairfax,"Not Reported",1839,96,83
2020-05-14,Richmond,"Hispanic or Latino",125,19,1
2020-05-14,Chesapeake,"Not Reported",88,6,0
2020-05-14,Arlington,"Hispanic or Latino",374,111,6
2020-05-14,"West Piedmont","Not Hispanic or Latino",48,7,2
2020-05-14,Fairfax,"Not Hispanic or Latino",1944,511,166
2020-05-14,Piedmont,"Hispanic or Latino",18,0,0
2020-05-14,Crater,"Not Hispanic or Latino",170,47,7
2020-05-14,Chickahominy,"Not Hispanic or Latino",157,54,22
2020-05-14,"New River","Not Hispanic or Latino",55,12,1
2020-05-14,"Lord Fairfax","Not Reported",215,11,6
2020-05-14,Rappahannock,"Not Reported",302,20,1
2020-05-14,"Central Shenandoah","Not Reported",220,4,5
2020-05-14,"Central Virginia","Not Hispanic or Latino",60,11,2
2020-05-14,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-14,"Cumberland Plateau","Not Hispanic or Latino",15,2,0
2020-05-14,"Western Tidewater","Not Hispanic or Latino",308,55,27
2020-05-14,"New River","Not Reported",30,0,0
2020-05-14,Chesterfield,"Not Reported",620,17,18
2020-05-14,Chesterfield,"Hispanic or Latino",116,4,0
2020-05-14,Hampton,"Not Hispanic or Latino",108,28,3
2020-05-14,Chesapeake,"Not Hispanic or Latino",257,65,8
2020-05-14,Peninsula,"Hispanic or Latino",33,7,1
2020-05-14,Arlington,"Not Reported",742,80,14
2020-05-14,Roanoke,"Not Hispanic or Latino",70,7,1
2020-05-14,"Lord Fairfax","Not Hispanic or Latino",394,48,21
2020-05-14,"Eastern Shore","Hispanic or Latino",124,4,3
2020-05-14,"Mount Rogers","Not Reported",18,2,0
2020-05-14,"Three Rivers","Not Hispanic or Latino",206,20,3
2020-05-14,"Thomas Jefferson","Not Reported",34,0,0
2020-05-14,"Three Rivers","Not Reported",129,9,3
2020-05-14,Arlington,"Not Hispanic or Latino",383,114,50
2020-05-14,Alleghany,"Not Hispanic or Latino",102,17,3
2020-05-14,Loudoun,"Not Reported",472,6,6
2020-05-14,Fairfax,"Hispanic or Latino",3252,427,25
2020-05-14,Peninsula,"Not Reported",91,3,2
2020-05-14,Crater,"Hispanic or Latino",15,1,0
2020-05-14,Piedmont,"Not Hispanic or Latino",228,25,3
2020-05-14,Henrico,"Hispanic or Latino",72,15,3
2020-05-14,Alexandria,"Not Hispanic or Latino",434,81,25
2020-05-14,"Central Virginia","Hispanic or Latino",15,1,1
2020-05-14,Alleghany,"Not Reported",44,2,1
2020-05-14,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-14,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-14,Chesterfield,"Not Hispanic or Latino",269,49,18
2020-05-14,Pittsylvania-Danville,"Not Hispanic or Latino",46,17,2
2020-05-14,"Mount Rogers","Hispanic or Latino",82,0,0
2020-05-14,Richmond,"Not Reported",186,14,1
2020-05-14,Peninsula,"Not Hispanic or Latino",339,98,27
2020-05-14,Chesapeake,"Hispanic or Latino",17,5,1
2020-05-14,Southside,"Hispanic or Latino",2,1,0
2020-05-14,"Thomas Jefferson","Not Hispanic or Latino",302,64,13
2020-05-14,Norfolk,"Not Hispanic or Latino",234,50,5
2020-05-14,Portsmouth,"Not Reported",112,8,2
2020-05-14,Norfolk,"Not Reported",69,1,0
2020-05-14,"Three Rivers","Hispanic or Latino",24,0,0
2020-05-14,"Eastern Shore","Not Reported",70,0,0
2020-05-14,Alleghany,"Hispanic or Latino",11,4,0
2020-05-14,Henrico,"Not Reported",474,29,23
2020-05-14,Henrico,"Not Hispanic or Latino",628,124,86
2020-05-14,Loudoun,"Not Hispanic or Latino",475,83,35
2020-05-14,Hampton,"Not Reported",39,1,0
2020-05-14,"Rappahannock Rapidan","Not Hispanic or Latino",132,18,7
2020-05-14,Alexandria,"Not Reported",294,7,3
2020-05-14,Rappahannock,"Not Hispanic or Latino",294,60,12
2020-05-14,"Western Tidewater","Not Reported",184,2,1
2020-05-14,"Cumberland Plateau","Not Reported",13,0,0
2020-05-14,Alexandria,"Hispanic or Latino",621,64,4
2020-05-14,"Virginia Beach","Not Hispanic or Latino",385,73,17
2020-05-14,"Prince William","Hispanic or Latino",1432,227,17
2020-05-14,"Virginia Beach","Not Reported",112,8,1
2020-05-14,"Central Shenandoah","Hispanic or Latino",476,26,2
2020-05-14,Pittsylvania-Danville,"Hispanic or Latino",0,0,0
2020-05-14,"Mount Rogers","Not Hispanic or Latino",105,15,4
2020-05-14,Piedmont,"Not Reported",240,11,2
2020-05-14,Southside,"Not Hispanic or Latino",57,8,5
2020-05-14,"Thomas Jefferson","Hispanic or Latino",28,1,0
2020-05-14,Pittsylvania-Danville,"Not Reported",14,4,0
2020-05-14,Norfolk,"Hispanic or Latino",35,5,0
2020-05-14,Portsmouth,"Not Hispanic or Latino",99,29,7
2020-05-14,"West Piedmont","Not Reported",16,3,0
2020-05-14,Richmond,"Not Hispanic or Latino",300,69,16
2020-05-14,"West Piedmont","Hispanic or Latino",3,0,0
2020-05-14,"Prince William","Not Reported",1901,15,3
2020-05-14,"Rappahannock Rapidan","Not Reported",208,8,1
2020-05-14,Chickahominy,"Hispanic or Latino",12,2,0
2020-05-14,Lenowisco,"Not Reported",19,4,2
2020-05-14,"New River","Hispanic or Latino",3,0,0
2020-05-14,Crater,"Not Reported",159,28,7
2020-05-14,Chickahominy,"Not Reported",164,15,4
2020-05-14,Loudoun,"Hispanic or Latino",392,42,3
2020-05-14,"Rappahannock Rapidan","Hispanic or Latino",272,26,3
2020-05-14,Roanoke,"Not Reported",32,0,0
2020-05-14,Rappahannock,"Hispanic or Latino",277,43,1
2020-05-14,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-14,"Virginia Beach","Hispanic or Latino",31,5,1
2020-05-14,"Prince William","Not Hispanic or Latino",703,143,54
2020-05-14,"Central Virginia","Not Reported",94,3,0
2020-05-14,"Central Shenandoah","Not Hispanic or Latino",440,48,17
2020-05-14,Hampton,"Hispanic or Latino",9,0,0
2020-05-14,Roanoke,"Hispanic or Latino",18,0,0
