"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-23,"Mount Rogers",Other,26,2,0
2020-05-23,Crater,White,92,17,5
2020-05-23,Alleghany,"Not Reported",46,3,0
2020-05-23,Arlington,Other,373,112,18
2020-05-23,Piedmont,White,157,8,3
2020-05-23,"Cumberland Plateau",Other,0,0,0
2020-05-23,Pittsylvania-Danville,White,35,15,3
2020-05-23,Roanoke,"Black or African American",18,4,2
2020-05-23,Alleghany,"Black or African American",5,1,1
2020-05-23,Richmond,"Not Reported",223,3,0
2020-05-23,"Central Virginia",Other,2,1,0
2020-05-23,Rappahannock,Other,277,40,1
2020-05-23,Roanoke,Other,2,0,0
2020-05-23,Piedmont,"Black or African American",203,26,1
2020-05-23,Chesterfield,Other,149,2,0
2020-05-23,Portsmouth,"Black or African American",120,27,7
2020-05-23,Portsmouth,"Not Reported",60,2,2
2020-05-23,Norfolk,"Not Reported",51,0,0
2020-05-23,"Eastern Shore",White,242,12,12
2020-05-23,"Eastern Shore","Not Reported",117,1,0
2020-05-23,Roanoke,White,75,3,7
2020-05-23,"Three Rivers",Other,44,3,0
2020-05-23,Fairfax,Other,3806,601,70
2020-05-23,Henrico,"Not Reported",254,1,2
2020-05-23,"Lord Fairfax",Other,161,18,6
2020-05-23,Piedmont,Other,13,2,0
2020-05-23,Lenowisco,"Black or African American",0,0,0
2020-05-23,Arlington,White,594,119,44
2020-05-23,Hampton,"Black or African American",99,24,3
2020-05-23,Alexandria,White,623,66,24
2020-05-23,Hampton,"Not Reported",28,0,0
2020-05-23,"Mount Rogers",White,219,17,6
2020-05-23,Alexandria,"Not Reported",488,14,5
2020-05-23,Chickahominy,"Black or African American",67,25,7
2020-05-23,Chesapeake,"Black or African American",150,41,5
2020-05-23,"Western Tidewater","Not Reported",181,2,1
2020-05-23,"Cumberland Plateau","Not Reported",1,0,0
2020-05-23,"Western Tidewater",Other,27,1,2
2020-05-23,Loudoun,"Black or African American",85,10,2
2020-05-23,"Virginia Beach",White,310,50,14
2020-05-23,Chickahominy,Other,14,5,0
2020-05-23,"New River","Black or African American",5,1,0
2020-05-23,"Virginia Beach","Not Reported",82,3,0
2020-05-23,"Rappahannock Rapidan",Other,56,12,0
2020-05-23,Piedmont,"Not Reported",271,7,1
2020-05-23,Portsmouth,Other,17,2,0
2020-05-23,Pittsylvania-Danville,"Not Reported",11,3,0
2020-05-23,"West Piedmont","Not Reported",16,1,0
2020-05-23,Norfolk,White,107,20,2
2020-05-23,Lenowisco,White,33,14,3
2020-05-23,"Western Tidewater",White,152,23,16
2020-05-23,Hampton,Other,7,2,0
2020-05-23,Alleghany,White,121,20,13
2020-05-23,"Prince William",Other,1127,157,10
2020-05-23,Arlington,"Not Reported",709,66,12
2020-05-23,"West Piedmont","Black or African American",34,7,1
2020-05-23,Peninsula,Other,30,7,1
2020-05-23,Norfolk,Other,33,4,0
2020-05-23,"Lord Fairfax","Black or African American",36,3,1
2020-05-23,"Mount Rogers","Not Reported",17,1,0
2020-05-23,"Central Virginia","Black or African American",20,2,1
2020-05-23,"West Piedmont",Other,17,1,1
2020-05-23,Portsmouth,White,56,9,2
2020-05-23,"Thomas Jefferson","Not Reported",21,0,0
2020-05-23,"Three Rivers","Not Reported",114,4,3
2020-05-23,"Virginia Beach","Black or African American",140,17,3
2020-05-23,"Prince William","Black or African American",396,76,20
2020-05-23,Loudoun,"Not Reported",782,4,6
2020-05-23,Loudoun,White,577,85,37
2020-05-23,Peninsula,"Not Reported",101,2,0
2020-05-23,Pittsylvania-Danville,"Black or African American",27,7,0
2020-05-23,Henrico,White,477,71,63
2020-05-23,Richmond,White,173,17,2
2020-05-23,Southside,"Black or African American",43,11,2
2020-05-23,Chickahominy,White,178,44,18
2020-05-23,"Thomas Jefferson",Other,47,5,2
2020-05-23,"Virginia Beach",Other,66,20,2
2020-05-23,"Central Shenandoah","Black or African American",64,3,2
2020-05-23,Chesterfield,White,345,35,21
2020-05-23,"Central Virginia",White,70,9,3
2020-05-23,Rappahannock,White,352,49,10
2020-05-23,"New River",White,58,11,1
2020-05-23,Hampton,White,38,4,0
2020-05-23,"Western Tidewater","Black or African American",233,34,12
2020-05-23,"Prince William","Not Reported",2817,37,4
2020-05-23,Fairfax,White,2410,381,149
2020-05-23,Lenowisco,Other,1,0,0
2020-05-23,"Rappahannock Rapidan","Not Reported",477,17,2
2020-05-23,"Three Rivers","Black or African American",151,10,0
2020-05-23,Henrico,"Black or African American",510,92,50
2020-05-23,Lenowisco,"Not Reported",8,1,1
2020-05-23,Chesapeake,Other,40,5,2
2020-05-23,Crater,"Not Reported",119,3,1
2020-05-23,Chickahominy,"Not Reported",137,3,1
2020-05-23,"Eastern Shore","Black or African American",548,45,14
2020-05-23,Alexandria,Other,344,45,1
2020-05-23,Chesterfield,"Black or African American",229,35,7
2020-05-23,Roanoke,"Not Reported",46,0,0
2020-05-23,Rappahannock,"Black or African American",123,22,3
2020-05-23,"Lord Fairfax",White,730,76,31
2020-05-23,"Three Rivers",White,160,16,3
2020-05-23,"Central Virginia","Not Reported",90,3,0
2020-05-23,"Eastern Shore",Other,25,2,1
2020-05-23,Crater,"Black or African American",268,60,7
2020-05-23,"Mount Rogers","Black or African American",2,0,0
2020-05-23,Southside,"Not Reported",111,13,8
2020-05-23,Chesapeake,White,204,34,6
2020-05-23,"New River",Other,0,0,0
2020-05-23,Norfolk,"Black or African American",202,37,4
2020-05-23,"Central Shenandoah",Other,221,13,1
2020-05-23,Southside,Other,32,1,5
2020-05-23,Pittsylvania-Danville,Other,1,0,0
2020-05-23,"Cumberland Plateau",White,19,2,0
2020-05-23,"Rappahannock Rapidan","Black or African American",48,10,1
2020-05-23,Fairfax,"Not Reported",2250,98,92
2020-05-23,Chesapeake,"Not Reported",32,2,0
2020-05-23,"Thomas Jefferson",White,227,27,10
2020-05-23,Richmond,Other,253,37,1
2020-05-23,Peninsula,"Black or African American",139,31,9
2020-05-23,Henrico,Other,170,12,3
2020-05-23,"Cumberland Plateau","Black or African American",12,0,0
2020-05-23,Loudoun,Other,387,50,7
2020-05-23,Crater,Other,18,2,1
2020-05-23,Arlington,"Black or African American",128,49,21
2020-05-23,Alexandria,"Black or African American",248,50,8
2020-05-23,Richmond,"Black or African American",330,73,16
2020-05-23,"Lord Fairfax","Not Reported",138,3,5
2020-05-23,Fairfax,"Black or African American",578,128,23
2020-05-23,"Thomas Jefferson","Black or African American",107,36,4
2020-05-23,"West Piedmont",White,65,6,2
2020-05-23,Rappahannock,"Not Reported",414,22,0
2020-05-23,"Central Shenandoah","Not Reported",200,6,1
2020-05-23,Peninsula,White,273,73,22
2020-05-23,"Rappahannock Rapidan",White,378,32,8
2020-05-23,"Prince William",White,1090,231,61
2020-05-23,"New River","Not Reported",29,0,0
2020-05-23,Chesterfield,"Not Reported",582,3,9
2020-05-23,Alleghany,Other,2,0,0
2020-05-23,"Central Shenandoah",White,873,84,24
2020-05-23,Southside,White,57,12,6
,Southside,White,57,12,6
,,,,,
