"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations"
2020-05-28,Central,Confirmed,2,0
2020-05-28,Eastern,Confirmed,1,0
2020-05-28,Eastern,Probable,1,0
2020-05-28,Northern,Confirmed,0,0
2020-05-28,Northern,Probable,2,0
2020-05-28,Northwest,Confirmed,5,0
2020-05-27,Central,Confirmed,14,1
2020-05-27,Central,Probable,10,0
2020-05-27,Eastern,Confirmed,11,0
2020-05-27,Northern,Confirmed,22,0
2020-05-27,Northern,Probable,12,0
2020-05-27,Northwest,Confirmed,11,0
2020-05-27,Northwest,Probable,3,0
2020-05-27,Southwest,Confirmed,5,2
2020-05-26,Central,Confirmed,32,3
2020-05-26,Eastern,Confirmed,35,2
2020-05-26,Northern,Confirmed,122,7
2020-05-26,Northern,Probable,18,0
2020-05-26,Northwest,Confirmed,48,3
2020-05-26,Southwest,Confirmed,1,1
2020-05-25,Central,Confirmed,29,6
2020-05-25,Central,Probable,5,0
2020-05-25,Eastern,Confirmed,11,2
2020-05-25,Eastern,Probable,1,0
2020-05-25,Northern,Confirmed,233,7
2020-05-25,Northern,Probable,5,0
2020-05-25,Northwest,Confirmed,26,2
2020-05-25,Northwest,Probable,2,0
2020-05-25,Southwest,Confirmed,7,3
2020-05-24,Central,Confirmed,70,1
2020-05-24,Central,Probable,2,0
2020-05-24,Eastern,Confirmed,10,3
2020-05-24,Eastern,Probable,6,0
2020-05-24,Northern,Confirmed,237,12
2020-05-24,Northern,Probable,3,0
2020-05-24,Northwest,Confirmed,39,4
2020-05-24,Northwest,Probable,8,0
2020-05-24,Southwest,Confirmed,2,0
2020-05-24,Southwest,Probable,3,0
2020-05-23,Central,Confirmed,51,2
2020-05-23,Eastern,Confirmed,32,3
2020-05-23,Northern,Confirmed,268,17
2020-05-23,Northern,Probable,4,0
2020-05-23,Northwest,Confirmed,73,6
2020-05-23,Northwest,Probable,3,0
2020-05-23,Southwest,Confirmed,12,3
2020-05-23,Southwest,Probable,2,0
2020-05-22,Central,Confirmed,192,6
2020-05-22,Eastern,Confirmed,62,4
