"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/25/2020,20105,113,1520
6/25/2020,20106,39,253
6/25/2020,20109,1146,4437
6/25/2020,20110,1468,6319
6/25/2020,20111,937,3633
6/25/2020,20112,219,1798
6/25/2020,20115,39,336
6/25/2020,20117,8,124
6/25/2020,20118,Suppressed*,96
6/25/2020,20119,28,238
6/25/2020,20120,338,2240
6/25/2020,20121,232,1495
6/25/2020,20124,66,760
6/25/2020,20129,7,64
6/25/2020,20130,0,21
6/25/2020,20132,66,975
6/25/2020,20135,10,159
6/25/2020,20136,190,1585
6/25/2020,20137,16,120
6/25/2020,20139,Suppressed*,14
6/25/2020,20141,21,363
6/25/2020,20143,Suppressed*,66
6/25/2020,20144,Suppressed*,44
6/25/2020,20147,389,4139
6/25/2020,20148,191,2398
6/25/2020,20151,273,1470
6/25/2020,20152,173,1794
6/25/2020,20155,246,2257
6/25/2020,20158,18,242
6/25/2020,20164,1196,4589
6/25/2020,20165,289,3078
6/25/2020,20166,197,1100
6/25/2020,20169,96,1280
6/25/2020,20170,1028,3659
6/25/2020,20171,299,2092
6/25/2020,20175,235,2476
6/25/2020,20176,708,4220
6/25/2020,20180,26,401
6/25/2020,20181,41,544
6/25/2020,20184,Suppressed*,51
6/25/2020,20186,76,1291
6/25/2020,20187,76,988
6/25/2020,20190,216,1770
6/25/2020,20191,320,1812
6/25/2020,20194,36,570
6/25/2020,20197,7,150
6/25/2020,20198,6,107
6/25/2020,22003,1244,5210
6/25/2020,22015,371,2427
6/25/2020,22025,120,1090
6/25/2020,22026,242,1555
6/25/2020,22027,55,171
6/25/2020,22030,402,3499
6/25/2020,22031,402,2692
6/25/2020,22032,131,1437
6/25/2020,22033,257,2157
6/25/2020,22035,Suppressed*,39
6/25/2020,22039,60,867
6/25/2020,22041,731,3225
6/25/2020,22042,799,3288
6/25/2020,22043,243,1386
6/25/2020,22044,269,1173
6/25/2020,22046,202,1295
6/25/2020,22060,15,191
6/25/2020,22066,77,874
6/25/2020,22079,308,2059
6/25/2020,22101,127,2078
6/25/2020,22102,126,1422
6/25/2020,22124,63,875
6/25/2020,22125,Suppressed*,57
6/25/2020,22134,18,119
6/25/2020,22150,770,3504
6/25/2020,22151,282,1315
6/25/2020,22152,208,1533
6/25/2020,22153,167,1609
6/25/2020,22172,153,830
6/25/2020,22180,219,1540
6/25/2020,22181,64,692
6/25/2020,22182,122,1361
6/25/2020,22191,1588,7585
6/25/2020,22192,701,5311
6/25/2020,22193,1502,7517
6/25/2020,22201,218,2094
6/25/2020,22202,210,1537
6/25/2020,22203,327,1919
6/25/2020,22204,986,5049
6/25/2020,22205,140,1495
6/25/2020,22206,174,1465
6/25/2020,22207,272,2328
6/25/2020,22209,85,776
6/25/2020,22211,Suppressed*,19
6/25/2020,22213,18,186
6/25/2020,22214,0,3
6/25/2020,22301,84,933
6/25/2020,22302,237,2338
6/25/2020,22303,211,1121
6/25/2020,22304,673,4265
6/25/2020,22305,589,2207
6/25/2020,22306,854,3203
6/25/2020,22307,74,693
6/25/2020,22308,68,591
6/25/2020,22309,633,2512
6/25/2020,22310,289,1748
6/25/2020,22311,441,2291
6/25/2020,22312,571,2622
6/25/2020,22314,198,2160
6/25/2020,22315,106,1403
6/25/2020,22401,225,2049
6/25/2020,22405,138,1796
6/25/2020,22406,116,1453
6/25/2020,22407,580,4466
6/25/2020,22408,192,1794
6/25/2020,22427,15,247
6/25/2020,22432,Suppressed*,45
6/25/2020,22433,Suppressed*,9
6/25/2020,22435,Suppressed*,147
6/25/2020,22436,0,48
6/25/2020,22437,Suppressed*,62
6/25/2020,22438,Suppressed*,38
6/25/2020,22443,33,413
6/25/2020,22448,Suppressed*,35
6/25/2020,22454,Suppressed*,97
6/25/2020,22460,5,126
6/25/2020,22469,14,140
6/25/2020,22473,21,318
6/25/2020,22476,Suppressed*,22
6/25/2020,22480,0,303
6/25/2020,22482,5,200
6/25/2020,22485,94,1358
6/25/2020,22488,Suppressed*,78
6/25/2020,22503,6,317
6/25/2020,22504,0,13
6/25/2020,22508,58,824
6/25/2020,22509,Suppressed*,6
6/25/2020,22511,5,71
6/25/2020,22514,14,150
6/25/2020,22520,39,373
6/25/2020,22529,Suppressed*,15
6/25/2020,22530,0,3
6/25/2020,22534,5,135
6/25/2020,22535,Suppressed*,36
6/25/2020,22538,0,16
6/25/2020,22539,Suppressed*,133
6/25/2020,22542,8,127
6/25/2020,22546,67,931
6/25/2020,22548,0,5
6/25/2020,22551,94,1120
6/25/2020,22553,47,847
6/25/2020,22554,450,3423
6/25/2020,22556,226,1648
6/25/2020,22560,39,890
6/25/2020,22567,6,190
6/25/2020,22572,282,966
6/25/2020,22576,0,96
6/25/2020,22578,Suppressed*,130
6/25/2020,22579,Suppressed*,19
6/25/2020,22580,19,290
6/25/2020,22601,309,10352
6/25/2020,22602,162,705
6/25/2020,22603,110,439
6/25/2020,22610,8,39
6/25/2020,22611,24,264
6/25/2020,22620,9,93
6/25/2020,22623,Suppressed*,9
6/25/2020,22624,7,47
6/25/2020,22625,6,57
6/25/2020,22627,Suppressed*,26
6/25/2020,22630,238,1293
6/25/2020,22637,Suppressed*,33
6/25/2020,22639,0,19
6/25/2020,22640,Suppressed*,12
6/25/2020,22641,0,3
6/25/2020,22642,21,134
6/25/2020,22643,0,18
6/25/2020,22644,50,86
6/25/2020,22645,25,97
6/25/2020,22646,0,11
6/25/2020,22650,Suppressed*,18
6/25/2020,22652,7,37
6/25/2020,22654,Suppressed*,15
6/25/2020,22655,112,446
6/25/2020,22656,21,107
6/25/2020,22657,57,306
6/25/2020,22660,16,43
6/25/2020,22663,13,40
6/25/2020,22664,188,828
6/25/2020,22701,695,2760
6/25/2020,22709,Suppressed*,48
6/25/2020,22711,0,3
6/25/2020,22712,101,700
6/25/2020,22713,8,59
6/25/2020,22714,14,67
6/25/2020,22715,Suppressed*,63
6/25/2020,22716,Suppressed*,33
6/25/2020,22718,Suppressed*,27
6/25/2020,22719,0,11
6/25/2020,22720,Suppressed*,48
6/25/2020,22722,0,7
6/25/2020,22723,0,7
6/25/2020,22724,14,120
6/25/2020,22726,22,94
6/25/2020,22727,19,289
6/25/2020,22728,12,166
6/25/2020,22729,Suppressed*,14
6/25/2020,22730,Suppressed*,5
6/25/2020,22731,Suppressed*,17
6/25/2020,22732,Suppressed*,18
6/25/2020,22733,17,84
6/25/2020,22734,27,214
6/25/2020,22735,Suppressed*,94
6/25/2020,22736,Suppressed*,25
6/25/2020,22737,7,130
6/25/2020,22738,Suppressed*,51
6/25/2020,22740,Suppressed*,55
6/25/2020,22741,0,12
6/25/2020,22742,20,128
6/25/2020,22743,Suppressed*,4
6/25/2020,22747,Suppressed*,48
6/25/2020,22749,0,16
6/25/2020,22801,642,3009
6/25/2020,22802,516,2363
6/25/2020,22807,Suppressed*,7
6/25/2020,22810,Suppressed*,42
6/25/2020,22811,Suppressed*,33
6/25/2020,22812,34,489
6/25/2020,22815,89,555
6/25/2020,22820,0,5
6/25/2020,22821,29,285
6/25/2020,22824,88,210
6/25/2020,22827,71,671
6/25/2020,22830,16,110
6/25/2020,22831,7,58
6/25/2020,22832,Suppressed*,54
6/25/2020,22834,6,69
6/25/2020,22835,153,586
6/25/2020,22840,17,264
6/25/2020,22841,19,163
6/25/2020,22842,77,248
6/25/2020,22843,6,109
6/25/2020,22844,43,253
6/25/2020,22845,0,5
6/25/2020,22846,13,115
6/25/2020,22847,Suppressed*,35
6/25/2020,22849,36,255
6/25/2020,22850,8,63
6/25/2020,22851,72,232
6/25/2020,22853,60,304
6/25/2020,22901,184,2760
6/25/2020,22902,161,1742
6/25/2020,22903,106,2393
6/25/2020,22904,0,15
6/25/2020,22911,43,1496
6/25/2020,22920,6,177
6/25/2020,22922,6,115
6/25/2020,22923,11,280
6/25/2020,22931,0,18
6/25/2020,22932,23,465
6/25/2020,22935,Suppressed*,65
6/25/2020,22936,6,301
6/25/2020,22937,Suppressed*,83
6/25/2020,22938,Suppressed*,66
6/25/2020,22939,12,347
6/25/2020,22940,Suppressed*,61
6/25/2020,22942,25,682
6/25/2020,22943,Suppressed*,27
6/25/2020,22946,Suppressed*,16
6/25/2020,22947,8,265
6/25/2020,22948,0,9
6/25/2020,22949,0,93
6/25/2020,22952,5,117
6/25/2020,22958,Suppressed*,94
6/25/2020,22959,6,121
6/25/2020,22960,42,934
6/25/2020,22963,32,897
6/25/2020,22964,0,14
6/25/2020,22967,Suppressed*,82
6/25/2020,22968,34,657
6/25/2020,22969,Suppressed*,86
6/25/2020,22971,0,81
6/25/2020,22972,Suppressed*,28
6/25/2020,22973,11,587
6/25/2020,22974,13,286
6/25/2020,22976,0,16
6/25/2020,22980,77,1557
6/25/2020,22989,0,6
6/25/2020,23002,34,735
6/25/2020,23004,12,93
6/25/2020,23005,75,1341
6/25/2020,23009,24,464
6/25/2020,23011,Suppressed*,59
6/25/2020,23015,13,267
6/25/2020,23021,0,12
6/25/2020,23022,8,75
6/25/2020,23023,Suppressed*,27
6/25/2020,23024,37,562
6/25/2020,23025,0,15
6/25/2020,23027,7,96
6/25/2020,23030,32,362
6/25/2020,23032,0,15
6/25/2020,23035,Suppressed*,48
6/25/2020,23038,9,105
6/25/2020,23039,Suppressed*,59
6/25/2020,23040,30,334
6/25/2020,23043,Suppressed*,81
6/25/2020,23045,0,2
6/25/2020,23047,8,145
6/25/2020,23050,Suppressed*,32
6/25/2020,23055,41,96
6/25/2020,23056,0,4
6/25/2020,23059,96,2044
6/25/2020,23060,180,2482
6/25/2020,23061,31,898
6/25/2020,23062,5,119
6/25/2020,23063,59,538
6/25/2020,23064,0,4
6/25/2020,23065,Suppressed*,108
6/25/2020,23066,0,8
6/25/2020,23068,0,12
6/25/2020,23069,10,238
6/25/2020,23070,0,25
6/25/2020,23071,Suppressed*,92
6/25/2020,23072,9,454
6/25/2020,23075,141,911
6/25/2020,23076,0,26
6/25/2020,23079,0,17
6/25/2020,23083,7,147
6/25/2020,23084,9,139
6/25/2020,23085,Suppressed*,19
6/25/2020,23086,6,182
6/25/2020,23089,9,303
6/25/2020,23091,0,22
6/25/2020,23092,0,112
6/25/2020,23093,37,943
6/25/2020,23102,9,180
6/25/2020,23103,24,403
6/25/2020,23106,Suppressed*,61
6/25/2020,23108,0,2
6/25/2020,23109,Suppressed*,104
6/25/2020,23110,0,28
6/25/2020,23111,127,2761
6/25/2020,23112,174,3511
6/25/2020,23113,146,2014
6/25/2020,23114,69,1261
6/25/2020,23115,13,21
6/25/2020,23116,144,2195
6/25/2020,23117,25,669
6/25/2020,23119,Suppressed*,14
6/25/2020,23120,43,712
6/25/2020,23123,16,199
6/25/2020,23124,8,289
6/25/2020,23125,0,6
6/25/2020,23126,Suppressed*,33
6/25/2020,23128,Suppressed*,53
6/25/2020,23129,Suppressed*,20
6/25/2020,23130,Suppressed*,13
6/25/2020,23138,0,22
6/25/2020,23139,58,1356
6/25/2020,23140,22,408
6/25/2020,23141,23,475
6/25/2020,23146,6,166
6/25/2020,23148,Suppressed*,112
6/25/2020,23149,7,237
6/25/2020,23150,98,976
6/25/2020,23153,5,90
6/25/2020,23156,5,67
6/25/2020,23160,8,65
6/25/2020,23161,0,4
6/25/2020,23163,0,7
6/25/2020,23168,11,444
6/25/2020,23169,Suppressed*,62
6/25/2020,23173,Suppressed*,6
6/25/2020,23175,Suppressed*,146
6/25/2020,23176,0,34
6/25/2020,23177,0,42
6/25/2020,23180,0,20
6/25/2020,23181,Suppressed*,309
6/25/2020,23185,169,3007
6/25/2020,23187,Suppressed*,21
6/25/2020,23188,159,2509
6/25/2020,23192,16,417
6/25/2020,23219,28,743
6/25/2020,23220,98,2402
