"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-18,Southside,"Not Reported",3,0,0
2020-05-18,Chesapeake,Female,222,41,4
2020-05-18,Richmond,Female,368,47,4
2020-05-18,Roanoke,Male,52,4,2
2020-05-18,Fairfax,"Not Reported",58,4,1
2020-05-18,"Thomas Jefferson",Female,211,36,5
2020-05-18,Chesapeake,"Not Reported",0,0,0
2020-05-18,"Cumberland Plateau",Male,14,1,0
2020-05-18,"Eastern Shore",Female,461,18,9
2020-05-18,"Lord Fairfax","Not Reported",9,0,0
2020-05-18,Rappahannock,"Not Reported",4,0,0
2020-05-18,"Central Shenandoah","Not Reported",0,0,0
2020-05-18,Peninsula,Male,242,60,12
2020-05-18,Norfolk,Male,184,28,4
2020-05-18,Alexandria,Female,774,73,18
2020-05-18,Lenowisco,Male,22,8,3
2020-05-18,Pittsylvania-Danville,Female,41,14,1
2020-05-18,"New River","Not Reported",1,0,0
2020-05-18,Chesterfield,"Not Reported",22,0,0
2020-05-18,Loudoun,Male,732,77,21
2020-05-18,"Rappahannock Rapidan",Female,322,21,4
2020-05-18,Piedmont,Female,113,12,1
2020-05-18,Richmond,Male,401,67,12
2020-05-18,Crater,Female,204,45,10
2020-05-18,Portsmouth,Female,106,21,4
2020-05-18,Arlington,"Not Reported",8,0,0
2020-05-18,"Mount Rogers","Not Reported",1,0,0
2020-05-18,"Thomas Jefferson","Not Reported",1,0,0
2020-05-18,"Three Rivers","Not Reported",1,0,0
2020-05-18,Hampton,Male,71,19,2
2020-05-18,Alleghany,Male,66,15,3
2020-05-18,Roanoke,Female,76,3,6
2020-05-18,Loudoun,"Not Reported",3,0,0
2020-05-18,Fairfax,Female,3910,485,140
2020-05-18,"Western Tidewater",Male,283,40,18
2020-05-18,Peninsula,"Not Reported",3,0,0
2020-05-18,"New River",Male,40,8,1
2020-05-18,"Central Shenandoah",Male,552,41,14
2020-05-18,Southside,Male,72,17,8
2020-05-18,Chesterfield,Male,507,40,19
2020-05-18,Arlington,Female,792,148,35
2020-05-18,Rappahannock,Male,478,73,10
2020-05-18,"Central Virginia",Male,102,10,3
2020-05-18,Alleghany,"Not Reported",1,0,0
2020-05-18,Henrico,Male,531,88,55
2020-05-18,"Thomas Jefferson",Male,172,30,8
2020-05-18,"Lord Fairfax",Male,401,38,15
2020-05-18,"Three Rivers",Male,311,13,1
2020-05-18,Richmond,"Not Reported",10,1,2
2020-05-18,Pittsylvania-Danville,Male,27,9,1
2020-05-18,Portsmouth,"Not Reported",2,0,0
2020-05-18,Norfolk,"Not Reported",0,0,0
2020-05-18,Chesapeake,Male,165,37,6
2020-05-18,Chickahominy,Female,217,38,13
2020-05-18,"Prince William",Male,2328,225,35
2020-05-18,"Eastern Shore","Not Reported",5,0,0
2020-05-18,"Eastern Shore",Male,422,26,9
2020-05-18,"Rappahannock Rapidan",Male,375,35,7
2020-05-18,Henrico,"Not Reported",1,0,0
2020-05-18,"Cumberland Plateau",Female,16,1,0
2020-05-18,"West Piedmont",Male,38,8,2
2020-05-18,Hampton,"Not Reported",2,0,0
2020-05-18,Alexandria,"Not Reported",5,0,0
2020-05-18,"Western Tidewater","Not Reported",3,0,0
2020-05-18,"Cumberland Plateau","Not Reported",0,0,0
2020-05-18,"Virginia Beach",Male,245,48,12
2020-05-18,Alleghany,Female,97,8,3
2020-05-18,Lenowisco,Female,20,7,1
2020-05-18,"Virginia Beach","Not Reported",2,0,0
2020-05-18,"Western Tidewater",Female,271,17,10
2020-05-18,"Mount Rogers",Male,115,11,4
2020-05-18,"Lord Fairfax",Female,488,42,19
2020-05-18,Piedmont,"Not Reported",0,0,0
2020-05-18,Alexandria,Male,731,89,16
2020-05-18,Pittsylvania-Danville,"Not Reported",0,0,0
2020-05-18,"West Piedmont","Not Reported",1,0,0
2020-05-18,Loudoun,Female,751,62,27
2020-05-18,Hampton,Female,90,11,1
2020-05-18,Henrico,Female,740,83,58
2020-05-18,"Prince William","Not Reported",31,1,0
2020-05-18,Chickahominy,Male,142,36,13
2020-05-18,"Rappahannock Rapidan","Not Reported",10,0,0
2020-05-18,Peninsula,Female,261,52,19
2020-05-18,Lenowisco,"Not Reported",0,0,0
2020-05-18,Crater,"Not Reported",3,2,0
2020-05-18,Chickahominy,"Not Reported",3,0,0
2020-05-18,Portsmouth,Male,120,18,6
2020-05-18,"New River",Female,47,4,0
2020-05-18,Rappahannock,Female,507,51,4
2020-05-18,"Central Virginia",Female,76,6,0
2020-05-18,Roanoke,"Not Reported",0,0,0
2020-05-18,"West Piedmont",Female,50,5,1
2020-05-18,"Mount Rogers",Female,119,6,0
2020-05-18,Piedmont,Male,463,26,4
2020-05-18,Chesterfield,Female,573,32,17
2020-05-18,Fairfax,Male,3966,626,150
2020-05-18,Crater,Male,198,30,4
2020-05-18,"Central Virginia","Not Reported",0,0,0
2020-05-18,"Prince William",Female,2226,201,43
2020-05-18,"Virginia Beach",Female,310,38,7
2020-05-18,Norfolk,Female,177,28,1
2020-05-18,"Three Rivers",Female,116,17,5
2020-05-18,Arlington,Male,838,175,42
2020-05-18,"Central Shenandoah",Female,648,48,10
2020-05-18,Southside,Female,141,17,9
