"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-18,Confirmed,19,1,1
2020-05-18,Probable,4,0,0
2020-05-17,Confirmed,17,8,6
2020-05-17,Probable,2,1,0
2020-05-16,Confirmed,109,6,13
2020-05-16,Probable,5,0,0
2020-05-15,Confirmed,334,17,5
2020-05-15,Probable,6,0,0
2020-05-14,Confirmed,507,31,9
2020-05-14,Probable,8,0,1
2020-05-13,Confirmed,614,34,8
2020-05-13,Probable,12,0,1
2020-05-12,Confirmed,808,43,14
2020-05-12,Probable,18,1,0
2020-05-11,Confirmed,692,50,25
2020-05-11,Probable,19,1,0
2020-05-10,Confirmed,374,54,21
2020-05-10,Probable,13,0,0
2020-05-09,Confirmed,461,53,13
2020-05-09,Probable,21,0,0
2020-05-08,Confirmed,732,59,28
2020-05-08,Probable,22,0,0
2020-05-07,Confirmed,666,58,27
2020-05-07,Probable,18,0,0
2020-05-06,Confirmed,710,68,20
2020-05-06,Probable,40,0,1
2020-05-05,Confirmed,790,68,32
2020-05-05,Probable,33,0,1
2020-05-04,Confirmed,884,85,20
2020-05-04,Probable,40,1,0
2020-05-03,Confirmed,496,80,19
2020-05-03,Probable,24,0,2
2020-05-02,Confirmed,604,60,27
2020-05-02,Probable,26,2,1
2020-05-01,Confirmed,981,83,19
2020-05-01,Probable,56,0,0
2020-04-30,Confirmed,810,72,37
2020-04-30,Probable,50,0,0
2020-04-29,Confirmed,788,66,21
2020-04-29,Probable,39,2,2
2020-04-28,Confirmed,779,73,30
2020-04-28,Probable,37,1,0
2020-04-27,Confirmed,845,81,21
2020-04-27,Probable,41,2,0
2020-04-26,Confirmed,597,56,24
2020-04-26,Probable,25,0,3
2020-04-25,Confirmed,579,52,21
2020-04-25,Probable,42,1,3
2020-04-24,Confirmed,827,75,25
2020-04-24,Probable,45,0,2
2020-04-23,Confirmed,724,62,19
2020-04-23,Probable,41,0,2
2020-04-22,Confirmed,689,67,26
2020-04-22,Probable,40,0,0
2020-04-21,Confirmed,628,91,27
2020-04-21,Probable,28,2,2
2020-04-20,Confirmed,799,82,16
2020-04-20,Probable,58,1,3
2020-04-19,Confirmed,438,58,33
2020-04-19,Probable,29,1,0
2020-04-18,Confirmed,398,63,21
2020-04-18,Probable,23,1,0
2020-04-17,Confirmed,643,61,28
2020-04-17,Probable,41,1,2
2020-04-16,Confirmed,585,70,29
2020-04-16,Probable,20,0,0
2020-04-15,Confirmed,483,75,22
2020-04-15,Probable,25,0,0
2020-04-14,Confirmed,564,59,24
2020-04-14,Probable,31,0,0
2020-04-13,Confirmed,616,86,25
2020-04-13,Probable,47,2,2
2020-04-12,Confirmed,389,65,20
2020-04-12,Probable,35,0,1
2020-04-11,Confirmed,347,50,14
2020-04-11,Probable,30,0,0
2020-04-10,Confirmed,516,61,21
2020-04-10,Probable,37,0,0
2020-04-09,Confirmed,409,73,12
2020-04-09,Probable,24,0,0
2020-04-08,Confirmed,431,58,11
2020-04-08,Probable,34,0,1
2020-04-07,Confirmed,408,60,14
2020-04-07,Probable,19,0,0
2020-04-06,Confirmed,467,80,16
