"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-01,Southside,402,49,28
2020-07-01,Chesapeake,925,137,20
2020-07-01,"Thomas Jefferson",938,94,22
2020-07-01,Roanoke,438,14,10
2020-07-01,"Eastern Shore",1312,112,42
2020-07-01,"Mount Rogers",725,74,30
2020-07-01,Chickahominy,645,109,37
2020-07-01,"New River",238,22,5
2020-07-01,"Central Virginia",385,16,5
2020-07-01,Piedmont,1023,87,11
2020-07-01,"Lord Fairfax",2014,175,67
2020-07-01,Crater,1510,152,32
2020-07-01,Hampton,336,41,5
2020-07-01,Alexandria,2325,237,57
2020-07-01,Fairfax,13986,1640,503
2020-07-01,Richmond,2213,222,29
2020-07-01,Arlington,2484,418,132
2020-07-01,"Rappahannock Rapidan",1444,109,21
2020-07-01,Rappahannock,2455,223,43
2020-07-01,Pittsylvania-Danville,209,41,3
2020-07-01,"Prince William",9175,803,168
2020-07-01,"Cumberland Plateau",62,2,0
2020-07-01,Portsmouth,497,69,16
2020-07-01,"Virginia Beach",1203,119,29
2020-07-01,"West Piedmont",480,41,7
2020-07-01,"Three Rivers",648,49,9
2020-07-01,Alleghany,490,31,15
2020-07-01,Lenowisco,53,17,4
2020-07-01,Norfolk,934,107,10
2020-07-01,"Western Tidewater",810,87,50
2020-07-01,Henrico,2603,257,146
2020-07-01,"Central Shenandoah",2059,165,37
2020-07-01,Loudoun,4047,279,87
2020-07-01,Chesterfield,3140,138,72
2020-07-01,Peninsula,995,126,34
