Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,894,21,768,105
New York Harbor HCS,813,38,676,99
"Bronx, NY HCS",686,19,584,83
"New Orleans, LA HCS",582,21,513,48
"North Chicago, IL HCS",563,57,499,7
"Philadelphia, PA HCS",534,16,483,35
"Washington, DC HCS",532,36,441,55
"Boston, MA HCS",528,18,444,66
"Chicago, IL HCS",413,19,369,25
Connecticut HCS,385,18,340,27
"Aurora, CO HCS",348,15,307,26
"Atlanta, GA HCS",341,48,271,22
"Cleveland, OH HCS",335,25,268,42
"Northport, NY HCS",331,10,288,33
"Phoenix, AZ HCS",328,167,145,16
"Indianapolis, IN HCS",319,11,267,41
"Detroit, MI HCS",308,16,253,39
"San Antonio, TX HCS",299,193,98,8
"Hines, IL HCS",298,11,263,24
"Houston, TX HCS",291,100,179,12
"Columbia, SC HCS",290,64,213,13
"Bedford, MA HCS",278,9,233,36
Western New York HCS,264,16,214,34
"Miami, FL HCS",263,50,205,8
"Hudson Valley, NY HCS",259,5,241,13
"Baltimore, MD HCS",234,14,203,17
"Orlando, FL HCS",233,102,126,5
"Greater Los Angeles, CA HCS",232,85,137,10
"St. Louis, MO HCS",224,22,183,19
"Long Beach, CA HCS",214,67,141,6
"Minneapolis, MN HCS",204,13,158,33
"Bay Pines, FL HCS",199,95,101,3
"Richmond, VA HCS",190,27,150,13
Nebraska-W Iowa HCS,186,24,141,21
"Dallas, TX HCS",184,52,122,10
"Salisbury, NC HCS",175,37,120,18
"Ann Arbor, MI HCS",169,4,147,18
"West Palm Beach, FL HCS",168,30,124,14
"Lebanon, PA HCS",164,17,129,18
"Tampa, FL HCS",162,81,76,5
"Fayetteville, NC HCS",160,11,140,9
"Loma Linda, CA HCS",159,55,100,4
"Jackson, MS HCS",153,19,119,15
"Puget Sound, WA HCS",152,15,129,8
"Milwaukee, WI HCS",150,16,127,7
"Wilmington, DE HCS",148,6,129,13
"Shreveport, LA HCS",144,23,109,12
"Durham, NC HCS",143,33,104,6
"San Diego, CA HCS",141,29,109,3
"Providence, RI HCS",139,10,111,18
"Charleston, SC HCS",131,67,64,0
Central Alabama HCS,130,43,82,5
Southern Arizona HCS,129,56,65,8
"Kansas City, MO HCS",122,11,106,5
"Dublin, GA HCS",121,11,107,3
"Temple, TX HCS",118,43,70,5
"Las Vegas, NV HCS",117,23,93,1
Central Western Massachusetts HCS,116,7,100,9
Middle Tennessee HCS,116,23,90,3
"Wilkes-Barre, PA HCS",111,8,89,14
"Little Rock, AR HCS",105,28,71,6
"Birmingham, AL HCS",104,15,78,11
"Martinsburg, WV HCS",102,6,85,11
"Salt Lake City, UT HCS",101,13,82,6
"Louisville, KY HCS",98,7,84,7
"Alexandria, LA HCS",92,30,58,4
"Augusta, GA HCS",90,22,61,7
"Cincinnati, OH HCS",89,13,73,3
"Gainesville, FL HCS",88,23,61,4
"Hampton, VA HCS",88,13,70,5
New Mexico HCS,86,12,62,12
"Battle Creek, MI HCS",81,3,68,10
"Coatesville, PA HCS",80,2,68,10
"San Juan, PR HCS",78,4,74,0
"Columbus, OH HCS",77,14,58,5
"Pittsburgh, PA HCS",77,5,69,3
"Portland, OR HCS",77,7,65,5
"Palo Alto, CA HCS",75,18,50,7
Northern Indiana HCS,74,12,57,5
Texas Valley Coastal Bend HCS,73,48,22,3
"Asheville, NC HCS",70,20,39,11
"Memphis, TN HCS",70,4,60,6
"Oklahoma City, OK HCS",70,9,53,8
Central Iowa HCS,69,8,55,6
"Fresno, CA HCS",64,22,41,1
"Tuscaloosa, AL HCS",63,12,47,4
"El Paso, TX HCS",61,6,48,7
N. California HCS,61,15,41,5
"Manchester, NH HCS",59,4,47,8
"Sioux Falls, SD HCS",59,4,52,3
"Spokane, WA HCS",59,4,48,7
"Dayton, OH HCS",55,7,45,3
"Madison, WI HCS",55,5,44,6
"Reno, NV HCS",55,13,37,5
"Fargo, ND HCS",54,4,37,13
"Gulf Coast, MS HCS",51,15,34,2
"Muskogee, OK HCS",46,5,33,8
"San Francisco, CA HCS",46,3,40,3
"Albany, NY HCS",44,3,34,7
"Boise, ID HCS",42,16,24,2
"Iowa City, IA HCS",42,3,37,2
"St. Cloud, MN HCS",42,8,33,1
Eastern Kansas HCS,41,8,33,0
"Amarillo, TX HCS",40,10,30,0
"Saginaw, MI HCS",40,2,36,2
"Walla Walla, WA HCS",40,12,26,2
Northern Arizona HCS,34,14,20,0
"Lexington, KY HCS",28,7,19,2
"Mountain Home, TN HCS",27,7,20,0
"Salem, VA HCS",27,7,20,0
"Togus, ME HCS",27,5,20,2
"Cheyenne, WY HCS",26,2,23,1
"Fayetteville, AR HCS",26,12,12,2
"Syracuse, NY HCS",26,3,20,3
"Danville, IL HCS",22,4,18,0
"Finger Lakes, NY HCS",21,3,17,1
"Chillicothe, OH HCS",20,0,19,1
"Anchorage, AK HCS",19,4,15,0
"Huntington, WV HCS",17,4,12,1
"Erie, PA HCS",15,2,10,3
"Butler, PA HCS",14,1,10,3
"White River Junction, VT HCS",14,0,12,2
