"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-28,Southside,"Not Reported",3,0,0
2020-05-28,Chesapeake,Female,275,45,6
2020-05-28,Richmond,Female,538,54,4
2020-05-28,Roanoke,Male,61,5,2
2020-05-28,Fairfax,"Not Reported",96,4,7
2020-05-28,"Thomas Jefferson",Female,269,37,9
2020-05-28,Chesapeake,"Not Reported",0,0,0
2020-05-28,"Cumberland Plateau",Male,14,1,0
2020-05-28,"Eastern Shore",Female,537,32,15
2020-05-28,"Lord Fairfax","Not Reported",11,0,0
2020-05-28,Rappahannock,"Not Reported",10,1,0
2020-05-28,"Central Shenandoah","Not Reported",4,0,0
2020-05-28,Peninsula,Male,267,60,12
2020-05-28,Norfolk,Male,228,30,5
2020-05-28,Alexandria,Female,973,79,23
2020-05-28,Lenowisco,Male,22,8,3
2020-05-28,Pittsylvania-Danville,Female,53,16,2
2020-05-28,"New River","Not Reported",1,0,0
2020-05-28,Chesterfield,"Not Reported",47,0,1
2020-05-28,Loudoun,Male,1147,84,28
2020-05-28,"Rappahannock Rapidan",Female,527,26,4
2020-05-28,Piedmont,Female,161,17,2
2020-05-28,Richmond,Male,575,82,15
2020-05-28,Crater,Female,317,50,14
2020-05-28,Portsmouth,Female,132,22,5
2020-05-28,Arlington,"Not Reported",8,1,0
2020-05-28,"Mount Rogers","Not Reported",2,0,0
2020-05-28,"Thomas Jefferson","Not Reported",1,0,0
2020-05-28,"Three Rivers","Not Reported",3,0,0
2020-05-28,Hampton,Male,89,19,2
2020-05-28,Alleghany,Male,76,15,6
2020-05-28,Roanoke,Female,86,4,7
2020-05-28,Loudoun,"Not Reported",11,0,4
2020-05-28,Fairfax,Female,5266,552,186
2020-05-28,"Western Tidewater",Male,309,45,22
2020-05-28,Peninsula,"Not Reported",3,0,0
2020-05-28,"New River",Male,49,8,1
2020-05-28,"Central Shenandoah",Male,686,57,15
2020-05-28,Southside,Male,87,18,8
2020-05-28,Chesterfield,Male,661,44,25
2020-05-28,Arlington,Female,1006,169,53
2020-05-28,Rappahannock,Male,682,83,12
2020-05-28,"Central Virginia",Male,111,9,4
2020-05-28,Alleghany,"Not Reported",1,0,0
2020-05-28,Henrico,Male,688,93,64
2020-05-28,"Thomas Jefferson",Male,210,31,10
2020-05-28,"Lord Fairfax",Male,589,58,25
2020-05-28,"Three Rivers",Male,354,14,1
2020-05-28,Richmond,"Not Reported",20,2,2
2020-05-28,Pittsylvania-Danville,Male,34,11,1
2020-05-28,Portsmouth,"Not Reported",3,0,0
2020-05-28,Norfolk,"Not Reported",0,0,0
2020-05-28,Chesapeake,Male,206,41,8
2020-05-28,Chickahominy,Female,264,40,15
2020-05-28,"Prince William",Male,3248,291,61
2020-05-28,"Eastern Shore","Not Reported",3,0,0
2020-05-28,"Eastern Shore",Male,494,35,17
2020-05-28,"Rappahannock Rapidan",Male,549,48,8
2020-05-28,Henrico,"Not Reported",4,0,2
2020-05-28,"Cumberland Plateau",Female,19,1,0
2020-05-28,"West Piedmont",Male,84,12,3
2020-05-28,Hampton,"Not Reported",2,0,0
2020-05-28,Alexandria,"Not Reported",7,0,0
2020-05-28,"Western Tidewater","Not Reported",3,0,0
2020-05-28,"Cumberland Plateau","Not Reported",0,0,0
2020-05-28,"Virginia Beach",Male,292,51,13
2020-05-28,Alleghany,Female,109,9,10
2020-05-28,Lenowisco,Female,20,8,1
2020-05-28,"Virginia Beach","Not Reported",3,0,0
2020-05-28,"Western Tidewater",Female,309,21,16
2020-05-28,"Mount Rogers",Male,149,16,4
2020-05-28,"Lord Fairfax",Female,679,60,23
2020-05-28,Piedmont,"Not Reported",0,0,0
2020-05-28,Alexandria,Male,907,101,21
2020-05-28,Pittsylvania-Danville,"Not Reported",1,0,0
2020-05-28,"West Piedmont","Not Reported",2,0,0
2020-05-28,Loudoun,Female,1160,72,31
2020-05-28,Hampton,Female,99,11,1
2020-05-28,Henrico,Female,932,91,65
2020-05-28,"Prince William","Not Reported",60,1,0
2020-05-28,Chickahominy,Male,201,39,17
2020-05-28,"Rappahannock Rapidan","Not Reported",26,1,0
2020-05-28,Peninsula,Female,312,53,20
2020-05-28,Lenowisco,"Not Reported",0,0,0
2020-05-28,Crater,"Not Reported",10,2,0
2020-05-28,Chickahominy,"Not Reported",7,0,0
2020-05-28,Portsmouth,Male,149,20,6
2020-05-28,"New River",Female,56,6,0
2020-05-28,Rappahannock,Female,727,59,4
2020-05-28,"Central Virginia",Female,90,7,0
2020-05-28,Roanoke,"Not Reported",0,0,0
2020-05-28,"West Piedmont",Female,93,7,2
2020-05-28,"Mount Rogers",Female,167,6,2
2020-05-28,Piedmont,Male,534,27,4
2020-05-28,Chesterfield,Female,739,36,25
2020-05-28,Fairfax,Male,5257,730,192
2020-05-28,Crater,Male,305,36,4
2020-05-28,"Central Virginia","Not Reported",0,0,0
2020-05-28,"Prince William",Female,3101,240,56
2020-05-28,"Virginia Beach",Female,367,40,9
2020-05-28,Norfolk,Female,224,32,1
2020-05-28,"Three Rivers",Female,147,22,7
2020-05-28,Arlington,Male,1025,203,56
2020-05-28,"Central Shenandoah",Female,778,61,15
2020-05-28,Southside,Female,178,20,14
