"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-06-19,20105,106,1382
2020-06-19,20106,38,225
2020-06-19,20109,1096,4107
2020-06-19,20110,1439,5918
2020-06-19,20111,901,3308
2020-06-19,20112,204,1603
2020-06-19,20115,36,277
2020-06-19,20117,8,111
2020-06-19,20118,Suppressed*,83
2020-06-19,20119,27,209
2020-06-19,20120,316,1967
2020-06-19,20121,217,1343
2020-06-19,20124,63,665
2020-06-19,20129,7,58
2020-06-19,20130,0,16
2020-06-19,20132,61,855
2020-06-19,20135,10,145
2020-06-19,20136,185,1435
2020-06-19,20137,15,94
2020-06-19,20139,Suppressed*,12
2020-06-19,20141,18,315
2020-06-19,20143,Suppressed*,60
2020-06-19,20144,Suppressed*,36
2020-06-19,20147,363,3688
2020-06-19,20148,178,2090
2020-06-19,20151,261,1316
2020-06-19,20152,161,1630
2020-06-19,20155,243,2012
2020-06-19,20158,17,203
2020-06-19,20164,1118,4175
2020-06-19,20165,276,2786
2020-06-19,20166,186,990
2020-06-19,20169,94,1133
2020-06-19,20170,977,3291
2020-06-19,20171,288,1859
2020-06-19,20175,222,2233
2020-06-19,20176,664,3721
2020-06-19,20180,25,353
2020-06-19,20181,37,479
2020-06-19,20184,Suppressed*,49
2020-06-19,20186,71,1009
2020-06-19,20187,73,822
2020-06-19,20190,211,1640
2020-06-19,20191,303,1610
2020-06-19,20194,35,511
2020-06-19,20197,6,129
2020-06-19,20198,6,91
2020-06-19,22003,1212,4801
2020-06-19,22015,366,2181
2020-06-19,22025,114,991
2020-06-19,22026,229,1386
2020-06-19,22027,55,161
2020-06-19,22030,388,3150
2020-06-19,22031,395,2486
2020-06-19,22032,131,1275
2020-06-19,22033,248,1939
2020-06-19,22035,Suppressed*,38
2020-06-19,22039,58,761
2020-06-19,22041,719,3028
2020-06-19,22042,770,2992
2020-06-19,22043,238,1237
2020-06-19,22044,265,1071
2020-06-19,22046,199,1172
2020-06-19,22060,14,175
2020-06-19,22066,73,742
2020-06-19,22079,299,1839
2020-06-19,22101,124,1873
2020-06-19,22102,122,1282
2020-06-19,22124,61,760
2020-06-19,22125,Suppressed*,48
2020-06-19,22134,18,112
2020-06-19,22150,745,3288
2020-06-19,22151,270,1185
2020-06-19,22152,195,1372
2020-06-19,22153,165,1420
2020-06-19,22172,144,760
2020-06-19,22180,217,1365
2020-06-19,22181,62,597
2020-06-19,22182,119,1199
2020-06-19,22191,1507,6917
2020-06-19,22192,664,4783
2020-06-19,22193,1442,6890
2020-06-19,22201,213,1826
2020-06-19,22202,202,1343
2020-06-19,22203,315,1698
2020-06-19,22204,966,4384
2020-06-19,22205,137,1353
2020-06-19,22206,172,1228
2020-06-19,22207,271,2089
2020-06-19,22209,85,685
2020-06-19,22211,Suppressed*,18
2020-06-19,22213,18,162
2020-06-19,22214,0,2
2020-06-19,22301,79,842
2020-06-19,22302,230,2212
2020-06-19,22303,206,1017
2020-06-19,22304,647,3917
2020-06-19,22305,585,2088
2020-06-19,22306,823,2980
2020-06-19,22307,74,603
2020-06-19,22308,69,519
2020-06-19,22309,613,2293
2020-06-19,22310,286,1559
2020-06-19,22311,426,2130
2020-06-19,22312,546,2371
2020-06-19,22314,192,1959
2020-06-19,22315,103,1220
2020-06-19,22401,202,1818
2020-06-19,22405,134,1659
2020-06-19,22406,115,1327
2020-06-19,22407,546,3833
2020-06-19,22408,182,1602
2020-06-19,22427,15,189
2020-06-19,22432,Suppressed*,31
2020-06-19,22433,Suppressed*,8
2020-06-19,22435,Suppressed*,130
2020-06-19,22436,0,41
2020-06-19,22437,Suppressed*,50
2020-06-19,22438,Suppressed*,33
2020-06-19,22443,33,359
2020-06-19,22448,Suppressed*,30
2020-06-19,22454,Suppressed*,81
2020-06-19,22460,5,91
2020-06-19,22469,13,115
2020-06-19,22473,20,239
2020-06-19,22476,Suppressed*,21
2020-06-19,22480,0,45
2020-06-19,22482,5,135
2020-06-19,22485,93,1212
2020-06-19,22488,Suppressed*,62
2020-06-19,22503,6,234
2020-06-19,22504,0,10
2020-06-19,22508,56,733
