"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-15,Southside,312,45,26
2020-06-15,Chesapeake,672,102,16
2020-06-15,"Thomas Jefferson",708,81,19
2020-06-15,Roanoke,250,11,10
2020-06-15,"Eastern Shore",1258,93,41
2020-06-15,"Mount Rogers",568,63,22
2020-06-15,Chickahominy,568,101,35
2020-06-15,"New River",149,18,4
2020-06-15,"Central Virginia",269,17,4
2020-06-15,Piedmont,897,71,7
2020-06-15,"Lord Fairfax",1732,147,61
2020-06-15,Crater,1247,113,21
2020-06-15,Hampton,241,37,5
2020-06-15,Alexandria,2160,225,48
2020-06-15,Fairfax,13215,1518,436
2020-06-15,Richmond,1832,188,29
2020-06-15,Arlington,2346,405,125
2020-06-15,"Rappahannock Rapidan",1359,102,18
2020-06-15,Rappahannock,2140,191,29
2020-06-15,Pittsylvania-Danville,136,32,3
2020-06-15,"Prince William",8306,744,141
2020-06-15,"Cumberland Plateau",35,2,0
2020-06-15,Portsmouth,386,58,12
2020-06-15,"Virginia Beach",899,108,27
2020-06-15,"West Piedmont",331,33,5
2020-06-15,"Three Rivers",584,46,9
2020-06-15,Alleghany,263,27,14
2020-06-15,Lenowisco,46,16,4
2020-06-15,Norfolk,668,82,7
2020-06-15,"Western Tidewater",700,78,46
2020-06-15,Henrico,2289,238,136
2020-06-15,"Central Shenandoah",1787,144,32
2020-06-15,Loudoun,3404,204,71
2020-06-15,Chesterfield,2360,127,56
2020-06-15,Peninsula,769,121,33
