"﻿Lab Report Date","Positive Results","Number of People Tested"
3/16/2020,11,307
3/17/2020,17,177
3/18/2020,16,336
3/19/2020,74,542
3/20/2020,49,561
3/21/2020,64,879
3/22/2020,24,506
3/23/2020,73,703
3/24/2020,105,1003
3/25/2020,122,1078
3/26/2020,163,1359
3/27/2020,214,1911
3/28/2020,188,1635
3/29/2020,194,1248
3/30/2020,225,1617
3/31/2020,320,1775
4/1/2020,348,2285
4/2/2020,319,1818
4/3/2020,335,2421
4/4/2020,420,2240
4/5/2020,479,3677
4/6/2020,396,2766
4/7/2020,382,2199
4/8/2020,436,2286
4/9/2020,521,2799
4/10/2020,417,2563
4/11/2020,444,2127
4/12/2020,411,2101
4/13/2020,349,1228
4/14/2020,368,1595
4/15/2020,538,2627
4/16/2020,622,2965
4/17/2020,549,2785
4/18/2020,532,2596
4/19/2020,562,2441
4/20/2020,448,1615
4/21/2020,541,2492
4/22/2020,883,4766
4/23/2020,953,5391
4/24/2020,774,3672
4/25/2020,814,4467
4/26/2020,844,3707
4/27/2020,597,2614
4/28/2020,778,4179
4/29/2020,1238,6873
4/30/2020,921,5686
5/1/2020,1192,6879
5/2/2020,948,6506
5/3/2020,959,4973
5/4/2020,495,2546
5/5/2020,1091,5814
5/6/2020,1241,9013
5/7/2020,1114,7351
5/8/2020,1034,7330
5/9/2020,1068,7591
5/10/2020,771,5844
5/11/2020,528,3385
5/12/2020,732,5423
5/13/2020,639,4727
