"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-05,Southside,139,25,10
2020-05-05,Chesapeake,293,65,9
2020-05-05,"Thomas Jefferson",322,61,13
2020-05-05,Roanoke,82,5,0
2020-05-05,"Eastern Shore",569,26,8
2020-05-05,"Mount Rogers",116,16,4
2020-05-05,Chickahominy,268,58,20
2020-05-05,"New River",80,12,1
2020-05-05,"Central Virginia",150,8,1
2020-05-05,Piedmont,288,24,3
2020-05-05,"Lord Fairfax",546,44,9
2020-05-05,Crater,259,59,14
2020-05-05,Hampton,128,28,3
2020-05-05,Alexandria,983,120,26
2020-05-05,Fairfax,4903,800,207
2020-05-05,Richmond,438,76,16
2020-05-05,Arlington,1169,196,49
2020-05-05,"Rappahannock Rapidan",412,34,7
2020-05-05,Rappahannock,629,99,11
2020-05-05,Pittsylvania-Danville,53,20,2
2020-05-05,"Prince William",2608,269,36
2020-05-05,"Cumberland Plateau",27,2,0
2020-05-05,Portsmouth,187,36,8
2020-05-05,"Virginia Beach",445,83,15
2020-05-05,"West Piedmont",46,6,1
2020-05-05,"Three Rivers",254,24,3
2020-05-05,Alleghany,127,16,3
2020-05-05,Lenowisco,41,14,2
2020-05-05,Norfolk,251,46,4
2020-05-05,"Western Tidewater",456,52,20
2020-05-05,Henrico,985,139,106
2020-05-05,"Central Shenandoah",904,50,21
2020-05-05,Loudoun,998,100,24
2020-05-05,Chesterfield,719,58,31
2020-05-05,Peninsula,381,102,26
,,,,
,,,,
