"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-25,Chickahominy,50-59,112,21,1
2020-06-25,Alleghany,40-49,51,1,0
2020-06-25,"Prince William",50-59,1379,179,14
2020-06-25,"Mount Rogers",0-9,33,1,0
2020-06-25,"Eastern Shore",0-9,18,1,0
2020-06-25,"Thomas Jefferson",60-69,78,17,2
2020-06-25,Pittsylvania-Danville,70-79,21,10,0
2020-06-25,Chesterfield,80+,131,26,39
2020-06-25,Richmond,0-9,88,4,0
2020-06-25,Chesapeake,80+,44,15,9
2020-06-25,Peninsula,40-49,118,7,1
2020-06-25,Henrico,0-9,101,1,0
2020-06-25,Lenowisco,80+,0,0,0
2020-06-25,Piedmont,60-69,132,19,2
2020-06-25,"West Piedmont",0-9,14,1,0
2020-06-25,"Rappahannock Rapidan",70-79,37,12,7
2020-06-25,"Central Shenandoah",70-79,116,38,12
2020-06-25,Chesapeake,30-39,151,8,0
2020-06-25,Chickahominy,0-9,12,0,0
2020-06-25,"Prince William",0-9,306,7,0
2020-06-25,"Eastern Shore",50-59,276,18,5
2020-06-25,"Mount Rogers",50-59,85,5,1
2020-06-25,Loudoun,10-19,284,0,0
2020-06-25,Southside,80+,78,12,12
2020-06-25,"Central Virginia",80+,16,2,0
2020-06-25,Rappahannock,Missing,18,0,0
2020-06-25,"Rappahannock Rapidan",30-39,292,16,1
2020-06-25,"New River",50-59,29,4,0
2020-06-25,Richmond,80+,36,17,9
2020-06-25,"Mount Rogers",20-29,101,0,0
2020-06-25,"Eastern Shore",20-29,197,6,0
2020-06-25,Hampton,10-19,14,0,0
2020-06-25,Portsmouth,0-9,11,1,0
2020-06-25,Crater,70-79,128,27,6
2020-06-25,Chesterfield,40-49,526,15,2
2020-06-25,Alexandria,Missing,11,0,0
2020-06-25,Southside,30-39,43,0,0
2020-06-25,"Prince William",Missing,135,2,0
2020-06-25,Hampton,60-69,36,11,2
2020-06-25,Fairfax,20-29,2127,68,2
2020-06-25,"Thomas Jefferson",0-9,34,1,0
2020-06-25,Lenowisco,40-49,7,2,0
2020-06-25,"Central Virginia",10-19,29,1,0
2020-06-25,Lenowisco,70-79,5,4,1
2020-06-25,Arlington,50-59,375,66,6
2020-06-25,Piedmont,70-79,63,17,2
2020-06-25,Alexandria,60-69,194,44,2
2020-06-25,Portsmouth,30-39,93,4,0
2020-06-25,Lenowisco,20-29,7,0,0
2020-06-25,"Central Virginia",30-39,50,1,0
2020-06-25,Norfolk,10-19,47,1,0
2020-06-25,"New River",10-19,10,0,0
2020-06-25,"Central Virginia",20-29,68,2,0
2020-06-25,Rappahannock,50-59,358,43,4
2020-06-25,Rappahannock,60-69,201,43,5
2020-06-25,Piedmont,20-29,152,2,0
2020-06-25,"New River",60-69,24,4,0
2020-06-25,Roanoke,40-49,53,1,0
2020-06-25,"Three Rivers",20-29,105,4,0
2020-06-25,Rappahannock,40-49,418,36,2
2020-06-25,Portsmouth,80+,21,7,4
2020-06-25,"Central Shenandoah",Missing,0,0,0
2020-06-25,"Eastern Shore",70-79,47,16,9
2020-06-25,"Mount Rogers",70-79,57,24,9
2020-06-25,"Cumberland Plateau",70-79,2,0,0
2020-06-25,Piedmont,10-19,31,0,0
2020-06-25,Southside,20-29,38,2,0
2020-06-25,Chesterfield,50-59,414,30,4
2020-06-25,"Rappahannock Rapidan",20-29,268,4,0
2020-06-25,"Cumberland Plateau",60-69,5,1,0
2020-06-25,Roanoke,70-79,11,3,0
2020-06-25,"Central Shenandoah",20-29,366,6,0
