"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-09,Crater,White,44,12,5
2020-05-09,Alleghany,"Not Reported",34,1,0
2020-05-09,Arlington,Other,255,88,16
2020-05-09,Piedmont,White,127,4,3
2020-05-09,"Cumberland Plateau",Other,0,0,0
2020-05-09,Pittsylvania-Danville,White,25,13,2
2020-05-09,Roanoke,"Black or African American",14,4,0
2020-05-09,Alleghany,"Black or African American",5,1,0
2020-05-09,Richmond,"Not Reported",79,1,0
2020-05-09,"Central Virginia",Other,2,1,0
2020-05-09,Rappahannock,Other,168,33,0
2020-05-09,Roanoke,Other,2,0,0
2020-05-09,Piedmont,"Black or African American",130,21,1
2020-05-09,Chesterfield,Other,64,1,0
2020-05-09,Portsmouth,"Black or African American",95,26,6
2020-05-09,Portsmouth,"Not Reported",47,3,1
2020-05-09,Norfolk,"Not Reported",33,0,0
2020-05-09,"Eastern Shore",White,180,8,5
2020-05-09,"Eastern Shore","Not Reported",63,0,0
2020-05-09,Roanoke,White,59,2,1
2020-05-09,"Three Rivers",Other,21,2,0
2020-05-09,Fairfax,Other,2198,430,44
2020-05-09,Henrico,"Not Reported",171,0,1
2020-05-09,"Lord Fairfax",Other,90,9,0
2020-05-09,Piedmont,Other,8,1,0
2020-05-09,Lenowisco,"Black or African American",0,0,0
2020-05-09,Hampton,Other,6,2,0
2020-05-09,Alleghany,White,93,17,3
2020-05-09,"Prince William",Other,653,95,7
2020-05-09,Arlington,"Not Reported",654,68,8
2020-05-09,"West Piedmont","Black or African American",8,3,0
2020-05-09,Peninsula,Other,21,6,1
2020-05-09,Norfolk,Other,17,4,0
2020-05-09,"Lord Fairfax","Black or African American",26,3,1
2020-05-09,"Mount Rogers","Not Reported",10,1,0
2020-05-09,"Central Virginia","Black or African American",17,1,0
2020-05-09,"West Piedmont",Other,2,1,1
2020-05-09,Portsmouth,White,44,7,1
2020-05-09,"Thomas Jefferson","Not Reported",12,0,0
2020-05-09,"Three Rivers","Not Reported",83,4,3
2020-05-09,"Virginia Beach","Black or African American",109,17,2
2020-05-09,"Prince William","Black or African American",257,52,14
2020-05-09,Loudoun,"Not Reported",383,3,3
2020-05-09,Loudoun,White,449,65,23
2020-05-09,Peninsula,"Not Reported",60,2,0
2020-05-09,Pittsylvania-Danville,"Black or African American",23,6,0
2020-05-09,Henrico,White,385,63,57
2020-05-09,Richmond,White,100,15,1
2020-05-09,Southside,"Black or African American",22,8,1
2020-05-09,Chickahominy,White,134,35,15
2020-05-09,"Thomas Jefferson",Other,34,6,1
2020-05-09,"Virginia Beach",Other,55,19,2
2020-05-09,"Central Shenandoah","Black or African American",49,3,2
2020-05-09,Chesterfield,White,236,29,17
2020-05-09,"Central Virginia",White,54,8,2
2020-05-09,Rappahannock,White,224,44,10
2020-05-09,"New River",White,53,10,1
2020-05-09,"Mount Rogers",Other,9,1,0
2020-05-09,Hampton,White,27,4,0
2020-05-09,"Western Tidewater","Black or African American",199,30,9
2020-05-09,"Prince William","Not Reported",1509,21,0
2020-05-09,Fairfax,White,1634,300,115
2020-05-09,Lenowisco,Other,1,0,0
2020-05-09,"Rappahannock Rapidan","Not Reported",256,8,2
2020-05-09,"Three Rivers","Black or African American",103,7,0
2020-05-09,Henrico,"Black or African American",420,77,48
2020-05-09,Lenowisco,"Not Reported",9,1,1
2020-05-09,Chesapeake,Other,31,5,3
2020-05-09,Crater,"Not Reported",65,2,1
2020-05-09,Chickahominy,"Not Reported",91,3,1
2020-05-09,"Eastern Shore","Black or African American",396,23,6
2020-05-09,Alexandria,Other,198,33,1
2020-05-09,Chesterfield,"Black or African American",193,33,7
2020-05-09,Roanoke,"Not Reported",18,0,0
2020-05-09,Rappahannock,"Black or African American",87,18,2
2020-05-09,"Lord Fairfax",White,482,47,17
2020-05-09,"Three Rivers",White,113,15,3
2020-05-09,"Central Virginia","Not Reported",83,3,0
2020-05-09,"Eastern Shore",Other,16,1,1
2020-05-09,Crater,"Black or African American",156,47,7
2020-05-09,"Mount Rogers","Black or African American",0,0,0
2020-05-09,"Central Shenandoah",White,630,46,18
2020-05-09,Southside,White,37,10,5
2020-05-09,Southside,"Not Reported",72,9,2
2020-05-09,Chesapeake,White,125,25,1
2020-05-09,"New River",Other,0,0,0
2020-05-09,Norfolk,"Black or African American",165,31,3
2020-05-09,"Central Shenandoah",Other,174,9,2
2020-05-09,Southside,Other,26,1,2
2020-05-09,Pittsylvania-Danville,Other,0,0,0
2020-05-09,"Cumberland Plateau",White,17,2,0
2020-05-09,"Rappahannock Rapidan","Black or African American",24,5,1
2020-05-09,Fairfax,"Not Reported",1468,84,63
2020-05-09,Chesapeake,"Not Reported",54,3,1
2020-05-09,"Thomas Jefferson",White,198,23,8
2020-05-09,Richmond,Other,83,16,1
2020-05-09,Peninsula,"Black or African American",107,30,8
2020-05-09,Henrico,Other,78,10,3
2020-05-09,"Cumberland Plateau","Black or African American",11,0,0
2020-05-09,Loudoun,Other,231,33,4
2020-05-09,Crater,Other,4,2,1
2020-05-09,Arlington,"Black or African American",92,32,12
2020-05-09,Alexandria,"Black or African American",175,40,6
2020-05-09,Richmond,"Black or African American",250,57,16
2020-05-09,"Lord Fairfax","Not Reported",96,3,3
2020-05-09,Fairfax,"Black or African American",386,103,15
2020-05-09,"Thomas Jefferson","Black or African American",99,33,4
2020-05-09,"West Piedmont",White,37,4,0
2020-05-09,Rappahannock,"Not Reported",248,19,0
2020-05-09,"Central Shenandoah","Not Reported",187,2,1
2020-05-09,Peninsula,White,226,68,20
2020-05-09,"Rappahannock Rapidan",White,182,16,7
2020-05-09,"Prince William",White,603,143,30
2020-05-09,"New River","Not Reported",29,1,0
2020-05-09,Chesterfield,"Not Reported",355,3,8
2020-05-09,Alleghany,Other,1,0,0
2020-05-09,Lenowisco,White,31,13,2
2020-05-09,"Western Tidewater",White,137,21,13
2020-05-09,Arlington,White,331,72,24
2020-05-09,Hampton,"Black or African American",86,23,3
2020-05-09,Alexandria,White,408,52,19
2020-05-09,Hampton,"Not Reported",19,0,0
2020-05-09,"Mount Rogers",White,118,14,4
2020-05-09,Alexandria,"Not Reported",361,14,4
2020-05-09,Chickahominy,"Black or African American",55,23,7
2020-05-09,Chesapeake,"Black or African American",115,35,4
2020-05-09,"Western Tidewater","Not Reported",118,2,1
