Report Date,FIPS,Locality,Health District,Total Cases
2020-04-16,51003,Albemarle,Thomas Jefferson,54
2020-04-16,51009,Amherst,Central Virginia,10
2020-04-16,51011,Appomattox,Central Virginia,7
2020-04-16,51013,Arlington,Arlington,453
2020-04-16,51015,Augusta,Central Shenandoah,19
2020-04-16,51019,Bedford,Central Virginia,16
2020-04-16,51021,Bland,Mount Rogers,0
2020-04-16,51025,Brunswick,Southside,10
2020-04-16,51027,Buchanan,Cumberland Plateau,12
2020-04-16,51029,Buckingham,Piedmont,23
2020-04-16,51031,Campbell,Central Virginia,9
2020-04-16,51033,Caroline,Rappahannock,11
2020-04-16,51035,Carroll,Mount Rogers,3
2020-04-16,51036,Charles City,Chickahominy,9
2020-04-16,51037,Charlotte,Piedmont,8
2020-04-16,51043,Clarke,Lord Fairfax,6
2020-04-16,51047,Culpeper,Rappahannock Rapidan,29
2020-04-16,51049,Cumberland,Piedmont,7
2020-04-16,51053,Dinwiddie,Crater,7
2020-04-16,51057,Essex,Three Rivers,2
2020-04-16,51077,Grayson,Mount Rogers,0
2020-04-16,51079,Greene,Thomas Jefferson,5
2020-04-16,51081,Greensville,Crater,16
2020-04-16,51083,Halifax,Southside,7
2020-04-16,51085,Hanover,Chickahominy,61
2020-04-16,51087,Henrico,Henrico,497
2020-04-16,51091,Highland,Central Shenandoah,0
2020-04-16,51093,Isle of Wight,Western Tidewater,63
2020-04-16,51097,King and Queen,Three Rivers,2
2020-04-16,51105,Lee,Lenowisco,6
2020-04-16,51109,Louisa,Thomas Jefferson,30
2020-04-16,51111,Lunenburg,Piedmont,3
2020-04-16,51113,Madison,Rappahannock Rapidan,8
2020-04-16,51115,Mathews,Three Rivers,3
2020-04-16,51119,Middlesex,Three Rivers,3
2020-04-16,51127,New Kent,Chickahominy,16
2020-04-16,51131,Northampton,Eastern Shore,4
2020-04-16,51133,Northumberland,Three Rivers,5
2020-04-16,51141,Patrick,West Piedmont,0
2020-04-16,51143,Pittsylvania,Pittsylvania-Danville,5
2020-04-16,51145,Powhatan,Chesterfield,5
2020-04-16,51149,Prince George,Crater,26
2020-04-16,51153,Prince William,Prince William,582
2020-04-16,51155,Pulaski,New River,5
2020-04-16,51163,Rockbridge,Central Shenandoah,3
2020-04-16,51165,Rockingham,Central Shenandoah,69
2020-04-16,51167,Russell,Cumberland Plateau,2
2020-04-16,51185,Tazewell,Cumberland Plateau,4
2020-04-16,51187,Warren,Lord Fairfax,21
2020-04-16,51193,Westmoreland,Three Rivers,9
2020-04-16,51197,Wythe,Mount Rogers,7
2020-04-16,51199,York,Peninsula,37
2020-04-16,51510,Alexandria,Alexandria,275
2020-04-16,51520,Bristol,Mount Rogers,1
2020-04-16,51550,Chesapeake,Chesapeake,143
2020-04-16,51590,Danville,Pittsylvania-Danville,22
2020-04-16,51600,Fairfax City,Fairfax,0
2020-04-16,51620,Franklin City,Western Tidewater,9
2020-04-16,51660,Harrisonburg,Central Shenandoah,119
2020-04-16,51680,Lynchburg,Central Virginia,34
2020-04-16,51685,Manassas Park,Prince William,16
