"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-19,Norfolk,0-9,21,0,0
2020-06-19,"Cumberland Plateau",40-49,6,0,0
2020-06-19,"Eastern Shore",10-19,57,1,0
2020-06-19,"Mount Rogers",10-19,46,0,0
2020-06-19,"Rappahannock Rapidan",0-9,71,1,0
2020-06-19,"Three Rivers",0-9,9,1,0
2020-06-19,Henrico,40-49,343,23,1
2020-06-19,Alexandria,50-59,289,47,9
2020-06-19,Arlington,0-9,42,2,0
2020-06-19,Chickahominy,Missing,12,0,0
2020-06-19,"New River",20-29,34,0,0
2020-06-19,"Virginia Beach",20-29,185,3,0
2020-06-19,Chesapeake,50-59,115,19,1
2020-06-19,Alleghany,80+,24,8,5
2020-06-19,Fairfax,10-19,729,22,0
2020-06-19,Chesapeake,60-69,93,22,4
2020-06-19,"West Piedmont",Missing,0,0,0
2020-06-19,Peninsula,80+,50,24,15
2020-06-19,Crater,40-49,191,13,1
2020-06-19,Chesapeake,40-49,116,17,0
2020-06-19,"Thomas Jefferson",20-29,115,1,0
2020-06-19,"Lord Fairfax",20-29,312,4,0
2020-06-19,Norfolk,20-29,179,2,0
2020-06-19,Arlington,30-39,436,41,0
2020-06-19,"West Piedmont",60-69,42,5,0
2020-06-19,Henrico,50-59,290,32,8
2020-06-19,"West Piedmont",50-59,81,10,1
2020-06-19,"Cumberland Plateau",20-29,2,0,0
2020-06-19,Alexandria,70-79,100,37,15
2020-06-19,Portsmouth,20-29,75,3,0
2020-06-19,"Western Tidewater",30-39,91,4,0
2020-06-19,"Central Shenandoah",0-9,46,0,0
2020-06-19,Henrico,80+,307,65,68
2020-06-19,Alexandria,0-9,120,2,0
2020-06-19,Pittsylvania-Danville,40-49,33,5,0
2020-06-19,Henrico,20-29,316,15,0
2020-06-19,Roanoke,60-69,23,3,0
2020-06-19,Peninsula,30-39,130,7,1
2020-06-19,Alleghany,60-69,35,7,1
2020-06-19,"Prince William",70-79,267,74,38
2020-06-19,Norfolk,60-69,65,24,1
2020-06-19,Southside,40-49,41,5,0
2020-06-19,Chesterfield,30-39,518,4,0
2020-06-19,Loudoun,70-79,131,39,13
2020-06-19,"Central Virginia",40-49,42,0,0
2020-06-19,"New River",Missing,0,0,0
2020-06-19,Chickahominy,20-29,74,0,0
2020-06-19,"New River",0-9,3,0,0
2020-06-19,"Cumberland Plateau",0-9,0,0,0
2020-06-19,"Three Rivers",70-79,29,8,6
2020-06-19,"Rappahannock Rapidan",40-49,285,19,2
2020-06-19,Hampton,0-9,8,0,0
2020-06-19,Piedmont,50-59,174,19,0
2020-06-19,Rappahannock,20-29,374,10,0
2020-06-19,"West Piedmont",20-29,48,1,0
2020-06-19,Arlington,70-79,171,72,32
2020-06-19,Chickahominy,50-59,105,22,1
2020-06-19,Alleghany,40-49,40,1,0
2020-06-19,"Prince William",50-59,1328,175,13
2020-06-19,"Mount Rogers",0-9,31,1,0
2020-06-19,"Eastern Shore",0-9,15,1,0
2020-06-19,"Thomas Jefferson",60-69,68,17,2
2020-06-19,Pittsylvania-Danville,70-79,20,9,0
2020-06-19,Chesterfield,80+,130,26,36
2020-06-19,Richmond,0-9,74,4,0
2020-06-19,Chesapeake,80+,42,14,9
2020-06-19,Peninsula,40-49,104,7,1
2020-06-19,Henrico,0-9,97,1,0
2020-06-19,Lenowisco,80+,0,0,0
2020-06-19,Piedmont,60-69,131,19,2
2020-06-19,"West Piedmont",0-9,9,0,0
2020-06-19,"Rappahannock Rapidan",70-79,35,12,7
2020-06-19,"Central Shenandoah",70-79,116,38,12
2020-06-19,Chesapeake,30-39,136,6,0
2020-06-19,Chickahominy,0-9,10,0,0
2020-06-19,"Prince William",0-9,291,7,0
2020-06-19,"Eastern Shore",50-59,275,18,5
2020-06-19,"Mount Rogers",50-59,77,5,1
2020-06-19,Loudoun,10-19,245,0,0
2020-06-19,Southside,80+,78,12,12
2020-06-19,"Central Virginia",80+,14,2,0
2020-06-19,Rappahannock,Missing,17,0,0
2020-06-19,"Rappahannock Rapidan",30-39,282,14,1
2020-06-19,"New River",50-59,28,3,0
2020-06-19,Richmond,80+,38,16,9
2020-06-19,"Mount Rogers",20-29,92,0,0
2020-06-19,"Eastern Shore",20-29,193,6,0
2020-06-19,Hampton,10-19,13,0,0
2020-06-19,Portsmouth,0-9,7,1,0
2020-06-19,Crater,70-79,123,27,6
2020-06-19,Chesterfield,40-49,465,15,2
2020-06-19,Alexandria,Missing,11,0,0
2020-06-19,Southside,30-39,42,0,0
2020-06-19,"Prince William",Missing,124,2,0
2020-06-19,Hampton,60-69,35,11,2
2020-06-19,Fairfax,20-29,2032,66,2
2020-06-19,"Thomas Jefferson",0-9,27,1,0
2020-06-19,Lenowisco,40-49,7,2,0
2020-06-19,"Central Virginia",10-19,15,1,0
2020-06-19,Lenowisco,70-79,5,4,1
2020-06-19,"Lord Fairfax",60-69,201,41,10
2020-06-19,"Western Tidewater",0-9,5,0,0
2020-06-19,Rappahannock,70-79,89,26,11
2020-06-19,"Prince William",80+,214,73,62
2020-06-19,Hampton,80+,5,3,2
2020-06-19,Alexandria,80+,84,28,21
2020-06-19,"Mount Rogers",60-69,71,6,0
2020-06-19,"Eastern Shore",60-69,172,26,8
2020-06-19,"Lord Fairfax",70-79,111,31,14
2020-06-19,"New River",30-39,19,1,0
2020-06-19,Chesapeake,10-19,30,1,0
2020-06-19,Hampton,40-49,37,3,0
2020-06-19,Peninsula,Missing,7,0,0
2020-06-19,Henrico,70-79,201,44,34
